Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 97
HEX 1 : F97CF70	130111A0	102F8520	
DEC 1 : 261607280.000000	318837152.000000	271549728.000000	
HEX 2 : 7A5D448	19D680E0	10D45180	
DEC 2 : 128308296.000000	433488096.000000	282349952.000000	
HEX 3 : 5F7B6	AD85810	12311D40	
DEC 3 : 391094.000000	181950480.000000	305208640.000000	
HEX 4 : 5F738	1AC8C540	1D7463E0	
DEC 4 : 390968.000000	449365312.000000	494167008.000000	
HEX 5 : 5F7B6	7814D38	1955E1C0	
DEC 5 : 391094.000000	125914424.000000	425058752.000000	
HEX 6 : 12CBA7E0	BF167E0	AD30B90	
DEC 6 : 315336672.000000	200370144.000000	181603216.000000	
HEX 7 : 155FC360	149A9300	AE81290	
DEC 7 : 358597472.000000	345674496.000000	182981264.000000	
HEX 8 : 5F777	AE753A0	5D1B850	
DEC 8 : 391031.000000	182932384.000000	97630288.000000	
HEX 9 : 3DB7578	DEFAB50	17E324E0	
DEC 9 : 64714104.000000	233810768.000000	400762080.000000	
HEX 10 : CC5CAE0	1A2A08E0	30D3028	
DEC 10 : 214289120.000000	438962400.000000	51195944.000000	
HEX 11 : A04C290	1CDB3580	186DEE00	
DEC 11 : 168084112.000000	484128128.000000	409857536.000000	
HEX 12 : 111CA3A0	7718E78	45943C8	
DEC 12 : 287089568.000000	124882552.000000	72958920.000000	
HEX 13 : 6C3AF88	CE190F0	31C3128	
DEC 13 : 113487752.000000	216109296.000000	52179240.000000	
HEX 14 : 1F6A7300	85B51D0	13A43740	
DEC 14 : 527069952.000000	140202448.000000	329529152.000000	
HEX 15 : C8A38E0	B9A1280	10A934E0	
DEC 15 : 210385120.000000	194646656.000000	279524576.000000	
HEX 16 : 5857120	16B6C	D138	
DEC 16 : 92631328.000000	93036.000000	53560.000000	
HEX 17 : ED359C0	1B877700	1F1765E0	
DEC 17 : 248732096.000000	461862656.000000	521627104.000000	
HEX 18 : E178BB0	11033BC0	7D8BA40	
DEC 18 : 236424112.000000	285424576.000000	131643968.000000	
HEX 19 : 13D2CE60	16B6C	124D6D00	
DEC 19 : 332582496.000000	93036.000000	307064064.000000	
HEX 20 : ADFF6A0	164134E	11285460	
DEC 20 : 182449824.000000	23335758.000000	287855712.000000	
HEX 21 : 1DA33CA0	1DA627E0	61C66B8	
DEC 21 : 497237152.000000	497428448.000000	102524600.000000	
HEX 22 : 5F7B6	179F61A0	C6FB9F0	
DEC 22 : 391094.000000	396321184.000000	208648688.000000	
HEX 23 : 1A6C2420	1A6F29A0	BF75	
DEC 23 : 443294752.000000	443492768.000000	49013.000000	
HEX 24 : 10A95FC0	41E7FD0	1D25D3A0	
DEC 24 : 279535552.000000	69107664.000000	489018272.000000	
HEX 25 : 5F5BD	164C3	1F504F00	
DEC 25 : 390589.000000	91331.000000	525356800.000000	
HEX 26 : 559DB88	1996DCC0	42EEF70	
DEC 26 : 89774984.000000	429317312.000000	70184816.000000	
HEX 27 : 5F7B6	134FE940	1301BEE0	
DEC 27 : 391094.000000	324004160.000000	318881504.000000	
HEX 28 : 17270A00	8975EF0	C032	
DEC 28 : 388434432.000000	144137968.000000	49202.000000	
HEX 29 : 293AF34	1C80A3A0	16954220	
DEC 29 : 43233076.000000	478192544.000000	378880544.000000	
HEX 30 : 19916200	D9469B0	12FA6F00	
DEC 30 : 428958208.000000	227830192.000000	318402304.000000	
HEX 31 : 13BF6DC0	69B2C40	15ECA3C0	
DEC 31 : 331312576.000000	110832704.000000	367829952.000000	
HEX 32 : C8CAF40	16AEE	185DCEA0	
DEC 32 : 210546496.000000	92910.000000	408800928.000000	
HEX 33 : A2503	F569770	C266A70	
DEC 33 : 664835.000000	257333104.000000	203844208.000000	
HEX 34 : 1D6D3440	1B1C9420	1FD94EE0	
DEC 34 : 493696064.000000	454857760.000000	534335200.000000	
HEX 35 : A22B450	6270850	ADD7770	
DEC 35 : 170046544.000000	103221328.000000	182286192.000000	
HEX 36 : 5F738	13AF3500	6006E08	
DEC 36 : 390968.000000	330249472.000000	100691464.000000	
HEX 37 : 197277E0	14D5B1C0	16633500	
DEC 37 : 426932192.000000	349548992.000000	375600384.000000	
HEX 38 : 1B76A8E0	D249080	42C5350	
DEC 38 : 460761312.000000	220500096.000000	70013776.000000	
HEX 39 : 2D835C4	70B09C0	C12F	
DEC 39 : 47723972.000000	118163904.000000	49455.000000	
HEX 40 : 1A3A8B80	16B6C	C09EB5	
DEC 40 : 440044416.000000	93036.000000	12623541.000000	
HEX 41 : 9F11340	8155380	1F143E20	
DEC 41 : 166794048.000000	135615360.000000	521420320.000000	
HEX 42 : 17180900	1061EC20	1CBFEA20	
DEC 42 : 387451136.000000	274852896.000000	482339360.000000	
HEX 43 : E5EEFC0	86E5AE	C032	
DEC 43 : 241102784.000000	8840622.000000	49202.000000	
HEX 44 : 1A4A68A0	C0FD2B0	B883C60	
DEC 44 : 441084064.000000	202363568.000000	193477728.000000	
HEX 45 : B5C7ED0	10A9C420	18EDD540	
DEC 45 : 190611152.000000	279561248.000000	418239808.000000	
HEX 46 : 1F1672A0	4B38048	1D56AE60	
DEC 46 : 521564832.000000	78872648.000000	492220000.000000	
HEX 47 : 118B4C00	1E3F90C0	1753E0A0	
DEC 47 : 294341632.000000	507482304.000000	391372960.000000	
HEX 48 : 15061060	1D05C6E0	A188C50	
DEC 48 : 352718944.000000	486917856.000000	169380944.000000	
HEX 49 : 5F7B6	24C8B0C	5F42740	
DEC 49 : 391094.000000	38570764.000000	99886912.000000	
HEX 50 : 1626E600	37B2A	1976C960	
DEC 50 : 371648000.000000	228138.000000	427215200.000000	
HEX 51 : 126A7500	E31D4D0	164C9D00	
DEC 51 : 308966656.000000	238146768.000000	374119680.000000	
HEX 52 : 13F268C0	17F86DC0	3B0EB94	
DEC 52 : 334653632.000000	402156992.000000	61926292.000000	
HEX 53 : 94F7920	1E1D9620	98BB590	
DEC 53 : 156203296.000000	505255456.000000	160150928.000000	
HEX 54 : 6A85E28	1502D360	A042E50	
DEC 54 : 111697448.000000	352506720.000000	168046160.000000	
HEX 55 : 1ECF7A20	60094C0	C032	
DEC 55 : 516913696.000000	100701376.000000	49202.000000	
HEX 56 : 1B07D3E0	1CC77900	159FB0C0	
DEC 56 : 453497824.000000	482834688.000000	362787008.000000	
HEX 57 : 1AD5E6E0	197BAF80	D5969D0	
DEC 57 : 450225888.000000	427536256.000000	223963600.000000	
HEX 58 : 6126188	15E30F00	176D4640	
DEC 58 : 101867912.000000	367202048.000000	393037376.000000	
HEX 59 : E6737E0	1E673620	FB34780	
DEC 59 : 241645536.000000	510080544.000000	263407488.000000	
HEX 60 : 5F57E	137E81A0	1B381D00	
DEC 60 : 390526.000000	327057824.000000	456662272.000000	
HEX 61 : 7994578	D8F8660	A8FEEF0	
DEC 61 : 127485304.000000	227509856.000000	177204976.000000	
HEX 62 : C1A0120	12A0AD00	C032	
DEC 62 : 203030816.000000	312519936.000000	49202.000000	
HEX 63 : 1AE84200	2440DE8	111E3420	
DEC 63 : 451428864.000000	38014440.000000	287192096.000000	
HEX 64 : 1E3CC560	12768700	BE80B70	
DEC 64 : 507299168.000000	309757696.000000	199756656.000000	
HEX 65 : C685510	8822DF0	17FA4500	
DEC 65 : 208164112.000000	142749168.000000	402277632.000000	
HEX 66 : 1E2540C0	16B6C	178755E0	
DEC 66 : 505757888.000000	93036.000000	394745312.000000	
HEX 67 : 1B18F480	168D4960	66B37C0	
DEC 67 : 454620288.000000	378358112.000000	107689920.000000	
HEX 68 : E7A0180	19D03	A228CD0	
DEC 68 : 242876800.000000	105731.000000	170036432.000000	
HEX 69 : 1ECC43C0	F792530	18151EC0	
DEC 69 : 516703168.000000	259597616.000000	404037312.000000	
HEX 70 : 19288AC0	48FB340	9910190	
DEC 70 : 422087360.000000	76526400.000000	160498064.000000	
HEX 71 : 1B9E7C8	16B6C	F913E40	
DEC 71 : 28960712.000000	93036.000000	261176896.000000	
HEX 72 : 11E1A6C	1EA10500	EF79D40	
DEC 72 : 18750060.000000	513869056.000000	251108672.000000	
HEX 73 : 16333BE0	18A5F780	1CF504E0	
DEC 73 : 372456416.000000	413529984.000000	485819616.000000	
HEX 74 : 17D948A0	459E7A0	1F6149E0	
DEC 74 : 400115872.000000	73000864.000000	526469600.000000	
HEX 75 : 672B5C8	1E72D1E0	1EDD45A0	
DEC 75 : 108180936.000000	510841312.000000	517817760.000000	
HEX 76 : 7906E88	16EC2DE0	1EBBDDE0	
DEC 76 : 126905992.000000	384576992.000000	515628512.000000	
HEX 77 : 6755368	7203778	13656460	
DEC 77 : 108352360.000000	119551864.000000	325411936.000000	
HEX 78 : A2AEF	3F705	17C8C9E0	
