Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : FD3F800	FDA6370	15415120	
DEC 1 : 265549824.000000	265970544.000000	356602144.000000	
HEX 2 : 122239A0	1F408620	B44E0E0	
DEC 2 : 304232864.000000	524322336.000000	189063392.000000	
HEX 3 : 102BB220	BBFBC40	D7F9900	
DEC 3 : 271299104.000000	197114944.000000	226466048.000000	
HEX 4 : 18A446E0	16AEE	ED051D0	
DEC 4 : 413419232.000000	92910.000000	248533456.000000	
HEX 5 : A90EBC0	B3AA2A0	18041AE0	
DEC 5 : 177269696.000000	188392096.000000	402922208.000000	
HEX 6 : 1E851260	A8A5E60	156D0AE0	
DEC 6 : 512037472.000000	176840288.000000	359467744.000000	
HEX 7 : D6F7880	16B6C	1D715EA0	
DEC 7 : 225409152.000000	93036.000000	493969056.000000	
HEX 8 : 1F4B4AE0	87EA78	B539030	
DEC 8 : 525028064.000000	8907384.000000	190025776.000000	
HEX 9 : 7114530	1D5B84A0	BFB2210	
DEC 9 : 118572336.000000	492536992.000000	201007632.000000	
HEX 10 : 8C48310	122C9320	870A71	
DEC 10 : 147096336.000000	304911136.000000	8850033.000000	
HEX 11 : 11D00C40	16AEE	1689E000	
DEC 11 : 298847296.000000	92910.000000	378134528.000000	
HEX 12 : 368B310	9CAF980	19DC71A0	
DEC 12 : 57193232.000000	164297088.000000	433877408.000000	
HEX 13 : D860A90	16DA5	10316800	
DEC 13 : 226888336.000000	93605.000000	271673344.000000	
HEX 14 : 8187AD0	FC5D8B0	1E8479A0	
DEC 14 : 135822032.000000	264624304.000000	511998368.000000	
HEX 15 : 1CB9A260	1F0672E0	9C08CF0	
DEC 15 : 481927776.000000	520516320.000000	163613936.000000	
HEX 16 : 1AB266E0	11059960	15B044E0	
DEC 16 : 447899360.000000	285579616.000000	363873504.000000	
HEX 17 : 1BD4A340	16B9D9C0	9661C70	
DEC 17 : 466920256.000000	381278656.000000	157686896.000000	
HEX 18 : 1DFA2800	5AC1150	1B24DF60	
DEC 18 : 502933504.000000	95162704.000000	455401312.000000	
HEX 19 : 96D95A0	1F568880	131EF020	
DEC 19 : 158176672.000000	525764736.000000	320794656.000000	
HEX 20 : 1495BB40	175E5700	C2F7AD0	
DEC 20 : 345357120.000000	392058624.000000	204438224.000000	
HEX 21 : 1CCDC700	E890D90	1DA47700	
DEC 21 : 483247872.000000	243862928.000000	497317632.000000	
HEX 22 : 1486FB00	E2D8A30	1FC70080	
DEC 22 : 344390400.000000	237865520.000000	533135488.000000	
HEX 23 : A70A660	6E674D0	CE95C80	
DEC 23 : 175154784.000000	115766480.000000	216620160.000000	
HEX 24 : 1D0E53C0	9AB9730	C032	
DEC 24 : 487478208.000000	162240304.000000	49202.000000	
HEX 25 : 15D47220	C495D20	126F88E0	
DEC 25 : 366244384.000000	206134560.000000	309299424.000000	
HEX 26 : D194570	A2B43B0	1F06DC00	
DEC 26 : 219759984.000000	170607536.000000	520543232.000000	
HEX 27 : 1DE64F00	16B6C	15818200	
