Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
HEX 1 : 1BBC2700	191FEB80	4923188	
DEC 1 : 465315584.000000	421522304.000000	76689800.000000	
HEX 2 : 1C37E780	16A6F	140E9960	
DEC 2 : 473425792.000000	92783.000000	336501088.000000	
HEX 3 : C3F6620	1C2377E0	1D8DB780	
DEC 3 : 205481504.000000	472086496.000000	495826816.000000	
HEX 4 : 2CA7F10	1998F	1C559340	
DEC 4 : 46825232.000000	104847.000000	475370304.000000	
HEX 5 : 1D8EEC40	E767850	1A238900	
DEC 5 : 495905856.000000	242645072.000000	438536448.000000	
HEX 6 : 9EB0530	16AAF	19DFD980	
DEC 6 : 166397232.000000	92847.000000	434100608.000000	
HEX 7 : 16FEBD20	2EABBCC	75AD200	
DEC 7 : 385793312.000000	48937932.000000	123392512.000000	
HEX 8 : B103BC0	1F9DDF40	12159B00	
DEC 8 : 185613248.000000	530440000.000000	303405824.000000	
HEX 9 : 3F86F10	196F9820	1DF5D100	
DEC 9 : 66613008.000000	426743840.000000	502649088.000000	
HEX 10 : 16EA2CC0	170E1FC0	CF258E0	
DEC 10 : 384445632.000000	386801600.000000	217209056.000000	
HEX 11 : 6935788	1F603F80	18212340	
DEC 11 : 110319496.000000	526401408.000000	404824896.000000	
HEX 12 : 1F6AA9E0	1D8ADA40	C880CC0	
DEC 12 : 527084000.000000	495639104.000000	210242752.000000	
HEX 13 : DE7DE90	12453E20	1C4F9B20	
DEC 13 : 233299600.000000	306527776.000000	474979104.000000	
HEX 14 : 17982E20	1F45C480	1AA5BD80	
DEC 14 : 395849248.000000	524665984.000000	447069568.000000	
HEX 15 : A142970	5BC4930	D3F6680	
DEC 15 : 169093488.000000	96225584.000000	222258816.000000	
HEX 16 : 1B6D8440	14ACC6C0	131E8140	
DEC 16 : 460162112.000000	346867392.000000	320766272.000000	
HEX 17 : 17615260	16A30	E49AF50	
DEC 17 : 392254048.000000	92720.000000	239710032.000000	
HEX 18 : 1EB03440	C6812F0	C071	
DEC 18 : 514864192.000000	208147184.000000	49265.000000	
HEX 19 : 1121BF00	E26074	B9C8	
DEC 19 : 287424256.000000	14835828.000000	47560.000000	
