Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 1ECA7780	14FCA	FE3AB10	
DEC 1 : 516585344.000000	85962.000000	266578704.000000	
HEX 2 : 103A8AE0	3FCC208	18C66D60	
DEC 2 : 272272096.000000	66896392.000000	415657312.000000	
HEX 3 : 10EC4BC0	1DE25660	5C57EA8	
DEC 3 : 283921344.000000	501372512.000000	96829096.000000	
HEX 4 : 1F9B0960	C187850	D8B9E20	
DEC 4 : 530254176.000000	202930256.000000	227253792.000000	
HEX 5 : 11D32260	88AA1B0	123D12A0	
DEC 5 : 299049568.000000	143303088.000000	305992352.000000	
HEX 6 : 12473D20	B32B520	197A1060	
DEC 6 : 306658592.000000	187872544.000000	427429984.000000	
HEX 7 : 17476440	7498610	D20EF50	
DEC 7 : 390554688.000000	122258960.000000	220262224.000000	
HEX 8 : 57E9D30	FA04E90	BFF3	
DEC 8 : 92183856.000000	262164112.000000	49139.000000	
HEX 9 : 19658880	1C28DBA0	15489B60	
DEC 9 : 426084480.000000	472439712.000000	357079904.000000	
HEX 10 : 14619E2	EEB9960	13101700	
DEC 10 : 21371362.000000	250321248.000000	319821568.000000	
HEX 11 : 227D2D4	C94E320	BF5B380	
DEC 11 : 36164308.000000	211084064.000000	200651648.000000	
HEX 12 : 1517B080	1753E840	19223760	
DEC 12 : 353874048.000000	391374912.000000	421672800.000000	
HEX 13 : 2D101E0	199CEAA0	71513D8	
DEC 13 : 47251936.000000	429714080.000000	118821848.000000	
HEX 14 : 517F698	81B88A0	E8A9	
DEC 14 : 85456536.000000	136022176.000000	59561.000000	
HEX 15 : 15C3B780	1E0FDAA0	1C6F1300	
DEC 15 : 365148032.000000	504355488.000000	477041408.000000	
HEX 16 : 1C616C40	15FD3	1A3C7040	
DEC 16 : 476146752.000000	90067.000000	440168512.000000	
HEX 17 : 7F81078	1AAD0CC0	C77FD20	
DEC 17 : 133697656.000000	447548608.000000	209190176.000000	
HEX 18 : B3B08F0	18BC6B40	5EDF4D0	
DEC 18 : 188418288.000000	415001408.000000	99480784.000000	
HEX 19 : 1F46E000	1960C540	10F18440	
DEC 19 : 524738560.000000	425772352.000000	284263488.000000	
HEX 20 : 139C6440	B6A756	8C067F	
DEC 20 : 329016384.000000	11970390.000000	9176703.000000	
HEX 21 : 85D53C0	8DA7DC0	E04E9D0	
DEC 21 : 140334016.000000	148536768.000000	235203024.000000	
HEX 22 : 136BC620	10E39D00	14AE6100	
DEC 22 : 325830176.000000	283352320.000000	346972416.000000	
HEX 23 : 13FEFAE0	1493C3E0	5A9BA08	
DEC 23 : 335477472.000000	345228256.000000	95009288.000000	
HEX 24 : 1840C960	751D840	4F17178	
DEC 24 : 406899040.000000	122804288.000000	82932088.000000	
HEX 25 : 9C8FF10	185C0400	1C78FB00	
DEC 25 : 164167440.000000	408683520.000000	477690624.000000	
HEX 26 : EDEA9E0	49E2998	BE9D5D0	
DEC 26 : 249473504.000000	77474200.000000	199874000.000000	
HEX 27 : 9F74080	16F65BC0	14250480	
DEC 27 : 167198848.000000	385244096.000000	337970304.000000	
HEX 28 : 14393160	F6DF5A0	CEB63D0	
DEC 28 : 339292512.000000	258864544.000000	216753104.000000	
HEX 29 : 29FDB4C	514AAC0	115F3A80	
DEC 29 : 44030796.000000	85240512.000000	291453568.000000	
HEX 30 : 194A9E20	151F8B40	129B1D60	
DEC 30 : 424320544.000000	354388800.000000	312155488.000000	
HEX 31 : 690B8F0	12C191C0	E353950	
DEC 31 : 110147824.000000	314675648.000000	238369104.000000	
HEX 32 : 66598F0	19CA10E	A10AD10	
DEC 32 : 107321584.000000	27042062.000000	168865040.000000	
HEX 33 : 8C6E3C0	34BFBF0	17F261C0	
DEC 33 : 147252160.000000	55311344.000000	401760704.000000	
