Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 99
HEX 1 : 13F34C40	6E6F6A0	54B1290	
DEC 1 : 334711872.000000	115799712.000000	88806032.000000	
HEX 2 : FFD4A60	1A595660	1F1B6C00	
DEC 2 : 268257888.000000	442062432.000000	521890816.000000	
HEX 3 : 1EBDDA60	55168C0	F4E6FE0	
DEC 3 : 515758688.000000	89221312.000000	256798688.000000	
HEX 4 : 91BB780	58C6B28	8B05550	
DEC 4 : 152811392.000000	93088552.000000	145773904.000000	
HEX 5 : 11C87A60	BCD3180	ACB4	
DEC 5 : 298351200.000000	197996928.000000	44212.000000	
HEX 6 : 1A2C05A0	1D17A040	67B55F8	
DEC 6 : 439092640.000000	488087616.000000	108746232.000000	
HEX 7 : 4CCBE20	846FAF0	C071	
DEC 7 : 80526880.000000	138869488.000000	49265.000000	
HEX 8 : 195CF10	F15FC80	BCFD	
DEC 8 : 26595088.000000	253099136.000000	48381.000000	
HEX 9 : 1F69A3C0	C5BD0E0	1AC29DA0	
DEC 9 : 527016896.000000	207343840.000000	448961952.000000	
HEX 10 : 9D222D0	1C769240	145E5B40	
DEC 10 : 164766416.000000	477532736.000000	341728064.000000	
HEX 11 : 617D000	1A49D3C0	CCCC760	
DEC 11 : 102223872.000000	441045952.000000	214746976.000000	
HEX 12 : 13F5BB40	E0EB9B0	7A30A88	
DEC 12 : 334871360.000000	235846064.000000	128125576.000000	
HEX 13 : 1992F1E0	7D2B630	14F4FA80	
DEC 13 : 429060576.000000	131249712.000000	351599232.000000	
HEX 14 : 18A4C780	1B669260	14AB2F80	
DEC 14 : 413452160.000000	459706976.000000	346763136.000000	
HEX 15 : AB16E20	88EA3E0	10FAFAA0	
DEC 15 : 179400224.000000	143565792.000000	284883616.000000	
HEX 16 : 64145A8	15D97E60	13E1AA60	
DEC 16 : 104940968.000000	366575200.000000	333556320.000000	
HEX 17 : AE5DE20	CD35660	96AF230	
DEC 17 : 182836768.000000	215176800.000000	158003760.000000	
HEX 18 : E5891E0	7062B40	1C3E64C0	
DEC 18 : 240685536.000000	117844800.000000	473851072.000000	
HEX 19 : 12BB6C40	1F3E3500	1100B620	
DEC 19 : 314272832.000000	524170496.000000	285259296.000000	
HEX 20 : 13ED02E0	147A2DA0	1C83E080	
DEC 20 : 334299872.000000	343551392.000000	478404736.000000	
HEX 21 : 1F4D878	169B2	4248990	
DEC 21 : 32823416.000000	92594.000000	69503376.000000	
HEX 22 : 1FBAD100	1AFD34C	5EB	
DEC 22 : 532336896.000000	28300108.000000	1515.000000	
HEX 23 : 1F3F0780	19D6AB80	C7AE5F0	
DEC 23 : 524224384.000000	433499008.000000	209380848.000000	
HEX 24 : D39E1E0	10D6C	19C33A20	
DEC 24 : 221897184.000000	68972.000000	432224800.000000	
HEX 25 : 19F70100	1F0D8740	DBF9CA0	
DEC 25 : 435618048.000000	520980288.000000	230661280.000000	
HEX 26 : 110923C0	19903F60	1E19A	
DEC 26 : 285811648.000000	428883808.000000	123290.000000	
HEX 27 : 9FCB690	142E4CA0	ABE8D40	
DEC 27 : 167556752.000000	338578592.000000	180260160.000000	
HEX 28 : 16F29A60	F776	5A34D60	
DEC 28 : 384997984.000000	63350.000000	94588256.000000	
HEX 29 : 1B43E2E0	128D8700	19B3A1A0	
DEC 29 : 457433824.000000	311265024.000000	431202720.000000	
HEX 30 : 1F0E4F00	F680280	9879	
DEC 30 : 521031424.000000	258474624.000000	39033.000000	
HEX 31 : B8063C0	1A768500	6E14A28	
DEC 31 : 192963520.000000	443974912.000000	115427880.000000	
HEX 32 : 138C6B40	BCCF2D0	107B0700	
DEC 32 : 327969600.000000	197980880.000000	276498176.000000	
HEX 33 : 12522A60	174E7140	75A4528	
DEC 33 : 307374688.000000	391016768.000000	123356456.000000	
HEX 34 : 1BBDBC40	6498D78	6BB9590	
DEC 34 : 465419328.000000	105483640.000000	112956816.000000	
HEX 35 : 4270B48	B15B930	151E2680	
DEC 35 : 69667656.000000	185973040.000000	354297472.000000	
HEX 36 : 17ECDC40	BB2A4B0	1B32D7A0	
DEC 36 : 401398848.000000	196256944.000000	456316832.000000	
HEX 37 : 1217EF00	1382B10	311D0	
DEC 37 : 303558400.000000	20458256.000000	201168.000000	
HEX 38 : C021F10	7660570	1FDD422	
DEC 38 : 201465616.000000	124126576.000000	33412130.000000	
HEX 39 : 8A19970	58CF258	17917260	
DEC 39 : 144808304.000000	93123160.000000	395407968.000000	
HEX 40 : 91F01E0	E7169B0	BE39	
DEC 40 : 153027040.000000	242313648.000000	48697.000000	
HEX 41 : 1A7B6780	16580	1FDC39A0	
DEC 41 : 444295040.000000	91520.000000	534526368.000000	
HEX 42 : 1CFA4960	15B2E300	125886E0	
DEC 42 : 486164832.000000	364045056.000000	307791584.000000	
HEX 43 : 779BC40	6D7E6D0	1F518300	
DEC 43 : 125418560.000000	114812624.000000	525435648.000000	
HEX 44 : BDF64B0	12D621E0	1DB9CD00	
DEC 44 : 199189680.000000	316023264.000000	498715904.000000	
HEX 45 : 18CD6880	4A30D78	0	
DEC 45 : 416114816.000000	77794680.000000	0.000000	
HEX 46 : 4A86A58	164C3	B2BBA20	
