Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 1579D100	193D7D00	19F7D580	
DEC 1 : 360304896.000000	423460096.000000	435672448.000000	
HEX 2 : D942000	16B67E20	143BBCC0	
DEC 2 : 227811328.000000	381058592.000000	339459264.000000	
HEX 3 : 108CA960	44074E0	12F9C180	
DEC 3 : 277653856.000000	71333088.000000	318357888.000000	
HEX 4 : 18782A60	7682380	1BD22F00	
DEC 4 : 410528352.000000	124265344.000000	466759424.000000	
HEX 5 : CF060F0	196CCBE0	D3D18D0	
DEC 5 : 217080048.000000	426560480.000000	222107856.000000	
HEX 6 : 187A43C0	64EAD48	C673820	
DEC 6 : 410665920.000000	105819464.000000	208091168.000000	
HEX 7 : 180EF960	16C69	1A801460	
DEC 7 : 403634528.000000	93289.000000	444601440.000000	
HEX 8 : 744E0F0	D688770	9BAE	
DEC 8 : 121954544.000000	224954224.000000	39854.000000	
HEX 9 : 1379D880	B1EA32	D04FA10	
DEC 9 : 326752384.000000	11659826.000000	218429968.000000	
HEX 10 : A9CB3C0	E44AC10	A750240	
DEC 10 : 178041792.000000	239381520.000000	175440448.000000	
HEX 11 : 1400EC40	B581D40	90A75B0	
DEC 11 : 335604800.000000	190324032.000000	151680432.000000	
HEX 12 : 86311E0	5A71EA8	1B66D	
DEC 12 : 140710368.000000	94838440.000000	112237.000000	
HEX 13 : CB13C4	6524C00	167A5B40	
DEC 13 : 13308868.000000	106056704.000000	377117504.000000	
HEX 14 : DAA80F0	C61FBA0	3D6B854	
DEC 14 : 229277936.000000	207748000.000000	64403540.000000	
HEX 15 : F6EF0F0	1BC50480	6885DB0	
DEC 15 : 258928880.000000	465896576.000000	109600176.000000	
HEX 16 : 10A5788	12891C60	CDA24B0	
DEC 16 : 17454984.000000	310975584.000000	215622832.000000	
HEX 17 : 187E66A0	11C27CA	94C6	
DEC 17 : 410936992.000000	18622410.000000	38086.000000	
HEX 18 : D5222D0	BFF3	8BD0D10	
DEC 18 : 223486672.000000	49139.000000	146607376.000000	
HEX 19 : A074000	11454	1CCBB680	
DEC 19 : 168247296.000000	70740.000000	483112576.000000	
HEX 20 : A2680F0	6AB7A18	7421CC0	
DEC 20 : 170295536.000000	111901208.000000	121773248.000000	
HEX 21 : 12914D20	12877880	1803B500	
DEC 21 : 311512352.000000	310868096.000000	402896128.000000	
HEX 22 : BCEC1E0	8032450	E7B5BA0	
DEC 22 : 198099424.000000	134423632.000000	242965408.000000	
HEX 23 : 47F2000	BFCA0F0	E367B10	
DEC 23 : 75440128.000000	201105648.000000	238451472.000000	
HEX 24 : 11583880	1F7CABC0	19317CE0	
DEC 24 : 290994304.000000	528264128.000000	422673632.000000	
HEX 25 : 3357698	1A6ED960	12F88480	
DEC 25 : 53835416.000000	443472224.000000	318276736.000000	
HEX 26 : 16572B40	1347B180	1E7CAB00	
DEC 26 : 374811456.000000	323465600.000000	511486720.000000	
HEX 27 : 1328B2E0	1B6662C0	C95	
DEC 27 : 321434336.000000	459694784.000000	3221.000000	
HEX 28 : 4E4AA58	112D02C0	68416F8	
DEC 28 : 82094680.000000	288162496.000000	109319928.000000	
HEX 29 : 14ED2A60	1D4D8960	B730AF0	
DEC 29 : 351087200.000000	491620704.000000	192088816.000000	
HEX 30 : 1C3D788	8A9A9C0	1F8A738	
DEC 30 : 29611912.000000	145336768.000000	33072952.000000	
HEX 31 : 17E10B40	1680EC00	CC516C0	
DEC 31 : 400624448.000000	377547776.000000	214243008.000000	
HEX 32 : 56BB5A8	C351650	15AE95C0	
DEC 32 : 90944936.000000	204805712.000000	363763136.000000	
HEX 33 : C0D2C40	D41B030	19177FE0	
DEC 33 : 202189888.000000	222408752.000000	420970464.000000	
HEX 34 : DE38D30	66BAF30	1C02AD20	
DEC 34 : 233016624.000000	107720496.000000	469937440.000000	
HEX 35 : EDAA690	1CBF99A	6F126	
DEC 35 : 249210512.000000	30144922.000000	454950.000000	
HEX 36 : 187F0780	1D9D41A0	4D3CF40	
DEC 36 : 410978176.000000	496845216.000000	80990016.000000	
HEX 37 : 3037F10	1D450080	6EF31A0	
DEC 37 : 50560784.000000	491061376.000000	116339104.000000	
HEX 38 : E0ACE20	19747040	1C425440	
DEC 38 : 235589152.000000	427061312.000000	474108992.000000	
HEX 39 : 6399968	17724300	A7728B0	
DEC 39 : 104438120.000000	393364224.000000	175581360.000000	
HEX 40 : 18094960	1AC10	12F89400	
