Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 10063F40	F835290	1FE15BC0	
DEC 1 : 268844864.000000	260264592.000000	534862784.000000	
HEX 2 : 177716C0	102AE9A0	C032	
DEC 2 : 393680576.000000	271247776.000000	49202.000000	
HEX 3 : EC736C0	15C3EAE0	13BB75C0	
DEC 3 : 247936704.000000	365161184.000000	331052480.000000	
HEX 4 : 1D881040	1CEAA880	BEB7	
DEC 4 : 495456320.000000	485140608.000000	48823.000000	
HEX 5 : FF21EF0	123C1B80	C0B0	
DEC 5 : 267525872.000000	305929088.000000	49328.000000	
HEX 6 : 17FD3340	1108EAA0	1B9E9DC0	
DEC 6 : 402469696.000000	285797024.000000	463379904.000000	
HEX 7 : 8DDF480	8AC5440	7137CC0	
DEC 7 : 148763776.000000	145511488.000000	118717632.000000	
HEX 8 : 3014C58	1ABD0160	2974B70	
DEC 8 : 50416728.000000	448594272.000000	43469680.000000	
HEX 9 : 178D53C0	162A1440	EF861A0	
DEC 9 : 395137984.000000	371856448.000000	251158944.000000	
HEX 10 : BCF9D80	D7E16D0	13103B00	
DEC 10 : 198155648.000000	226367184.000000	319830784.000000	
HEX 11 : 5F7F5	1422C500	8A20F2	
DEC 11 : 391157.000000	337822976.000000	9052402.000000	
HEX 12 : A134380	15940EA0	1BB05700	
DEC 12 : 169034624.000000	362024608.000000	464541440.000000	
HEX 13 : 5F777	3959FC4	167433C0	
DEC 13 : 391031.000000	60137412.000000	376714176.000000	
HEX 14 : 7F5B6F0	1EC804C0	690BFF0	
DEC 14 : 133543664.000000	516424896.000000	110149616.000000	
HEX 15 : 5F7F5	68371A8	F847F50	
DEC 15 : 391157.000000	109277608.000000	260341584.000000	
HEX 16 : B20FE90	4FDB5A8	19A906C0	
DEC 16 : 186711696.000000	83735976.000000	430507712.000000	
HEX 17 : 1C075900	A074220	1A718EC0	
DEC 17 : 470243584.000000	168247840.000000	443649728.000000	
HEX 18 : BDFBBB0	146C0B00	CEAA710	
DEC 18 : 199211952.000000	342625024.000000	216704784.000000	
HEX 19 : E294F90	DE4D400	5E3FC00	
DEC 19 : 237588368.000000	233100288.000000	98827264.000000	
HEX 20 : 9A4BEF0	1B9BCB00	D2ED160	
DEC 20 : 161791728.000000	463194880.000000	221172064.000000	
HEX 21 : 77BCD28	11F44B4	12C43B60	
DEC 21 : 125553960.000000	18826420.000000	314850144.000000	
HEX 22 : F71BF50	621F440	1398C760	
DEC 22 : 259112784.000000	102888512.000000	328779616.000000	
HEX 23 : 421A3A8	3911878	9F01BC0	
DEC 23 : 69313448.000000	59840632.000000	166730688.000000	
HEX 24 : 17583660	34B1620	591C3C0	
DEC 24 : 391657056.000000	55252512.000000	93438912.000000	
HEX 25 : 1777E200	32A6078	18F95C60	
DEC 25 : 393732608.000000	53108856.000000	418995296.000000	
HEX 26 : 656F2	257D92C	1E594F80	
DEC 26 : 415474.000000	39311660.000000	509169536.000000	
HEX 27 : 1157B3A	1CA42EA0	1D6AA840	
DEC 27 : 18185018.000000	480521888.000000	493529152.000000	
HEX 28 : 1CCF1B20	1C2398C0	118B5080	
DEC 28 : 483334944.000000	472094912.000000	294342784.000000	
HEX 29 : 82EB540	DDFD970	C7A21D0	
DEC 29 : 137278784.000000	232774000.000000	209330640.000000	
HEX 30 : 5F5FC	4C22298	1CD9170	
DEC 30 : 390652.000000	79831704.000000	30249328.000000	
HEX 31 : 1EC66E60	18DDB4C	1AEBE4A0	
DEC 31 : 516320864.000000	26073932.000000	451667104.000000	
HEX 32 : 1789DC60	1563A840	6EFE400	
DEC 32 : 394910816.000000	358852672.000000	116384768.000000	
