Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 2502D2C	14833E60	DBAA310	
DEC 1 : 38808876.000000	344145504.000000	230335248.000000	
HEX 2 : 100F4BC0	E0FE7C0	CC4A550	
DEC 2 : 269437888.000000	235923392.000000	214213968.000000	
HEX 3 : E28C8F0	DF48C40	50D7CA8	
DEC 3 : 237553904.000000	234130496.000000	84769960.000000	
HEX 4 : 9C333C0	A0C4AD0	9C22280	
DEC 4 : 163787712.000000	168577744.000000	163717760.000000	
HEX 5 : 16B54960	165E24C0	14C44700	
DEC 5 : 380979552.000000	375268544.000000	348407552.000000	
HEX 6 : D4B8260	10A32D20	1F488100	
DEC 6 : 223052384.000000	279129376.000000	524845312.000000	
HEX 7 : 6714258	1998F5E0	9C2D18	
DEC 7 : 108085848.000000	429454816.000000	10235160.000000	
HEX 8 : ABF8F80	19951A20	F1E8090	
DEC 8 : 180326272.000000	429201952.000000	253657232.000000	
HEX 9 : 1311C5A0	1B894520	29BA32C	
DEC 9 : 319931808.000000	461980960.000000	43754284.000000	
HEX 10 : 2EF8000	D3D1220	BA79DB0	
DEC 10 : 49250304.000000	222106144.000000	195534256.000000	
HEX 11 : 1512A9E0	709D710	1B01DE60	
DEC 11 : 353544672.000000	118085392.000000	453107296.000000	
HEX 12 : 1E162A60	CD90930	5EE0FC0	
DEC 12 : 504769120.000000	215550256.000000	99487680.000000	
HEX 13 : 18BC6520	7A391E0	6E4FAA0	
DEC 13 : 414999840.000000	128160224.000000	115669664.000000	
HEX 14 : 6AD1E20	3880C78	D50B0F0	
DEC 14 : 112008736.000000	59247736.000000	223391984.000000	
HEX 15 : E9C7170	8EE2440	1F4FAF40	
DEC 15 : 245133680.000000	149824576.000000	525315904.000000	
HEX 16 : 1A2632E0	47F01E0	153572A0	
DEC 16 : 438711008.000000	75432416.000000	355824288.000000	
HEX 17 : 1B294080	1416F0C0	69E16D8	
DEC 17 : 455688320.000000	337047744.000000	111023832.000000	
HEX 18 : 16355B40	FA274F0	10D1CB40	
DEC 18 : 372595520.000000	262305008.000000	282184512.000000	
HEX 19 : 10066000	118AB300	14AB44A0	
DEC 19 : 268853248.000000	294302464.000000	346768544.000000	
HEX 20 : 1F774800	8C9FF50	1AF0C3C0	
DEC 20 : 527910912.000000	147455824.000000	451986368.000000	
HEX 21 : 8DAEAD0	A4ABC00	E684DF	
DEC 21 : 148564688.000000	172669952.000000	15107295.000000	
HEX 22 : D87A8F0	72762D0	F998B50	
DEC 22 : 226994416.000000	120021712.000000	261720912.000000	
HEX 23 : 11ED3CC0	174FED60	F070E00	
DEC 23 : 300760256.000000	391114080.000000	252120576.000000	
HEX 24 : 4D52698	341A65C	19814	
DEC 24 : 81077912.000000	54634076.000000	104468.000000	
HEX 25 : 6FB4A58	1B2946E0	1CE03A40	
DEC 25 : 117131864.000000	455689952.000000	484457024.000000	
HEX 26 : 18179900	1566F260	1C835FA0	
DEC 26 : 404199680.000000	359068256.000000	478371744.000000	
HEX 27 : B1681E0	314A4B4	73AF590	
DEC 27 : 186024416.000000	51684532.000000	121304464.000000	
HEX 28 : 1AC4D260	6E965A	61B9B28	
DEC 28 : 449106528.000000	7247450.000000	102472488.000000	
HEX 29 : 76A3000	5E15C00	146E3D80	
DEC 29 : 124399616.000000	98655232.000000	342769024.000000	
HEX 30 : 15812D20	A835F10	CB15A	
DEC 30 : 360787232.000000	176381712.000000	831834.000000	
HEX 31 : 115DBAE0	80423C0	863C1A0	
DEC 31 : 291355360.000000	134489024.000000	140755360.000000	
HEX 32 : 100EEEA0	1F469800	140A7480	
DEC 32 : 269414048.000000	524720128.000000	336229504.000000	
HEX 33 : 1A61B620	D980620	1E202B80	
DEC 33 : 442611232.000000	228066848.000000	505424768.000000	
HEX 34 : E2E4AD0	1E1BDF80	1BC1D0A0	
DEC 34 : 237914832.000000	505143168.000000	465686688.000000	
HEX 35 : 321FB4C	12DC9FC0	C0B0	
DEC 35 : 52558668.000000	316448704.000000	49328.000000	
HEX 36 : 2C69E98	A8142D0	19C76820	
DEC 36 : 46571160.000000	176243408.000000	432498720.000000	
HEX 37 : 26BCB4	1B67C300	FDA4800	
DEC 37 : 2538676.000000	459784960.000000	265963520.000000	
HEX 38 : C494F80	19E06080	56E1CF0	
DEC 38 : 206131072.000000	434135168.000000	91102448.000000	
HEX 39 : 124A76A0	A592E20	147AFBE0	
DEC 39 : 306869920.000000	173616672.000000	343604192.000000	
HEX 40 : 1AEFFA60	4C03E58	1FB5F3C0	
DEC 40 : 451934816.000000	79707736.000000	532018112.000000	
HEX 41 : 4DD7AD0	CCD4800	12EB69C0	
DEC 41 : 81623760.000000	214779904.000000	317417920.000000	
HEX 42 : 16302D2	9F40AD0	17880	
DEC 42 : 23266002.000000	166988496.000000	96384.000000	
HEX 43 : 1DB78F80	1C0DB8C0	16F71880	
DEC 43 : 498569088.000000	470661312.000000	385292416.000000	
HEX 44 : BAA3880	CAD7750	187C66A0	
DEC 44 : 195704960.000000	212694864.000000	410805920.000000	
HEX 45 : 15F91700	6E10310	E3C52F0	
DEC 45 : 368645888.000000	115409680.000000	238834416.000000	
HEX 46 : 1013878	979B88	1D7A9B20	
DEC 46 : 16857208.000000	9935752.000000	494574368.000000	
HEX 47 : 131E34C0	119F1F80	BB96CF	
DEC 47 : 320746688.000000	295640960.000000	12293839.000000	
HEX 48 : D884DA0	4975620	18A05BE0	
DEC 48 : 227036576.000000	77026848.000000	413162464.000000	
HEX 49 : AC0A260	1329AFC0	B2F4160	
DEC 49 : 180396640.000000	321499072.000000	187646304.000000	
HEX 50 : 6220F88	E5083C0	1F56A340	
DEC 50 : 102895496.000000	240157632.000000	525771584.000000	
HEX 51 : 173DBD20	1A29C9E0	8B94A60	
DEC 51 : 389922080.000000	438946272.000000	146360928.000000	
HEX 52 : CE4D2D	16429B40	68FE128	
DEC 52 : 13520173.000000	373463872.000000	110092584.000000	
HEX 53 : 1751ADA0	1C693CC0	104C7DC0	
DEC 53 : 391228832.000000	476658880.000000	273448384.000000	
HEX 54 : 1158F700	1858E96	1EE94FC0	
DEC 54 : 291043072.000000	25530006.000000	518606784.000000	
HEX 55 : 186D0E20	16EA4EE0	7AD66	
DEC 55 : 409800224.000000	384454368.000000	503142.000000	
HEX 56 : 1B708CC0	BE27930	CE9A0D0	
DEC 56 : 460360896.000000	199391536.000000	216637648.000000	
HEX 57 : 12594AE0	24E3E5C	12FE75C0	
DEC 57 : 307841760.000000	38682204.000000	318666176.000000	
HEX 58 : 11D4B960	14FE0AE0	7DD75F0	
DEC 58 : 299153760.000000	352193248.000000	131954160.000000	
HEX 59 : 8FB8350	13178E60	1280B180	
DEC 59 : 150700880.000000	320310880.000000	310423936.000000	
HEX 60 : 1B243BC0	4F46E58	C032	
DEC 60 : 455359424.000000	83127896.000000	49202.000000	
HEX 61 : 19E35800	1E4CE100	273A26	
DEC 61 : 434329600.000000	508354816.000000	2570790.000000	
HEX 62 : 5A8B9E0	1BAD0C80	8848640	
DEC 62 : 94943712.000000	464325760.000000	142902848.000000	
HEX 63 : 351F34C	6E7FDA8	69D32D8	
DEC 63 : 55702348.000000	115867048.000000	110965464.000000	
HEX 64 : 1D932800	140A8D20	16CC6820	
DEC 64 : 496183296.000000	336235808.000000	382494752.000000	
HEX 65 : 15FAADA0	EA4D690	70BD588	
DEC 65 : 368749984.000000	245683856.000000	118216072.000000	
HEX 66 : C443D30	14A85500	C032	
DEC 66 : 205798704.000000	346576128.000000	49202.000000	
HEX 67 : 11311080	16DAF960	19DFDCC0	
DEC 67 : 288428160.000000	383449440.000000	434101440.000000	
HEX 68 : 1EA379E0	1ABCF2E0	74A8A58	
DEC 68 : 514030048.000000	448590560.000000	122325592.000000	
HEX 69 : 1F39FA60	140EF2A0	1E829380	
DEC 69 : 523893344.000000	336523936.000000	511873920.000000	
