Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 1DBB3100	13B27C4	18EE7360	
DEC 1 : 498807040.000000	20654020.000000	418280288.000000	
HEX 2 : 10DA6080	13D98260	10938680	
DEC 2 : 282747008.000000	333021792.000000	278103680.000000	
HEX 3 : 1EA24960	1A566AE0	C876CE0	
DEC 3 : 513952096.000000	441871072.000000	210201824.000000	
HEX 4 : 5E678F0	2A8703C	CE7DFC0	
DEC 4 : 98990320.000000	44593212.000000	216522688.000000	
HEX 5 : 73A5D30	F99B6D0	13F9F880	
DEC 5 : 121265456.000000	261732048.000000	335149184.000000	
HEX 6 : 19E49100	9619A90	7E99CE0	
DEC 6 : 434409728.000000	157391504.000000	132750560.000000	
HEX 7 : 70FBF88	1A0A67C0	74403C8	
DEC 7 : 118472584.000000	436889536.000000	121897928.000000	
HEX 8 : 3F52D2	FD2A310	1129D220	
DEC 8 : 4149970.000000	265462544.000000	287953440.000000	
HEX 9 : 1A13A2E0	6B35E98	BFB4	
DEC 9 : 437494496.000000	112418456.000000	49076.000000	
HEX 10 : 1EB57000	1FE84440	C071	
DEC 10 : 515207168.000000	535315520.000000	49265.000000	
HEX 11 : BA428F0	1278A220	607E270	
DEC 11 : 195307760.000000	309895712.000000	101180016.000000	
HEX 12 : E81F800	CB1E9E0	10886620	
DEC 12 : 243398656.000000	212986336.000000	277374496.000000	
HEX 13 : 149D8AE0	1A8A28C0	100BF3	
DEC 13 : 345869024.000000	445262016.000000	1051635.000000	
HEX 14 : 106B61E	492A748	57BBD58	
DEC 14 : 17217054.000000	76719944.000000	91995480.000000	
HEX 15 : 55783C0	1DAD4260	1F70C500	
DEC 15 : 89621440.000000	497893984.000000	527484160.000000	
HEX 16 : 1832078	9B685E0	C032	
DEC 16 : 25370744.000000	162956768.000000	49202.000000	
HEX 17 : 1732F880	1A7E7AA0	B5990C0	
DEC 17 : 389216384.000000	444496544.000000	190419136.000000	
HEX 18 : 164912E0	2856388	B502EB0	
DEC 18 : 373887712.000000	42296200.000000	189804208.000000	
HEX 19 : 34BBAD4	F3F8000	1A634840	
DEC 19 : 55294676.000000	255819776.000000	442714176.000000	
HEX 20 : ADD2690	390C00	12045A40	
DEC 20 : 182265488.000000	3738624.000000	302275136.000000	
HEX 21 : 11E59800	7E58130	1E25B220	
DEC 21 : 300259328.000000	132481328.000000	505786912.000000	
HEX 22 : 7691710	87C9840	6447058	
DEC 22 : 124327696.000000	142383168.000000	105148504.000000	
HEX 23 : 1F0CAC40	13F6A080	8713D50	
DEC 23 : 520924224.000000	334930048.000000	141638992.000000	
HEX 24 : 12315B40	F115D30	1B74E980	
DEC 24 : 305224512.000000	252796208.000000	460646784.000000	
HEX 25 : 31A9000	1D405B40	CCEE4F0	
DEC 25 : 52072448.000000	490756928.000000	214885616.000000	
HEX 26 : 152621E0	A0D5310	DB89060	
DEC 26 : 354820576.000000	168645392.000000	230199392.000000	
HEX 27 : 19574F00	1AF3C1E0	1E181F80	
DEC 27 : 425152256.000000	452182496.000000	504897408.000000	
HEX 28 : 1F1DC3C0	14363A60	10E160A0	
DEC 28 : 522044352.000000	339098208.000000	283205792.000000	
HEX 29 : 12494260	601078	1346A3E0	
DEC 29 : 306791008.000000	6295672.000000	323396576.000000	
HEX 30 : 176C2C40	54155A8	19C47AA0	
DEC 30 : 392965184.000000	88167848.000000	432306848.000000	
HEX 31 : 1F89A2E0	F6E0BC0	16AE56A0	
DEC 31 : 529113824.000000	258870208.000000	380524192.000000	
HEX 32 : 39135A4	149BFC80	3651E80	
DEC 32 : 59848100.000000	345767040.000000	56958592.000000	
HEX 33 : 86B5F10	10FD8BC0	CAC4A10	
DEC 33 : 141254416.000000	285051840.000000	212617744.000000	
HEX 34 : 109E9F00	1E086880	A69F120	
DEC 34 : 278830848.000000	503867520.000000	174715168.000000	
HEX 35 : D8214B0	BDCA1A0	91DDFF0	
DEC 35 : 226628784.000000	199008672.000000	152952816.000000	
HEX 36 : 31700F0	BCFD930	B75D730	
DEC 36 : 51839216.000000	198170928.000000	192272176.000000	
HEX 37 : D6485A0	3E014B4	1940CCC0	
DEC 37 : 224691616.000000	65017012.000000	423677120.000000	
HEX 38 : AA31440	165049E0	1409BEE0	
DEC 38 : 178459712.000000	374360544.000000	336183008.000000	
HEX 39 : 7637F88	1DFC878	1DF1ED80	
DEC 39 : 123961224.000000	31443064.000000	502394240.000000	
HEX 40 : FE60710	2CBA12C	BFB4	
DEC 40 : 266733328.000000	46899500.000000	49076.000000	
HEX 41 : 564B968	1BB78100	14BA9E20	
DEC 41 : 90487144.000000	465010944.000000	347774496.000000	
HEX 42 : 7C18878	98679E0	1D77A1C0	
