Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 12BB9000	A2D7CF0	121F3900	
DEC 1 : 314281984.000000	170753264.000000	304036096.000000	
HEX 2 : A280A60	1432ADA0	1CD33F20	
DEC 2 : 170396256.000000	338865568.000000	483606304.000000	
HEX 3 : 15C02A60	16E23D60	BC40	
DEC 3 : 364915296.000000	383925600.000000	48192.000000	
HEX 4 : 773C698	EFDE8B0	97FB9D0	
DEC 4 : 125027992.000000	251521200.000000	159365584.000000	
HEX 5 : 1BC9A960	BBABB50	13CF9E80	
DEC 5 : 466200928.000000	196787024.000000	332373632.000000	
HEX 6 : 1E949E20	1EBF8E20	F3A7880	
DEC 6 : 513056288.000000	515870240.000000	255490176.000000	
HEX 7 : 1DF161E0	42DDF88	9EDDC70	
DEC 7 : 502358496.000000	70115208.000000	166583408.000000	
HEX 8 : E6205A0	7FBEB10	1A63FC60	
DEC 8 : 241304992.000000	133950224.000000	442760288.000000	
HEX 9 : AA0EA60	7E30B4	E0F53A0	
DEC 9 : 178317920.000000	8270004.000000	235885472.000000	
HEX 10 : 1BF893C0	142D3900	1518D580	
DEC 10 : 469275584.000000	338508032.000000	353949056.000000	
HEX 11 : 1B628E20	BF2C0B0	1911EAE	
DEC 11 : 459443744.000000	200458416.000000	26287790.000000	
HEX 12 : 1B1FB000	13997740	4215140	
DEC 12 : 455061504.000000	328824640.000000	69292352.000000	
HEX 13 : 5215F10	A3FC8F0	C0B0	
DEC 13 : 86073104.000000	171952368.000000	49328.000000	
HEX 14 : 903A2D0	14E7E480	BEF6	
DEC 14 : 151233232.000000	350741632.000000	48886.000000	
HEX 15 : 5ED4788	1500B8C0	DC4D0F0	
DEC 15 : 99436424.000000	352368832.000000	231002352.000000	
HEX 16 : 153A7E20	14B13A60	8AF41B0	
DEC 16 : 356154912.000000	347159136.000000	145703344.000000	
HEX 17 : 5659C40	1D789B40	B22EA80	
DEC 17 : 90545216.000000	494443328.000000	186837632.000000	
HEX 18 : 15C3C1E0	F77C9E0	1777CAE0	
DEC 18 : 365150688.000000	259508704.000000	393726688.000000	
HEX 19 : 138A000	1AFC0B4	12467880	
DEC 19 : 20488192.000000	28295348.000000	306608256.000000	
HEX 20 : 1F195780	1794CE60	1BC464A0	
DEC 20 : 521754496.000000	395628128.000000	465855648.000000	
HEX 21 : F67D880	8C6EA90	55999A8	
DEC 21 : 258463872.000000	147253904.000000	89758120.000000	
HEX 22 : 94C1F10	1AE49300	1109C180	
DEC 22 : 155983632.000000	451187456.000000	285852032.000000	
HEX 23 : 111C2D2	3E8A710	C032	
DEC 23 : 17941202.000000	65578768.000000	49202.000000	
HEX 24 : AFDE690	1E2F3B40	61DA340	
DEC 24 : 184411792.000000	506411840.000000	102605632.000000	
HEX 25 : 587AD30	680EFC0	1F31A900	
DEC 25 : 92777776.000000	109113280.000000	523348224.000000	
HEX 26 : 10264B4	1B3C3080	570D3F0	
DEC 26 : 16934068.000000	456929408.000000	91280368.000000	
HEX 27 : 143B1780	D3A12D	18997780	
DEC 27 : 339416960.000000	13869357.000000	412710784.000000	
HEX 28 : 71350F0	B4E0840	15DB7140	
DEC 28 : 118706416.000000	189663296.000000	366702912.000000	
HEX 29 : CD5CD30	1418A080	AC9A190	
DEC 29 : 215338288.000000	337158272.000000	180986256.000000	
HEX 30 : 185934C0	7F4DA98	D43C7D0	
DEC 30 : 408499392.000000	133487256.000000	222545872.000000	
HEX 31 : 1772F3C0	529A1E0	6234718	
DEC 31 : 393409472.000000	86614496.000000	102975256.000000	
HEX 32 : D2122D0	14890F80	124C6740	
DEC 32 : 220275408.000000	344526720.000000	306997056.000000	
HEX 33 : 105CED20	165A3520	1925A500	
DEC 33 : 274525472.000000	375010592.000000	421897472.000000	
HEX 34 : CC374B0	1E69A9E0	16B86200	
DEC 34 : 214135984.000000	510241248.000000	381182464.000000	
HEX 35 : 1F58DC40	84F43C	15258920	
DEC 35 : 525917248.000000	8713276.000000	354781472.000000	
