Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 1 : 923DE20	11132EE0	84E9760	
DEC 1 : 153345568.000000	286469856.000000	139368288.000000	
HEX 2 : AE93970	C47400	32D4B48	
DEC 2 : 183056752.000000	12874752.000000	53300040.000000	
HEX 3 : 1276A5A0	46B7840	139D7440	
DEC 3 : 309765536.000000	74152000.000000	329086016.000000	
HEX 4 : 121B0960	123D4300	981C170	
DEC 4 : 303761760.000000	306004736.000000	159498608.000000	
HEX 5 : AEFDE20	3831A5	AAFA960	
DEC 5 : 183492128.000000	3682725.000000	179284320.000000	
HEX 6 : 187E72E0	11B74A20	14F6A9C0	
DEC 6 : 410940128.000000	297224736.000000	351709632.000000	
HEX 7 : 230EE20	F3BCDE0	15A84D20	
DEC 7 : 36761120.000000	255577568.000000	363351328.000000	
HEX 8 : 15A47880	182B99A0	193CA120	
DEC 8 : 363100288.000000	405510560.000000	423403808.000000	
HEX 9 : 914E0F0	7586698	B693	
DEC 9 : 152363248.000000	123233944.000000	46739.000000	
HEX 10 : 30BEE20	4F583C	DE36480	
DEC 10 : 51113504.000000	5199932.000000	233006208.000000	
HEX 11 : 14B07780	1F77E960	DFC8CB0	
DEC 11 : 347109248.000000	527952224.000000	234654896.000000	
HEX 12 : 11C1B5A0	1E4FC880	14D2FCE0	
DEC 12 : 297907616.000000	508545152.000000	349371616.000000	
HEX 13 : D8CDA60	5FD70B8	191FDC80	
DEC 13 : 227334752.000000	100495544.000000	421518464.000000	
HEX 14 : 187E14C0	128EEC40	1DF90720	
DEC 14 : 410916032.000000	311356480.000000	502859552.000000	
HEX 15 : 126ACD20	115E7000	19654FA0	
DEC 15 : 308989216.000000	291401728.000000	426069920.000000	
HEX 16 : 74602D0	D367970	107B9500	
DEC 16 : 122028752.000000	221673840.000000	276534528.000000	
HEX 17 : 14E85B40	E40C400	A60B	
DEC 17 : 350772032.000000	239125504.000000	42507.000000	
HEX 18 : 11632100	1D8451E0	6BD1	
DEC 18 : 291709184.000000	495210976.000000	27601.000000	
HEX 19 : 109C64C0	B4F79E0	1D7C3C80	
DEC 19 : 278684864.000000	189757920.000000	494681216.000000	
HEX 20 : 187E9880	1B6FDDA0	1314E500	
DEC 20 : 410949760.000000	460316064.000000	320136448.000000	
HEX 21 : 2684698	1D7AB1E0	81921D0	
DEC 21 : 40388248.000000	494580192.000000	135864784.000000	
HEX 22 : EB72B50	E0000B0	449F458	
DEC 22 : 246885200.000000	234881200.000000	71955544.000000	
HEX 23 : 1869C100	E9391A0	DEC1C90	
DEC 23 : 409583872.000000	244552096.000000	233577616.000000	
HEX 24 : 12A12780	37B3968	1F71F5E0	
DEC 24 : 312551296.000000	58407272.000000	527562208.000000	
HEX 25 : 187EA2E0	FA8AB50	678B920	
DEC 25 : 410952416.000000	262712144.000000	108575008.000000	
HEX 26 : FEE2780	16AF7960	148FC260	
DEC 26 : 267265920.000000	380598624.000000	344965728.000000	
HEX 27 : A4A7D30	20539E0	1EA14160	
DEC 27 : 172653872.000000	33896928.000000	513884512.000000	
HEX 28 : B0B1000	11105800	161D2700	
DEC 28 : 185274368.000000	286283776.000000	371009280.000000	
HEX 29 : D4494B0	700D220	6AD5978	
DEC 29 : 222598320.000000	117494304.000000	112023928.000000	
HEX 30 : 187E7000	7593348	351B7	
DEC 30 : 410939392.000000	123286344.000000	217527.000000	
HEX 31 : 10BAF3C0	B62B440	C4DC950	
DEC 31 : 280687552.000000	191018048.000000	206424400.000000	
HEX 32 : 1978B4C	1F51BC40	1A383820	
DEC 32 : 26708812.000000	525450304.000000	439892000.000000	
HEX 33 : E23C000	AC86FC0	135901A0	
DEC 33 : 237223936.000000	180907968.000000	324600224.000000	
HEX 34 : AB485A0	7172BC0	DC1A5F0	
DEC 34 : 179602848.000000	118959040.000000	230794736.000000	
HEX 35 : 187E71E0	B212800	1CBEF220	
DEC 35 : 410939872.000000	186722304.000000	482275872.000000	
HEX 36 : 57F4D30	A9DDAD0	99D8DE0	
DEC 36 : 92228912.000000	178117328.000000	161320416.000000	
HEX 37 : C15FD30	1153F120	1D90E8A0	
DEC 37 : 202767664.000000	290713888.000000	496036000.000000	
HEX 38 : CA5A4B0	13ADE5E0	E7D33A0	
DEC 38 : 212182192.000000	330163680.000000	243086240.000000	
HEX 39 : A58C000	1877A920	78A6CF0	
DEC 39 : 173588480.000000	410495264.000000	126512368.000000	
HEX 40 : 14A1BF00	9333D70	63F0D30	
DEC 40 : 346144512.000000	154353008.000000	104795440.000000	
HEX 41 : 5781A58	148595A0	1099D3E0	
DEC 41 : 91757144.000000	344298912.000000	278516704.000000	
HEX 42 : 11EE1E	78C9348	19A33F80	
DEC 42 : 1175070.000000	126653256.000000	430129024.000000	
HEX 43 : 6D11698	18EB1380	1FB9CD60	
DEC 43 : 114366104.000000	418059136.000000	532270432.000000	
HEX 44 : 1877B780	3B587C4	9AF7210	
DEC 44 : 410498944.000000	62228420.000000	162492944.000000	
HEX 45 : 15306F00	B070F50	15FB3460	
DEC 45 : 355495680.000000	185012048.000000	368784480.000000	
HEX 46 : 11576D20	3E1CE20	C307380	
DEC 46 : 290942240.000000	65130016.000000	204501888.000000	
HEX 47 : 187E73C0	1F35CBC0	1998ED20	
DEC 47 : 410940352.000000	523619264.000000	429452576.000000	
HEX 48 : CD820F0	14BB8EE0	17C296C	
DEC 48 : 215490800.000000	347836128.000000	24914284.000000	
HEX 49 : 89C0A60	1C5FC160	16DCB0A0	
DEC 49 : 144444000.000000	476037472.000000	383561888.000000	
HEX 50 : 7B2F3C0	A6DCC40	177732A0	
DEC 50 : 129168320.000000	174967872.000000	393687712.000000	
HEX 51 : 2E72968	318F65C	1F9A9780	
DEC 51 : 48703848.000000	51967580.000000	530225024.000000	
