Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 1 : 1F0BB3C0	1532D2	6AA0FA8	
DEC 1 : 520860608.000000	1389266.000000	111808424.000000	
HEX 2 : 1FCF8C00	12617780	EFFA830	
DEC 2 : 533695488.000000	308377472.000000	251635760.000000	
HEX 3 : 1DDCC380	B7BEA60	CB09080	
DEC 3 : 501007232.000000	192670304.000000	212897920.000000	
HEX 4 : E4E5100	141ECF00	1AC05D00	
DEC 4 : 240013568.000000	337563392.000000	448814336.000000	
HEX 5 : 6870740	6F0B2D0	1E3D7B40	
DEC 5 : 109512512.000000	116437712.000000	507345728.000000	
HEX 6 : 1D72E700	9F0ECB0	194325C0	
DEC 6 : 494069504.000000	166784176.000000	423830976.000000	
HEX 7 : 1191FE80	1D557EA0	17F195C0	
DEC 7 : 294780544.000000	492142240.000000	401708480.000000	
HEX 8 : DA3FBD0	368B000	1F6A8A60	
DEC 8 : 228850640.000000	57192448.000000	527075936.000000	
HEX 9 : 13F28A80	15B39440	1F7B0660	
DEC 9 : 334662272.000000	364090432.000000	528156256.000000	
HEX 10 : 1237FCC0	179B2BC0	8381850	
DEC 10 : 305659072.000000	396045248.000000	137893968.000000	
HEX 11 : 1C3B10C0	71084B8	6D0FB50	
DEC 11 : 473632960.000000	118523064.000000	114359120.000000	
HEX 12 : 5F7F5	8CB09E0	134E6CC0	
DEC 12 : 391157.000000	147524064.000000	323906752.000000	
HEX 13 : 1A8DD120	DA72E90	C032	
DEC 13 : 445501728.000000	229060240.000000	49202.000000	
HEX 14 : 1F188EE0	5A11710	C1AD	
DEC 14 : 521703136.000000	94443280.000000	49581.000000	
HEX 15 : DBC84A0	DA07690	15A596A0	
DEC 15 : 230458528.000000	228619920.000000	363173536.000000	
HEX 16 : 80B28D0	FBF2690	1A186E00	
DEC 16 : 134949072.000000	264185488.000000	437808640.000000	
HEX 17 : 64DBE38	CDF8F10	AA1ED80	
DEC 17 : 105758264.000000	215977744.000000	178384256.000000	
HEX 18 : 17F49D00	186256A0	14409F00	
DEC 18 : 401906944.000000	409097888.000000	339779328.000000	
HEX 19 : FAFF2D0	99E8F1	18BC7980	
DEC 19 : 263189200.000000	10086641.000000	415005056.000000	
HEX 20 : 1A959F20	D5E4800	13337160	
DEC 20 : 446013216.000000	224282624.000000	322138464.000000	
HEX 21 : 5F403	7F46A58	BD2E1E0	
DEC 21 : 390147.000000	133458520.000000	198369760.000000	
HEX 22 : 1A89DBE0	14303D20	3BDF388	
DEC 22 : 445242336.000000	338705696.000000	62780296.000000	
HEX 23 : 5CF80D8	16D899E0	1BECDDC0	
DEC 23 : 97485016.000000	383293920.000000	468508096.000000	
HEX 24 : 17BA4100	F484E90	8EDCE90	
DEC 24 : 398082304.000000	256396944.000000	149802640.000000	
HEX 25 : AF384B0	1C5231E0	1B62FEC0	
DEC 25 : 183731376.000000	475148768.000000	459472576.000000	
HEX 26 : 63F7780	3CB5168	C9EF860	
DEC 26 : 104822656.000000	63656296.000000	211744864.000000	
HEX 27 : 1F3E59E0	16B5D6A0	1521F020	
DEC 27 : 524179936.000000	381015712.000000	354545696.000000	
HEX 28 : 737E578	35E4B4C	14D92	
DEC 28 : 121103736.000000	56511308.000000	85394.000000	
HEX 29 : 73F2E78	1D7C8AE0	887CBA0	
DEC 29 : 121581176.000000	494701280.000000	143117216.000000	
HEX 30 : 1F07CE60	2DDE5A4	17342300	
DEC 30 : 520605280.000000	48096676.000000	389292800.000000	
HEX 31 : CC69430	8079DA0	C9A9DA0	
DEC 31 : 214340656.000000	134716832.000000	211459488.000000	
HEX 32 : 15A924C0	1A966100	2390664	
DEC 32 : 363406528.000000	446062848.000000	37291620.000000	
HEX 33 : 109A8200	16C43A60	14163DE0	
DEC 33 : 278561280.000000	381958752.000000	337001952.000000	
HEX 34 : 5F6BA	172F8B40	11C0F2A0	
DEC 34 : 390842.000000	388991808.000000	297857696.000000	
HEX 35 : 1567E780	8670080	CC74B00	
DEC 35 : 359131008.000000	140968064.000000	214387456.000000	
HEX 36 : D844EB0	1BD77AE0	412D048	
DEC 36 : 226774704.000000	467106528.000000	68341832.000000	
HEX 37 : 1FBF1BC0	19621160	42567	
DEC 37 : 532618176.000000	425857376.000000	271719.000000	
HEX 38 : 165D11A0	1235D000	18CA6EE0	
DEC 38 : 375198112.000000	305516544.000000	415919840.000000	
HEX 39 : BB0BCF0	83FBAD0	399A964	
DEC 39 : 196132080.000000	138394320.000000	60402020.000000	
HEX 40 : 12938C20	E58D1E0	1E0710C0	
DEC 40 : 311659552.000000	240701920.000000	503779520.000000	
HEX 41 : 1F9A0EA	1132E440	15E1ABA0	
DEC 41 : 33136874.000000	288547904.000000	367111072.000000	
HEX 42 : 7B7B010	1942000	13BD1B60	
DEC 42 : 129478672.000000	26484736.000000	331160416.000000	
HEX 43 : B7D1090	FB3B0F0	4A6ACA8	
DEC 43 : 192745616.000000	263434480.000000	78032040.000000	
HEX 44 : 15511620	A2A5000	1865CE20	
DEC 44 : 357635616.000000	170545152.000000	409325088.000000	
HEX 45 : 61DA830	174615A0	42584B8	
DEC 45 : 102606896.000000	390469024.000000	69567672.000000	
HEX 46 : 68E92D0	C6BB9E0	BE39	
DEC 46 : 110006992.000000	208386528.000000	48697.000000	
HEX 47 : E795D30	2709F10	77FAD40	
DEC 47 : 242834736.000000	40935184.000000	125807936.000000	
HEX 48 : BF85C00	7245878	190A9260	
DEC 48 : 200825856.000000	119822456.000000	420123232.000000	
HEX 49 : 1F955340	DC95080	59ACF00	
DEC 49 : 529879872.000000	231297152.000000	94031616.000000	
HEX 50 : 691FBC0	18DD1780	E6F5A80	
DEC 50 : 110230464.000000	417142656.000000	242178688.000000	
HEX 51 : 5F288	18DA8F0	7858168	
DEC 51 : 389768.000000	26061040.000000	126189928.000000	
HEX 52 : 903FA4	B67C0F0	1A7A8EA0	
DEC 52 : 9453476.000000	191348976.000000	444239520.000000	
HEX 53 : 13BF1B40	1043AEA0	11F508E0	
DEC 53 : 331291456.000000	272871072.000000	301271264.000000	
HEX 54 : 1A7C8A20	1A7A9880	8BA7720	
DEC 54 : 444369440.000000	444242048.000000	146437920.000000	
HEX 55 : D7680A0	1BBD9BC0	F630D80	
DEC 55 : 225869984.000000	465411008.000000	258149760.000000	
HEX 56 : 15B7D420	3D49698	1D57C100	
DEC 56 : 364368928.000000	64263832.000000	492290304.000000	
HEX 57 : 1A3EC420	EF31C40	1E7331A0	
DEC 57 : 440321056.000000	250813504.000000	510865824.000000	
HEX 58 : 1947C400	59E1B48	13207EA0	
DEC 58 : 424133632.000000	94247752.000000	320896672.000000	
HEX 59 : 9276C80	16BCBD20	152E0E40	
DEC 59 : 153578624.000000	381467936.000000	355339840.000000	
HEX 60 : 1D6D8A20	326F8F0	D58BB90	
DEC 60 : 493718048.000000	52885744.000000	223918992.000000	
HEX 61 : 5EED4	8ADCAD0	B557	
DEC 61 : 388820.000000	145607376.000000	46423.000000	
HEX 62 : 171B4FA0	1545A6A0	D72F280	
DEC 62 : 387665824.000000	356886176.000000	225636992.000000	
HEX 63 : 1C90662	3DBC698	18B6A3E0	
DEC 63 : 29951586.000000	64734872.000000	414622688.000000	
HEX 64 : 5F738	FF279E0	D6CE550	
DEC 64 : 390968.000000	267549152.000000	225240400.000000	
HEX 65 : 187034A	FD61D30	4732610	
DEC 65 : 25625418.000000	265690416.000000	74655248.000000	
HEX 66 : 16572540	25CADA4	761CFC0	
DEC 66 : 374809920.000000	39628196.000000	123850688.000000	
HEX 67 : 1E156680	1F589160	1D0CD8A0	
DEC 67 : 504718976.000000	525898080.000000	487381152.000000	
HEX 68 : 10971100	CB12530	BA46	
DEC 68 : 278335744.000000	212935984.000000	47686.000000	
HEX 69 : C306CA0	15A5CCC0	F5FB	
DEC 69 : 204500128.000000	363187392.000000	62971.000000	
HEX 70 : 1774DB40	15D6000	BF75	
DEC 70 : 393534272.000000	22896640.000000	49013.000000	
HEX 71 : 5FAAC	1642AF80	8744090	
DEC 71 : 391852.000000	373469056.000000	141836432.000000	
HEX 72 : 1184A780	6284800	13476D00	
DEC 72 : 293906304.000000	103303168.000000	323448064.000000	
HEX 73 : 760CDE8	1D715100	4A6B0	
DEC 73 : 123784680.000000	493965568.000000	304816.000000	
HEX 74 : 1D047660	1DE8ECC0	14FB7440	
DEC 74 : 486831712.000000	501804224.000000	352023616.000000	
HEX 75 : B24EE40	156736A0	98E9C80	
DEC 75 : 186969664.000000	359085728.000000	160341120.000000	
HEX 76 : 2D651F0	1F40EB40	FD283E0	
DEC 76 : 47600112.000000	524348224.000000	265454560.000000	
HEX 77 : 14B59B60	1C68E100	D747760	
DEC 77 : 347446112.000000	476635392.000000	225736544.000000	
HEX 78 : 2476CB	1D04F000	258AF84	
DEC 78 : 2389707.000000	486862848.000000	39366532.000000	
HEX 79 : 5F3C4	13C9E620	1FA5A2E0	
DEC 79 : 390084.000000	331998752.000000	530948832.000000	
HEX 80 : 7AE0200	10A70620	10FF6AC0	
DEC 80 : 128844288.000000	279381536.000000	285174464.000000	
HEX 81 : 1036C220	36C51E0	C032	
DEC 81 : 272024096.000000	57430496.000000	49202.000000	
HEX 82 : E0696D0	F6FA530	D21E600	
DEC 82 : 235312848.000000	258975024.000000	220325376.000000	
HEX 83 : 160A06C0	8401BC0	2B30864	
DEC 83 : 369755840.000000	138419136.000000	45287524.000000	
HEX 84 : 846F1D0	4E5F87	1B237F80	
DEC 84 : 138867152.000000	5136263.000000	455311232.000000	
HEX 85 : 1A9D1020	17E91E20	1B7620C0	
DEC 85 : 446500896.000000	401153568.000000	460726464.000000	
HEX 86 : B8C36E0	C518AD0	1FD74CC0	
DEC 86 : 193738464.000000	206670544.000000	534203584.000000	
HEX 87 : 1321B240	137FECC0	1F97870	
DEC 87 : 320975424.000000	327150784.000000	33126512.000000	
HEX 88 : 1B7CA4A0	1F52BBC0	2C9E7E0	
