Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 1D4A16A	11653080	7916B30	
DEC 1 : 30712170.000000	291844224.000000	126970672.000000	
HEX 2 : 14563160	1CD06CC0	BAF88C0	
DEC 2 : 341193056.000000	483421376.000000	196053184.000000	
HEX 3 : 79114B8	E68F000	B6CCEE0	
DEC 3 : 126948536.000000	241758208.000000	191680224.000000	
HEX 4 : 9E69F80	E35C170	3F3A054	
DEC 4 : 166109056.000000	238403952.000000	66297940.000000	
HEX 5 : 6FC4DA8	1FCE2DA0	AF39100	
DEC 5 : 117198248.000000	533605792.000000	183734528.000000	
HEX 6 : 122C39E0	8747A60	120096C0	
DEC 6 : 304888288.000000	141851232.000000	302028480.000000	
HEX 7 : AA204B0	136B3D20	1A61CCA0	
DEC 7 : 178390192.000000	325795104.000000	442616992.000000	
HEX 8 : 1648E260	1934CD20	18958CA0	
DEC 8 : 373875296.000000	422890784.000000	412454048.000000	
HEX 9 : 10EA3AE0	FCFFF10	62CB8C0	
DEC 9 : 283785952.000000	265289488.000000	103594176.000000	
HEX 10 : E6BC620	E52E1E0	14DC85A0	
DEC 10 : 241944096.000000	240312800.000000	349996448.000000	
HEX 11 : 308D698	B45DAD0	2FE4B10	
DEC 11 : 50910872.000000	189127376.000000	50219792.000000	
HEX 12 : 146DE080	17A8AA60	632CF08	
DEC 12 : 342745216.000000	396929632.000000	103993096.000000	
HEX 13 : 2FCDE20	5DDC258	14EFC6C0	
DEC 13 : 50126368.000000	98419288.000000	351258304.000000	
HEX 14 : 185AD780	D3C64B0	2EB3374	
DEC 14 : 408606592.000000	222061744.000000	48968564.000000	
HEX 15 : 12513100	1E74D620	13EB5B20	
DEC 15 : 307310848.000000	510973472.000000	334191392.000000	
HEX 16 : 1312B100	3BBADA4	1CD18580	
DEC 16 : 319992064.000000	62631332.000000	483493248.000000	
HEX 17 : 55CCE98	124601E0	1520CE40	
DEC 17 : 89968280.000000	306577888.000000	354471488.000000	
HEX 18 : 15629340	1EA7DDA0	2D21BC0	
DEC 18 : 358781760.000000	514317728.000000	47324096.000000	
HEX 19 : 12BEDE20	13B7B9E0	C032	
DEC 19 : 314498592.000000	330807776.000000	49202.000000	
HEX 20 : B5BB530	F3A25A	8C20E50	
DEC 20 : 190559536.000000	15966810.000000	146935376.000000	
HEX 21 : 15524000	EEB24B0	FC41820	
DEC 21 : 357711872.000000	250291376.000000	264509472.000000	
HEX 22 : 120D4EA0	1222A800	1A5FAA60	
DEC 22 : 302861984.000000	304261120.000000	442477152.000000	
HEX 23 : 1F5B5B40	1F51AB40	D4BCA20	
DEC 23 : 526080832.000000	525445952.000000	223070752.000000	
HEX 24 : B93DE20	651CE98	F104770	
DEC 24 : 194240032.000000	106024600.000000	252725104.000000	
HEX 25 : E1CBAD0	83E7530	5C91B98	
DEC 25 : 236763856.000000	138310960.000000	97065880.000000	
HEX 26 : 600787	2F9FDA4	E7E4CA0	
DEC 26 : 6293383.000000	49937828.000000	243158176.000000	
HEX 27 : DB6ED30	659B4B8	17B17AC0	
DEC 27 : 230092080.000000	106542264.000000	397507264.000000	
HEX 28 : 6766788	17DBBE20	A8F5E60	
DEC 28 : 108423048.000000	400277024.000000	177167968.000000	
HEX 29 : 1DA5A	1A545AE0	7930288	
DEC 29 : 121434.000000	441735904.000000	127074952.000000	
HEX 30 : 1CF67000	6B49F10	B2AABB0	
DEC 30 : 485912576.000000	112500496.000000	187345840.000000	
HEX 31 : D81B350	6980F1	104D454	
DEC 31 : 226603856.000000	6914289.000000	17093716.000000	
HEX 32 : 1A496000	E1C52D	7370928	
DEC 32 : 441016320.000000	14796077.000000	121047336.000000	
HEX 33 : 7446168	B873BC0	12609B00	
DEC 33 : 121921896.000000	193412032.000000	308321024.000000	
HEX 34 : A9CF970	1F7C8900	1462EC80	
DEC 34 : 178059632.000000	528255232.000000	342027392.000000	
HEX 35 : 1CEFA5A	1DC352E	1B33ABA0	
DEC 35 : 30341722.000000	31208750.000000	456371104.000000	
HEX 36 : 1AA31100	18462440	A7213B0	
DEC 36 : 446894336.000000	407249984.000000	175248304.000000	
HEX 37 : 1AF776A0	1AA98AE0	1FD3EF00	
DEC 37 : 452425376.000000	447318752.000000	533982976.000000	
HEX 38 : 1B672F80	7BE8440	132C6780	
DEC 38 : 459747200.000000	129926208.000000	321677184.000000	
HEX 39 : 4DD1E2	93CD000	1B419600	
DEC 39 : 5100002.000000	154980352.000000	457283072.000000	
HEX 40 : 1537DBC0	1FE55EA0	1C76E500	
DEC 40 : 355982272.000000	535125664.000000	477553920.000000	
HEX 41 : 15A6E900	92308F0	8A08390	
