Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : BE74B50	1C7204C0	13CB08E0	
DEC 1 : 199707472.000000	477234368.000000	332073184.000000	
HEX 2 : 1C1411E0	87133C0	10F5D5C0	
DEC 2 : 471077344.000000	141636544.000000	284546496.000000	
HEX 3 : 18F274C0	1F527520	CE31160	
DEC 3 : 418542784.000000	525497632.000000	216207712.000000	
HEX 4 : 75435A8	178F4900	FC77040	
DEC 4 : 122959272.000000	395266304.000000	264728640.000000	
HEX 5 : 15E94340	1A9352E	1F4CA1E0	
DEC 5 : 367608640.000000	27866414.000000	525115872.000000	
HEX 6 : 1079BCC0	4265168	1AB8D560	
DEC 6 : 276413632.000000	69620072.000000	448320864.000000	
HEX 7 : 1C80A100	8DED350	9747EB0	
DEC 7 : 478191872.000000	148820816.000000	158629552.000000	
HEX 8 : 54C5F10	E332530	AC2C4A0	
DEC 8 : 88891152.000000	238232880.000000	180536480.000000	
HEX 9 : 2539000	3997F88	1BE6F700	
DEC 9 : 39030784.000000	60391304.000000	468121344.000000	
HEX 10 : 4ABFF88	1E696	35814D4	
DEC 10 : 78380936.000000	124566.000000	56104148.000000	
HEX 11 : AE2E880	2A2CB4C	BFF3	
DEC 11 : 182642816.000000	44223308.000000	49139.000000	
HEX 12 : FF98B50	13F68260	350C9A0	
DEC 12 : 268012368.000000	334922336.000000	55626144.000000	
HEX 13 : D441080	D5AE690	FDC6090	
DEC 13 : 222564480.000000	224061072.000000	266100880.000000	
HEX 14 : 1098E080	1FEAC440	8D70980	
DEC 14 : 278454400.000000	535479360.000000	148310400.000000	
HEX 15 : 12369160	1DC0B000	FDE4170	
DEC 15 : 305566048.000000	499167232.000000	266223984.000000	
HEX 16 : 17931100	121EB340	3D49790	
DEC 16 : 395514112.000000	304001856.000000	64264080.000000	
HEX 17 : 159693C0	1EE4C880	1E337D00	
DEC 17 : 362189760.000000	518310016.000000	506690816.000000	
HEX 18 : 9E8EE20	12F9B4C0	1E397660	
DEC 18 : 166260256.000000	318354624.000000	507082336.000000	
HEX 19 : 94F10F0	8570620	841C6A0	
DEC 19 : 156176624.000000	139920928.000000	138528416.000000	
HEX 20 : 155F7EA0	9A75780	729F620	
