Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 86
HEX 1 : E7F0000	56DA5	F342C20	
DEC 1 : 243204096.000000	355749.000000	255077408.000000	
HEX 2 : 34D81E0	9E39350	6632E18	
DEC 2 : 55411168.000000	165909328.000000	107163160.000000	
HEX 3 : 15B6EB40	19E981E0	198F5B60	
DEC 3 : 364309312.000000	434733536.000000	428825440.000000	
HEX 4 : FFEE1E	181A4960	1EE82160	
DEC 4 : 16772638.000000	404375904.000000	518529376.000000	
HEX 5 : 1531C880	7D75078	ED2E3D0	
DEC 5 : 355584128.000000	131551352.000000	248701904.000000	
HEX 6 : E9A13C0	8693D30	1C3420A0	
DEC 6 : 244978624.000000	141114672.000000	473178272.000000	
HEX 7 : 4D434B8	1EE16CC0	60A3298	
DEC 7 : 81015992.000000	518089920.000000	101331608.000000	
HEX 8 : 7A89D30	4522878	8FA92F0	
DEC 8 : 128490800.000000	72493176.000000	150639344.000000	
HEX 9 : 192EB2E0	1C572800	135560E0	
DEC 9 : 422490848.000000	475473920.000000	324362464.000000	
HEX 10 : C24BC40	CB2F170	13667300	
DEC 10 : 203734080.000000	213053808.000000	325481216.000000	
HEX 11 : 53130F0	33434B4	1F3FA5E	
DEC 11 : 87109872.000000	53753012.000000	32766558.000000	
HEX 12 : 40E1788	1A0CFEA0	4F6810	
DEC 12 : 68032392.000000	437059232.000000	5203984.000000	
HEX 13 : 936B880	2A5043C	1BD64E40	
DEC 13 : 154581120.000000	44368956.000000	467029568.000000	
HEX 14 : 13C89B40	1A1E7160	2847BA0	
DEC 14 : 331914048.000000	438202720.000000	42236832.000000	
HEX 15 : 1DAC4A60	17278CC0	2D27FEC	
DEC 15 : 497830496.000000	388467904.000000	47349740.000000	
HEX 16 : 761AB48	B649CB0	C88FA20	
DEC 16 : 123841352.000000	191143088.000000	210303520.000000	
HEX 17 : 17BB9000	E3D9000	B11E3F0	
DEC 17 : 398168064.000000	238915584.000000	185721840.000000	
HEX 18 : 1DDB4F00	1AEE1B40	D9A0920	
DEC 18 : 500911872.000000	451812160.000000	228198688.000000	
HEX 19 : 9E62C40	15270260	BEB7	
DEC 19 : 166079552.000000	354878048.000000	48823.000000	
HEX 20 : BBECC40	79764B8	390F870	
DEC 20 : 197053504.000000	127362232.000000	59832432.000000	
HEX 21 : 1718AA60	13982620	1D6A76A0	
DEC 21 : 387492448.000000	328738336.000000	493516448.000000	
HEX 22 : BA473C0	1AD8E3C0	17EFA3A0	
DEC 22 : 195326912.000000	450421696.000000	401580960.000000	
HEX 23 : B4BAA60	1DDF8D20	9C340C0	
DEC 23 : 189508192.000000	501189920.000000	163791040.000000	
HEX 24 : 71C3C	1F03E700	113086E0	
DEC 24 : 465980.000000	520349440.000000	288392928.000000	
HEX 25 : 3157968	2331F88	169462E0	
DEC 25 : 51738984.000000	36904840.000000	378823392.000000	
HEX 26 : 1322B4C	119296A0	1A7380A0	
DEC 26 : 20065100.000000	294819488.000000	443777184.000000	
HEX 27 : 1EA7E1E0	B101800	D518DC0	
DEC 27 : 514318816.000000	185604096.000000	223448512.000000	
HEX 28 : 30BEF10	5986B48	1F1AE520	
DEC 28 : 51113744.000000	93875016.000000	521856288.000000	
