Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : B1B2000	139DD9E0	AC36	
DEC 1 : 186327040.000000	329112032.000000	44086.000000	
HEX 2 : 154A52E0	552A1E0	262A42	
DEC 2 : 357192416.000000	89301472.000000	2501186.000000	
HEX 3 : 12F7E6A0	7DD0620	BCE26F0	
DEC 3 : 318236320.000000	131925536.000000	198059760.000000	
HEX 4 : 11795A60	1BB6FD20	18F04240	
DEC 4 : 293165664.000000	464977184.000000	418398784.000000	
HEX 5 : 206C878	1AED9900	1FC95C80	
DEC 5 : 33998968.000000	451778816.000000	533290112.000000	
HEX 6 : 9A61880	9422800	129F2B00	
DEC 6 : 161880192.000000	155330560.000000	312421120.000000	
HEX 7 : D53788	ED681E0	16A4AA40	
DEC 7 : 13973384.000000	248938976.000000	379890240.000000	
HEX 8 : 425AB48	19D386A0	11972100	
DEC 8 : 69577544.000000	433292960.000000	295117056.000000	
HEX 9 : F7B2B50	D575880	F9DCCD0	
DEC 9 : 259730256.000000	223828096.000000	261999824.000000	
HEX 10 : 6F50F1	10F16100	8895080	
DEC 10 : 7295217.000000	284254464.000000	143216768.000000	
HEX 11 : 187E8100	1E2A9C40	74AE078	
DEC 11 : 410943744.000000	506108992.000000	122347640.000000	
HEX 12 : 1455F10	D092800	1E75D8C0	
DEC 12 : 21323536.000000	218703872.000000	511039680.000000	
HEX 13 : 12A41D20	11C2B000	A673FC0	
DEC 13 : 312745248.000000	297971712.000000	174538688.000000	
HEX 14 : 182D92E0	B2303C0	119AC420	
DEC 14 : 405639904.000000	186844096.000000	295355424.000000	
HEX 15 : FF5C690	BCC4260	16F86AA0	
DEC 15 : 267765392.000000	197935712.000000	385378976.000000	
HEX 16 : 14E4BC40	1FA8F5A0	124D1E60	
DEC 16 : 350534720.000000	531166624.000000	307043936.000000	
HEX 17 : 97582D0	1B11D260	B261	
DEC 17 : 158696144.000000	454152800.000000	45665.000000	
HEX 18 : 187E7C40	3AA11E0	8E2BDF0	
DEC 18 : 410942528.000000	61477344.000000	149077488.000000	
HEX 19 : D7E30F0	102A0700	1F16CB80	
DEC 19 : 226373872.000000	271189760.000000	521587584.000000	
HEX 20 : 4CB24B8	14F31440	3E26C10	
DEC 20 : 80422072.000000	351474752.000000	65170448.000000	
HEX 21 : 11DAD4C0	177AFB40	FCB83A0	
DEC 21 : 299553984.000000	393935680.000000	264995744.000000	
HEX 22 : 17DC42E0	1E9105A0	1D8013A0	
DEC 22 : 400311008.000000	512820640.000000	494932896.000000	
HEX 23 : BA75780	19795780	1E895380	
DEC 23 : 195516288.000000	427382656.000000	512316288.000000	
HEX 24 : 120D2100	4411E2	6FACD30	
DEC 24 : 302850304.000000	4461026.000000	117099824.000000	
HEX 25 : 111F1000	5840F10	12B77A40	
DEC 25 : 287248384.000000	92540688.000000	314014272.000000	
HEX 26 : C2F12D0	17C36000	631B8F8	
DEC 26 : 204411600.000000	398680064.000000	103921912.000000	
HEX 27 : 14F31D20	5D73E20	19312B00	
DEC 27 : 351477024.000000	97992224.000000	422652672.000000	
HEX 28 : 187E7000	128AA100	F1ADD70	
DEC 28 : 410939392.000000	311075072.000000	253418864.000000	
HEX 29 : BB58690	1AEF3080	14289680	
DEC 29 : 196445840.000000	451883136.000000	338204288.000000	
HEX 30 : 187E8100	3B9BA5C	12E51900	
DEC 30 : 410943744.000000	62503516.000000	317004032.000000	
HEX 31 : B4A8690	7BC3B48	B4BBD80	
DEC 31 : 189433488.000000	129776456.000000	189513088.000000	
HEX 32 : 18F7A5A	7D082D0	137576C0	
DEC 32 : 26180186.000000	131105488.000000	326465216.000000	
HEX 33 : 13A3E780	186AD800	702B2D0	
DEC 33 : 329508736.000000	409655296.000000	117617360.000000	
HEX 34 : 15330F0	1C357DA0	70ACB48	
DEC 34 : 22229232.000000	473267616.000000	118147912.000000	
HEX 35 : B3504B0	1234B4C	111EF140	
DEC 35 : 188023984.000000	19090252.000000	287240512.000000	
HEX 36 : 8B1D2D	FF97E90	6DEE4	
DEC 36 : 9116973.000000	268009104.000000	450276.000000	
HEX 37 : ABCD690	9CAEAD0	BCBE	
DEC 37 : 180147856.000000	164293328.000000	48318.000000	
HEX 38 : 16012880	C3188F0	325D620	
DEC 38 : 369174656.000000	204572912.000000	52811296.000000	
HEX 39 : 35151E0	7169B48	B2A0	
DEC 39 : 55661024.000000	118922056.000000	45728.000000	
HEX 40 : 187E72E0	CBCB4B0	A410C20	
DEC 40 : 410940128.000000	213693616.000000	172035104.000000	
HEX 41 : DBC2D3	133E2520	FB180D0	
DEC 41 : 14402259.000000	322839840.000000	263291088.000000	
HEX 42 : 529E698	45C0E20	6C5EBB0	
DEC 42 : 86632088.000000	73141792.000000	113634224.000000	
HEX 43 : 167E11E0	CD0F440	1B91F160	
DEC 43 : 377360864.000000	215020608.000000	462549344.000000	
HEX 44 : 8149F10	1F5FC700	6064BD8	
DEC 44 : 135569168.000000	526370560.000000	101075928.000000	
HEX 45 : 187E71E0	42F5CB8	1FA01400	
DEC 45 : 410939872.000000	70212792.000000	530584576.000000	
HEX 46 : 6134F10	1FB00080	D467C20	
DEC 46 : 101928720.000000	531628160.000000	222723104.000000	
HEX 47 : 94C14B0	592BC4	1DD901C0	
DEC 47 : 155980976.000000	5843908.000000	500761024.000000	
HEX 48 : EDE9E20	E8E84B0	41DD690	
DEC 48 : 249470496.000000	244221104.000000	69064336.000000	
HEX 49 : 12379A60	15DEE340	1DBE71E0	
DEC 49 : 305633888.000000	366928704.000000	499020256.000000	
HEX 50 : 13ABE780	12A4DEA0	9487	
DEC 50 : 330033024.000000	312794784.000000	38023.000000	
HEX 51 : 5F7DB48	1456ED20	166A1740	
DEC 51 : 100129608.000000	341241120.000000	376051520.000000	
HEX 52 : 5F7F2D0	6350710	19614E80	
DEC 52 : 100135632.000000	104138512.000000	425807488.000000	
HEX 53 : 6661C40	13CDCC40	1E71B4C0	
DEC 53 : 107355200.000000	332254272.000000	510768320.000000	
HEX 54 : 68661E0	1BD16080	198C0AC0	
DEC 54 : 109470176.000000	466706560.000000	428608192.000000	
HEX 55 : B3A8A60	1419EE20	11086180	
DEC 55 : 188385888.000000	337243680.000000	285761920.000000	
HEX 56 : 8A9D4B0	DEC6B50	1949EE40	
DEC 56 : 145347760.000000	233597776.000000	424275520.000000	
HEX 57 : 10F61960	19AB3260	BCFD	
DEC 57 : 284563808.000000	430649952.000000	48381.000000	
HEX 58 : 187E7100	13EB1E20	1A126880	
DEC 58 : 410939648.000000	334175776.000000	437414016.000000	
HEX 59 : 13830A60	120D8C40	14BE5A60	
DEC 59 : 327354976.000000	302877760.000000	348019296.000000	
HEX 60 : BADB2D0	25D01E0	C8E7CA	
DEC 60 : 195932880.000000	39649760.000000	13166538.000000	
HEX 61 : 187E7000	1A89A6A0	167BC200	
DEC 61 : 410939392.000000	445228704.000000	377209344.000000	
HEX 62 : 187E7000	1A8E1F80	E046BB0	
DEC 62 : 410939392.000000	445521792.000000	235170736.000000	
HEX 63 : C5AFE20	1B937700	CAF4040	
DEC 63 : 207289888.000000	462649088.000000	212811840.000000	
HEX 64 : 186ABF00	18858AE0	FB2A	
DEC 64 : 409648896.000000	411405024.000000	64298.000000	
HEX 65 : D4373C0	145D6800	1846F4E0	
DEC 65 : 222524352.000000	341665792.000000	407303392.000000	
HEX 66 : 5DD7F10	D3ACAD0	D76B3B0	
DEC 66 : 98402064.000000	221956816.000000	225883056.000000	
HEX 67 : B21C880	115D1800	A04F3A0	
DEC 67 : 186763392.000000	291313664.000000	168096672.000000	
HEX 68 : AE22B50	8C149E0	1F04A520	
DEC 68 : 182594384.000000	146885088.000000	520398112.000000	
HEX 69 : F912D30	720D698	520D468	
DEC 69 : 261172528.000000	119592600.000000	86037608.000000	
HEX 70 : 65C33C0	171E0E20	AEC3B80	
DEC 70 : 106705856.000000	387845664.000000	183253888.000000	
HEX 71 : 4A05968	35CFE20	E378600	
DEC 71 : 77617512.000000	56426016.000000	238519808.000000	
HEX 72 : D6031E0	4A1ACB8	19302C40	
DEC 72 : 224408032.000000	77704376.000000	422587456.000000	
HEX 73 : 187EA880	12CB66A0	5C82FF8	
DEC 73 : 410953856.000000	315319968.000000	97005560.000000	
HEX 74 : 619D968	D913170	4945970	
DEC 74 : 102357352.000000	227619184.000000	76831088.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
