Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 12D8C940	14770CC0	19732E00	
DEC 1 : 316197184.000000	343346368.000000	426978816.000000	
HEX 2 : 5F9AF	9DA4620	7A85800	
DEC 2 : 391599.000000	165299744.000000	128473088.000000	
HEX 3 : 5F6F9	14D36520	3CEF200	
DEC 3 : 390905.000000	349398304.000000	63894016.000000	
HEX 4 : 18B65620	1F74D100	31A83A0	
DEC 4 : 414602784.000000	527749376.000000	52069280.000000	
HEX 5 : 10CE4640	66C7698	18986D40	
DEC 5 : 281953856.000000	107771544.000000	412642624.000000	
HEX 6 : 16EF3940	1918A3C0	1EE07660	
DEC 6 : 384776512.000000	421045184.000000	518026848.000000	
HEX 7 : DA0F0A0	2B50800	C071	
DEC 7 : 228651168.000000	45418496.000000	49265.000000	
HEX 8 : D856BF0	B999970	C7F4460	
DEC 8 : 226847728.000000	194615664.000000	209667168.000000	
HEX 9 : 1D017100	DC6C690	17289D20	
DEC 9 : 486633728.000000	231130768.000000	388537632.000000	
HEX 10 : C3CA6	AC3E880	17BADCE0	
DEC 10 : 801958.000000	180611200.000000	398122208.000000	
HEX 11 : 1B39BA40	5A96CB8	156A1BC0	
DEC 11 : 456768064.000000	94989496.000000	359275456.000000	
HEX 12 : 748E86	9970530	1F27E6E0	
DEC 12 : 7638662.000000	160892208.000000	522708704.000000	
HEX 13 : 17F36740	CE02B50	BF35	
DEC 13 : 401827648.000000	216017744.000000	48949.000000	
HEX 14 : 10B96300	1D7E5E20	B84BE80	
DEC 14 : 280584960.000000	494820896.000000	193248896.000000	
HEX 15 : 7155770	C114DA0	1A130E80	
DEC 15 : 118839152.000000	202460576.000000	437456512.000000	
HEX 16 : 5F738	D361B50	106B7520	
DEC 16 : 390968.000000	221649744.000000	275477792.000000	
HEX 17 : 1C885FE0	128A3080	1E78674	
DEC 17 : 478699488.000000	311046272.000000	31950452.000000	
HEX 18 : 13909900	15A123C0	C5634B0	
DEC 18 : 328243456.000000	362881984.000000	206976176.000000	
HEX 19 : 30275E0	3933D2C	C032	
DEC 19 : 50492896.000000	59981100.000000	49202.000000	
HEX 20 : 75EC068	1F6F3000	7D8490	
DEC 20 : 123650152.000000	527380480.000000	8225936.000000	
HEX 21 : 172B0180	1CA8788	1A74B700	
DEC 21 : 388694400.000000	30050184.000000	443856640.000000	
HEX 22 : FFBEA60	D3DE530	1D2EF040	
DEC 22 : 268167776.000000	222160176.000000	489615424.000000	
HEX 23 : 5F7B6	1D3E23C0	C032	
DEC 23 : 391094.000000	490611648.000000	49202.000000	
HEX 24 : 1A5ABE40	7F83C40	B1AEBB0	
DEC 24 : 442154560.000000	133708864.000000	186313648.000000	
HEX 25 : 12BDF300	8171710	4EBD158	
DEC 25 : 314438400.000000	135730960.000000	82563416.000000	
HEX 26 : 10B21F00	10609000	115FF880	
