Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 89
HEX 1 : 14F09EA0	5E00878	D0F78E0	
DEC 1 : 351313568.000000	98568312.000000	219117792.000000	
HEX 2 : CA449E0	1B12D2E	1FF3DAA0	
DEC 2 : 212093408.000000	28388654.000000	536074912.000000	
HEX 3 : 11BBE660	1C1CAF00	115AF140	
DEC 3 : 297526880.000000	471641856.000000	291172672.000000	
HEX 4 : 1366BB80	C5EF530	1FB592A0	
DEC 4 : 325499776.000000	207549744.000000	531993248.000000	
HEX 5 : 7AC4130	B10F970	8908010	
DEC 5 : 128729392.000000	185661808.000000	143687696.000000	
HEX 6 : 1900B4	762F000	FF06C00	
DEC 6 : 1638580.000000	123924480.000000	267414528.000000	
HEX 7 : DB68E90	761A3C0	54EAC10	
DEC 7 : 230067856.000000	123839424.000000	89041936.000000	
HEX 8 : 752DAD0	16B4DA60	18935240	
DEC 8 : 122870480.000000	380951136.000000	412308032.000000	
HEX 9 : 2DB7C78	19791100	A9B44F0	
DEC 9 : 47938680.000000	427364608.000000	177947888.000000	
HEX 10 : 14C932E0	526C2D0	1E145F40	
DEC 10 : 348730080.000000	86426320.000000	504651584.000000	
HEX 11 : 1056D880	12DE13C0	7712990	
DEC 11 : 274126976.000000	316543936.000000	124856720.000000	
HEX 12 : 11406380	19FAF100	C032	
DEC 12 : 289432448.000000	435876096.000000	49202.000000	
HEX 13 : 1DD9D2E	CF85080	1EE760C0	
DEC 13 : 31300910.000000	217600128.000000	518480064.000000	
HEX 14 : BE5EB10	4D2B710	C26FCB0	
DEC 14 : 199617296.000000	80918288.000000	203881648.000000	
HEX 15 : 1B15F500	1EA47C40	11221280	
DEC 15 : 454423808.000000	514096192.000000	287445632.000000	
HEX 16 : 6E41BC0	73EB4B8	21FC63C	
DEC 16 : 115612608.000000	121550008.000000	35636796.000000	
HEX 17 : 184A1520	1824EDA0	148A29E0	
DEC 17 : 407508256.000000	405073312.000000	344599008.000000	
HEX 18 : C6BBB80	F4AC530	D0551A0	
DEC 18 : 208386944.000000	256558384.000000	218452384.000000	
HEX 19 : 4E7E0B8	127234C0	5E75360	
DEC 19 : 82305208.000000	309474496.000000	99046240.000000	
HEX 20 : 507C0B8	1CDD5B40	34A1760	
DEC 20 : 84394168.000000	484268864.000000	55187296.000000	
HEX 21 : 16EE5BC0	ED85080	393EB28	
DEC 21 : 384719808.000000	249057408.000000	60025640.000000	
HEX 22 : 1A4B4260	7061E2	1C0B0BA0	
DEC 22 : 441139808.000000	7365090.000000	470485920.000000	
HEX 23 : 13888660	176AE96	124B5F4	
DEC 23 : 327714400.000000	24555158.000000	19183092.000000	
HEX 24 : AEE8A90	D890DA0	13B8C90	
DEC 24 : 183405200.000000	227085728.000000	20679824.000000	
HEX 25 : 826A2D0	109A3000	1CE7C740	
DEC 25 : 136749776.000000	278540288.000000	484951872.000000	
HEX 26 : F65F290	C890970	17AE6AA0	
DEC 26 : 258339472.000000	210307440.000000	397306528.000000	
HEX 27 : 1CA4B520	208F168	136FB900	
DEC 27 : 480556320.000000	34140520.000000	326088960.000000	
HEX 28 : 179AF5A0	57E74B8	60761A8	
DEC 28 : 396031392.000000	92173496.000000	101147048.000000	
HEX 29 : 1CF144C0	D2F6E90	1D3B1C20	
DEC 29 : 485573824.000000	221212304.000000	490413088.000000	
HEX 30 : 1A1D5260	3D73C3	C934520	
DEC 30 : 438129248.000000	4027331.000000	210978080.000000	
HEX 31 : 9BAA350	1039F4C0	14602200	
DEC 31 : 163226448.000000	272233664.000000	341844480.000000	
HEX 32 : 12AFCCC0	BCDC3C0	900A940	
DEC 32 : 313511104.000000	198034368.000000	151038272.000000	
HEX 33 : 1B645B40	13BCD5A0	729BDD8	
DEC 33 : 459561792.000000	331142560.000000	120176088.000000	
HEX 34 : 1E788080	C1854B0	593A028	
DEC 34 : 511213696.000000	202921136.000000	93560872.000000	
HEX 35 : EAB25A0	14906700	1D11DDC0	
DEC 35 : 246097312.000000	345007872.000000	487710144.000000	
HEX 36 : 5878ED0	124D0F80	D67DEA0	
DEC 36 : 92770000.000000	307040128.000000	224911008.000000	
HEX 37 : 12EA8260	2DFF87	8921B10	
DEC 37 : 317358688.000000	3014535.000000	143792912.000000	
HEX 38 : F833620	98AF780	10C5E700	
DEC 38 : 260257312.000000	160102272.000000	281405184.000000	
HEX 39 : 1616D6A0	17227AE0	CD946A0	
DEC 39 : 370595488.000000	388135648.000000	215565984.000000	
HEX 40 : AADA400	1FB48960	14EC07A0	
DEC 40 : 179151872.000000	531925344.000000	351012768.000000	
HEX 41 : 1D44F900	14B0D800	1DBBB860	
DEC 41 : 491059456.000000	347133952.000000	498841696.000000	
HEX 42 : 5150298	221B4B4	DE19F50	
DEC 42 : 85263000.000000	35763380.000000	232890192.000000	
HEX 43 : 7DD4568	156625A	6B4E060	
DEC 43 : 131941736.000000	22438490.000000	112517216.000000	
HEX 44 : 2A0AFC4	1687DF80	C032	
DEC 44 : 44085188.000000	378003328.000000	49202.000000	
HEX 45 : 14C19B00	11416900	1A1A7700	
DEC 45 : 348232448.000000	289499392.000000	437942016.000000	
HEX 46 : ED76CB0	1A4444C0	180EB840	
DEC 46 : 248999088.000000	440681664.000000	403617856.000000	
HEX 47 : 16CFF9A0	18364C40	1C1F0500	
DEC 47 : 382728608.000000	406211648.000000	471794944.000000	
HEX 48 : 10C142A0	1403E440	14528E60	
DEC 48 : 281100960.000000	335799360.000000	340954720.000000	
HEX 49 : 3804B4	4799078	BEB7	
DEC 49 : 3671220.000000	75075704.000000	48823.000000	
HEX 50 : 147D7DA0	507E710	14876180	
DEC 50 : 343768480.000000	84403984.000000	344416640.000000	
HEX 51 : 1CD2C440	1CBC66A0	1B447380	
DEC 51 : 483574848.000000	482109088.000000	457470848.000000	
HEX 52 : 1071DC40	10F7E1E	197C2400	
DEC 52 : 275897408.000000	17792542.000000	427566080.000000	
HEX 53 : C7CB3C0	9DDE800	1E178BC0	
DEC 53 : 209499072.000000	165537792.000000	504859584.000000	
HEX 54 : C135170	1F1DC4C0	1E127DA	
DEC 54 : 202592624.000000	522044608.000000	31533018.000000	
HEX 55 : 1691388	1B3D0100	166C0840	
DEC 55 : 23663496.000000	456982784.000000	376178752.000000	
HEX 56 : 1755D480	A3ECF80	1927D2A0	
DEC 56 : 391500928.000000	171888512.000000	422040224.000000	
HEX 57 : 1BA83A20	10DA1340	157D60A0	
DEC 57 : 464009760.000000	282727232.000000	360538272.000000	
HEX 58 : 12531C40	A14CDA0	BFF3	
DEC 58 : 307436608.000000	169135520.000000	49139.000000	
HEX 59 : 57EF698	1CF3A000	1C829740	
