Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : F473A60	FEA1DA0	73515C8	
DEC 1 : 256326240.000000	267001248.000000	120919496.000000	
HEX 2 : 1DD01B40	5391530	11B4D8C0	
DEC 2 : 500177728.000000	87627056.000000	297064640.000000	
HEX 3 : 4AA7E98	5DCCB48	7209E20	
DEC 3 : 78282392.000000	98356040.000000	119578144.000000	
HEX 4 : 86328F0	40A9E20	D71FB5	
DEC 4 : 140716272.000000	67804704.000000	14098357.000000	
HEX 5 : 97744B0	DC059E0	16CEFD00	
DEC 5 : 158811312.000000	230709728.000000	382663936.000000	
HEX 6 : 19AA7CC0	21388F0	7FC0DF0	
DEC 6 : 430603456.000000	34834672.000000	133959152.000000	
HEX 7 : 1297E1E	17896C40	42B3F78	
DEC 7 : 19496478.000000	394882112.000000	69943160.000000	
HEX 8 : C4AC3C	18981B40	15D02CA0	
DEC 8 : 12889148.000000	412621632.000000	365964448.000000	
HEX 9 : 4340F1	10687D20	BD74B60	
DEC 9 : 4407537.000000	275283232.000000	198658912.000000	
HEX 10 : 78C7BC0	1B2763C0	1340CBC0	
DEC 10 : 126647232.000000	455566272.000000	323013568.000000	
HEX 11 : 28FC0F0	B9CC530	14B32A40	
DEC 11 : 42975472.000000	194823472.000000	347286080.000000	
HEX 12 : 89F7080	EE5F440	C4C8C50	
DEC 12 : 144666752.000000	249951296.000000	206343248.000000	
HEX 13 : 342C710	1D7272E0	BE39	
DEC 13 : 54707984.000000	494039776.000000	48697.000000	
HEX 14 : F365E90	1EF8C6A0	76AEE00	
DEC 14 : 255221392.000000	519620256.000000	124448256.000000	
HEX 15 : E4D81E0	1A4DA100	1B237BA0	
DEC 15 : 239960544.000000	441295104.000000	455310240.000000	
HEX 16 : 1E1DDF80	BC03C40	6688B20	
DEC 16 : 505274240.000000	197147712.000000	107514656.000000	
HEX 17 : 426CAD0	16D98800	B9124D0	
DEC 17 : 69651152.000000	383354880.000000	194061520.000000	
HEX 18 : 1D22B440	178A6700	E0C4650	
DEC 18 : 488813632.000000	394946304.000000	235685456.000000	
HEX 19 : 17793AE0	5F17BC0	E5FBF0	
DEC 19 : 393820896.000000	99711936.000000	15072240.000000	
HEX 20 : 1BE6EEA0	B2BCF80	16CDAC60	
DEC 20 : 468119200.000000	187420544.000000	382577760.000000	
HEX 21 : 6684878	CD46C40	4DD9050	
DEC 21 : 107497592.000000	215247936.000000	81629264.000000	
HEX 22 : E982F80	30452D4	1A152740	
DEC 22 : 244854656.000000	50614996.000000	437593920.000000	
HEX 23 : 9C3CD30	1D5233C0	C642DF0	
DEC 23 : 163826992.000000	491926464.000000	207891952.000000	
HEX 24 : FC438F0	2CD0F88	BFB4	
DEC 24 : 264517872.000000	46993288.000000	49076.000000	
HEX 25 : 8AE41E0	1C12B780	50BB1C0	
DEC 25 : 145637856.000000	470988672.000000	84652480.000000	
HEX 26 : FC07C40	177696A0	7917AF0	
DEC 26 : 264272960.000000	393647776.000000	126974704.000000	
HEX 27 : E58BF10	1E15B000	14A0B9A0	
DEC 27 : 240697104.000000	504737792.000000	346077600.000000	
HEX 28 : 10F20F00	1BB3B2E0	DF99AC0	
DEC 28 : 284299008.000000	464761568.000000	234461888.000000	
HEX 29 : 5317440	12F05100	11EA8400	
DEC 29 : 87127104.000000	317739264.000000	300581888.000000	
HEX 30 : 1C22BDA0	F8E878	19B15F00	
DEC 30 : 472038816.000000	16312440.000000	431054592.000000	
HEX 31 : 1A439BC0	9140F80	C4CB380	
DEC 31 : 440638400.000000	152309632.000000	206353280.000000	
HEX 32 : 19F53AE0	F8C6F80	1ED4B480	
DEC 32 : 435501792.000000	260861824.000000	517256320.000000	
HEX 33 : E1C3B50	1DAFB4C0	EF52	
DEC 33 : 236731216.000000	498054336.000000	61266.000000	
HEX 34 : 15F6B620	F7F7A60	1872CC40	
DEC 34 : 368490016.000000	260012640.000000	410176576.000000	
HEX 35 : 4CF38F0	33C725C	11651A60	
DEC 35 : 80689392.000000	54293084.000000	291838560.000000	
HEX 36 : 1E68BAE0	133A15A0	58FFBC8	
DEC 36 : 510180064.000000	322573728.000000	93322184.000000	
HEX 37 : 12270520	992C080	1B1B3880	
DEC 37 : 304547104.000000	160612480.000000	454768768.000000	
HEX 38 : 105482E0	752D348	1427CF60	
DEC 38 : 273973984.000000	122868552.000000	338153312.000000	
HEX 39 : 423C0F0	1A6375A0	1D3E1EA0	
DEC 39 : 69452016.000000	442725792.000000	490610336.000000	
HEX 40 : 87A23C0	162361E0	18CA9C40	
DEC 40 : 142222272.000000	371417568.000000	415931456.000000	
HEX 41 : 12A5AF80	A927BC0	B4E6C70	
DEC 41 : 312848256.000000	177372096.000000	189688944.000000	
HEX 42 : 17323340	1A07C100	A1F5480	
DEC 42 : 389165888.000000	436715776.000000	169825408.000000	
HEX 43 : 1C83F080	10434080	C383B90	
DEC 43 : 478408832.000000	272842880.000000	205011856.000000	
HEX 44 : 18CDA100	15D97BC0	1463B42	
DEC 44 : 416129280.000000	366574528.000000	21379906.000000	
HEX 45 : 16094F00	D31E080	4B4B6B0	
DEC 45 : 369708800.000000	221372544.000000	78952112.000000	
HEX 46 : 127AA620	43119E0	73B8E10	
DEC 46 : 310027808.000000	70326752.000000	121343504.000000	
HEX 47 : E1D4260	2AC13C4	DCE1830	
DEC 47 : 236798560.000000	44831684.000000	231610416.000000	
HEX 48 : EAA7BC0	F018260	11013F40	
DEC 48 : 246053824.000000	251757152.000000	285294400.000000	
HEX 49 : 15C2AA60	12A47CC0	9E56BD0	
DEC 49 : 365079136.000000	312769728.000000	166030288.000000	
HEX 50 : 76B4168	5CB1348	17FA7FA0	
DEC 50 : 124469608.000000	97194824.000000	402292640.000000	
HEX 51 : 4DEC620	B7C0F10	1D466AA0	
DEC 51 : 81708576.000000	192679696.000000	491154080.000000	
HEX 52 : 160716A0	BB7BBC0	11EFE540	
DEC 52 : 369563296.000000	196590528.000000	300934464.000000	
HEX 53 : 1766EBC0	53D4258	15AEF2A0	
DEC 53 : 392620992.000000	87900760.000000	363786912.000000	
HEX 54 : FCF2D3	527D968	C032	
DEC 54 : 16577235.000000	86497640.000000	49202.000000	
HEX 55 : 2127DA4	1D6A9D20	E9B8C40	
DEC 55 : 34766244.000000	493526304.000000	245075008.000000	
HEX 56 : 27893C4	119E8900	193D1B00	
DEC 56 : 41456580.000000	295602432.000000	423435008.000000	
HEX 57 : 14A0A4C0	1BCA7100	34378A0	
DEC 57 : 346072256.000000	466252032.000000	54753440.000000	
HEX 58 : 131A9D20	15161BC0	10D9ACA0	
DEC 58 : 320511264.000000	353770432.000000	282700960.000000	
HEX 59 : 1EA034C0	3A0852C	15007F0	
DEC 59 : 513815744.000000	60851500.000000	22022128.000000	
HEX 60 : 226A9E0	1F1815A0	7440290	
DEC 60 : 36088288.000000	521672096.000000	121897616.000000	
HEX 61 : 158A0900	3AB41E0	E8F26E0	
DEC 61 : 361367808.000000	61555168.000000	244262624.000000	
HEX 62 : 1BA46520	EF82000	BE78	
DEC 62 : 463758624.000000	251142144.000000	48760.000000	
HEX 63 : 1CFA7960	1CD88880	1CA0B900	
DEC 63 : 486177120.000000	483952768.000000	480295168.000000	
HEX 64 : B9A9F80	80129E0	91E8B70	
DEC 64 : 194682752.000000	134293984.000000	152996720.000000	
HEX 65 : BAB51E0	166EF260	F0570C0	
DEC 65 : 195776992.000000	376369760.000000	252014784.000000	
HEX 66 : 15D87E20	1F41B000	1CB17900	
DEC 66 : 366509600.000000	524398592.000000	481392896.000000	
HEX 67 : 1B00FEA0	1E1D9880	BEB7	
DEC 67 : 453050016.000000	505256064.000000	48823.000000	
