Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 1 : 2739E2	A080AD0	1CE996C0	
DEC 1 : 2570722.000000	168299216.000000	485070528.000000	
HEX 2 : 13136CC0	138369E0	1425D100	
DEC 2 : 320040128.000000	327379424.000000	338022656.000000	
HEX 3 : EB579E0	F8A1880	EDDBDB0	
DEC 3 : 246774240.000000	260708480.000000	249413040.000000	
HEX 4 : 25F0168	1C6F0A60	BBADFC0	
DEC 4 : 39780712.000000	477039200.000000	196796352.000000	
HEX 5 : ECFA4B0	14859000	1AEE3580	
DEC 5 : 248489136.000000	344297472.000000	451818880.000000	
HEX 6 : 5EC0348	10A15F00	BEF6	
DEC 6 : 99353416.000000	279011072.000000	48886.000000	
HEX 7 : A561530	179CEF80	3E24B	
DEC 7 : 173413680.000000	396160896.000000	254539.000000	
HEX 8 : D42B170	EF23000	BFB4	
DEC 8 : 222474608.000000	250753024.000000	49076.000000	
HEX 9 : 172662E0	B314CB0	1F3806A0	
DEC 9 : 388391648.000000	187780272.000000	523765408.000000	
HEX 10 : 4846258	CE3F710	176E31E0	
DEC 10 : 75784792.000000	216266512.000000	393097696.000000	
HEX 11 : F8D8F1	134AF5A0	15785560	
DEC 11 : 16308465.000000	323679648.000000	360207712.000000	
HEX 12 : 9CC2170	516D258	9CD9620	
DEC 12 : 164372848.000000	85381720.000000	164468256.000000	
HEX 13 : E635BC0	10903C4	1DAFE540	
DEC 13 : 241392576.000000	17368004.000000	498066752.000000	
HEX 14 : F79BF80	763AC40	56D0A90	
DEC 14 : 259637120.000000	123972672.000000	91032208.000000	
HEX 15 : D8BCA60	EAA7080	165EAB60	
DEC 15 : 227265120.000000	246050944.000000	375303008.000000	
HEX 16 : 15C463C0	11CE8340	1BE59C40	
DEC 16 : 365192128.000000	298746688.000000	468032576.000000	
HEX 17 : 18C1696	2D32F10	1E9711A0	
DEC 17 : 25958038.000000	47394576.000000	513216928.000000	
HEX 18 : 119D7A60	1B437F00	1917DF00	
DEC 18 : 295533152.000000	457408256.000000	420994816.000000	
HEX 19 : 1B6B7A60	CE14F10	E7ADED0	
DEC 19 : 460028512.000000	216092432.000000	242933456.000000	
HEX 20 : 7FB5000	7D4B9E0	1C908000	
DEC 20 : 133910528.000000	131381728.000000	479232000.000000	
HEX 21 : 1AD76F00	142E53C0	11176700	
DEC 21 : 450326272.000000	338580416.000000	286746368.000000	
HEX 22 : 19BE6780	E531C40	1688DF60	
DEC 22 : 431908736.000000	240327744.000000	378068832.000000	
HEX 23 : 1E33CA60	133205A0	16FF91C	
DEC 23 : 506710624.000000	322045344.000000	24115484.000000	
HEX 24 : 64FFDA8	1AF83780	1F528520	
DEC 24 : 105905576.000000	452474752.000000	525501728.000000	
HEX 25 : B718F1	17C02100	B8CB	
DEC 25 : 11999473.000000	398467328.000000	47307.000000	
HEX 26 : 85AC4B0	8961F10	34AF530	
DEC 26 : 140166320.000000	144056080.000000	55244080.000000	
HEX 27 : EF982D0	1E9C9C40	BE39	
DEC 27 : 251232976.000000	513580096.000000	48697.000000	
HEX 28 : B8BEF80	D057780	8838F80	
DEC 28 : 193720192.000000	218462080.000000	142839680.000000	
HEX 29 : 12E05B40	6852878	1B2513C0	
DEC 29 : 316693312.000000	109389944.000000	455414720.000000	
HEX 30 : DBAC5A0	1DC9DD20	1FE743C0	
DEC 30 : 230344096.000000	499768608.000000	535249856.000000	
HEX 31 : 1222D080	F8F2880	5B53A30	
DEC 31 : 304271488.000000	261040256.000000	95762992.000000	
HEX 32 : 9C4788	4F29800	8746680	
DEC 32 : 10241928.000000	83007488.000000	141846144.000000	
HEX 33 : 423D878	1E6F0F00	8C0111	
DEC 33 : 69458040.000000	510594816.000000	9175313.000000	
HEX 34 : 14A789E0	85389E0	ACF7C30	
DEC 34 : 346524128.000000	139692512.000000	181369904.000000	
HEX 35 : 5C7FD30	EBB83C0	1E9ED9E0	
DEC 35 : 96992560.000000	247169984.000000	513726944.000000	
HEX 36 : A1D0260	1ACBC100	18A69EA0	
DEC 36 : 169673312.000000	449560832.000000	413572768.000000	
HEX 37 : 104B33C0	16F8E160	C611BE0	
DEC 37 : 273363904.000000	385409376.000000	207690720.000000	
HEX 38 : 1198E1E	149E8620	1CE193E0	
DEC 38 : 18451998.000000	345933344.000000	484545504.000000	
HEX 39 : 1A1676A0	1C711960	63C8C30	
DEC 39 : 437679776.000000	477174112.000000	104631344.000000	
HEX 40 : AE0C880	14EE1BC0	12773D20	
DEC 40 : 182503552.000000	351148992.000000	309804320.000000	
HEX 41 : 9E09F80	18B39E2	11B89E2	
DEC 41 : 165715840.000000	25901538.000000	18581986.000000	
HEX 42 : C90D880	7205000	16288BA0	
DEC 42 : 210819200.000000	119558144.000000	371755936.000000	
HEX 43 : 1CEF710	A52EB50	D07B	
DEC 43 : 30340880.000000	173206352.000000	53371.000000	
HEX 44 : EFC0AD0	48672D0	F3B5FA0	
DEC 44 : 251398864.000000	75920080.000000	255549344.000000	
HEX 45 : EABFB50	1BE5BB40	12312820	
DEC 45 : 246152016.000000	468040512.000000	305211424.000000	
HEX 46 : A6A878	1F90C000	125B8E80	
DEC 46 : 10922104.000000	529580032.000000	307990144.000000	
HEX 47 : 1CF45000	1249D2E	1F7906A0	
DEC 47 : 485773312.000000	19176750.000000	528025248.000000	
HEX 48 : 13681700	3F3752C	928D	
DEC 48 : 325588736.000000	66286892.000000	37517.000000	
HEX 49 : 8BB43C0	12C861E	18B83CC0	
DEC 49 : 146490304.000000	19695134.000000	414727360.000000	
HEX 50 : 95F2690	1A1065A0	D2B0A70	
DEC 50 : 157230736.000000	437282208.000000	220924528.000000	
HEX 51 : 42E2DA8	13BAAAE0	E7F9980	
DEC 51 : 70135208.000000	331000544.000000	243243392.000000	
HEX 52 : 1BC645A0	876AC40	8016090	
DEC 52 : 465978784.000000	141995072.000000	134307984.000000	
HEX 53 : 10071260	D24CF10	1D504C40	
DEC 53 : 268898912.000000	220516112.000000	491801664.000000	
HEX 54 : 56C5168	1147D3C0	77CD2B0	
DEC 54 : 90984808.000000	289919936.000000	125620912.000000	
HEX 55 : 383CF10	1E60B5A0	193816A0	
DEC 55 : 58969872.000000	509654432.000000	423106208.000000	
HEX 56 : 1C91FB40	1FDBAB40	BDFA	
DEC 56 : 479329088.000000	534489920.000000	48634.000000	
HEX 57 : 78D2258	13B48160	191BBC00	
DEC 57 : 126689880.000000	330596704.000000	421248000.000000	
HEX 58 : 55ECBC0	18D245A0	5D2B4C0	
DEC 58 : 90098624.000000	416433568.000000	97694912.000000	
HEX 59 : 9FD3C4	C2CAD30	11067F60	
DEC 59 : 10474436.000000	204254512.000000	285638496.000000	
HEX 60 : C444000	1BC80000	66ED678	
DEC 60 : 205799424.000000	466092032.000000	107927160.000000	
HEX 61 : 16835880	12843000	BA46	
DEC 61 : 377706624.000000	310652928.000000	47686.000000	
HEX 62 : 1B4B1A60	1CFD4D20	1CFB3A80	
DEC 62 : 457906784.000000	486362400.000000	486226560.000000	
HEX 63 : 1C6084C0	10F98100	1F67F300	
DEC 63 : 476087488.000000	284786944.000000	526906112.000000	
HEX 64 : 1E89D2E0	2ACC2D4	28E4CC4	
DEC 64 : 512348896.000000	44876500.000000	42880196.000000	
HEX 65 : 15DA2C40	1B8C2000	58F1A	
DEC 65 : 366619712.000000	462168064.000000	364314.000000	
HEX 66 : 17F304C0	1E47BC40	165C2600	
DEC 66 : 401802432.000000	508017728.000000	375137792.000000	
HEX 67 : 1EF1BE20	1BC06B40	1530BE60	
DEC 67 : 519159328.000000	465595200.000000	355516000.000000	
HEX 68 : 15BD9C40	19B62100	10CC2D00	
DEC 68 : 364747840.000000	431366400.000000	281816320.000000	
HEX 69 : 14E585A0	1A2C5960	1FC81BC0	
DEC 69 : 350586272.000000	439114080.000000	533208000.000000	
HEX 70 : 16A8EDA0	AB535A0	ADAE56	
DEC 70 : 380169632.000000	179647904.000000	11382358.000000	
HEX 71 : 8D06000	B971970	1162C060	
DEC 71 : 147873792.000000	194451824.000000	291684448.000000	
HEX 72 : 1176C100	82B800	16D58900	
DEC 72 : 292995328.000000	8566784.000000	383092992.000000	
HEX 73 : C4F8E90	1440CBC0	69000F8	
DEC 73 : 206540432.000000	339790784.000000	110100728.000000	
HEX 74 : 157675A0	11804260	C2D6A60	
DEC 74 : 360084896.000000	293618272.000000	204302944.000000	
HEX 75 : 1F9CF000	95CADA0	14F04A60	
DEC 75 : 530378752.000000	157068704.000000	351292000.000000	
HEX 76 : 1725C440	2BCFE98	66C4A20	
DEC 76 : 388351040.000000	45940376.000000	107760160.000000	
HEX 77 : 1BCD8100	15881620	195E8F40	
DEC 77 : 466452736.000000	361240096.000000	425627456.000000	
HEX 78 : 142CF2E0	B9E9970	123FAB40	
DEC 78 : 338490080.000000	194943344.000000	306162496.000000	
HEX 79 : 5851530	4EBFD30	1036C160	
DEC 79 : 92607792.000000	82574640.000000	272023904.000000	
HEX 80 : 13395000	170306A0	56D32C8	
DEC 80 : 322523136.000000	386074272.000000	91042504.000000	
HEX 81 : 18341520	5514DA8	11617240	
DEC 81 : 406066464.000000	89214376.000000	291598912.000000	
HEX 82 : 19A74960	F6F9170	61D0A08	
DEC 82 : 430393696.000000	258969968.000000	102566408.000000	
HEX 83 : 4E4ED30	1967A6A0	1364EAC0	
DEC 83 : 82111792.000000	426223264.000000	325380800.000000	
HEX 84 : 1D468880	8384B50	1C0120C0	
DEC 84 : 491161728.000000	137907024.000000	469835968.000000	
HEX 85 : 4D86000	AA2FD30	AFBA220	
DEC 85 : 81289216.000000	178453808.000000	184263200.000000	
HEX 86 : 1B1A11E0	15DD26A0	9C1D1A0	
DEC 86 : 454693344.000000	366814880.000000	163697056.000000	
HEX 87 : 13E56EA0	1D4AB100	A6F9430	
DEC 87 : 333803168.000000	491434240.000000	175084592.000000	
HEX 88 : 1F0AAE20	5E3E3C0	E482C30	
DEC 88 : 520793632.000000	98821056.000000	239610928.000000	
HEX 89 : 1CFDF780	1C3B21E0	D4DBE80	
DEC 89 : 486406016.000000	473637344.000000	223198848.000000	
HEX 90 : 28F3620	5532878	178CE900	
DEC 90 : 42939936.000000	89335928.000000	395110656.000000	
HEX 91 : 18A3F1E0	28CBC3C	185E8480	
DEC 91 : 413397472.000000	42777660.000000	408847488.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
