Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 137CF2E0	1BD7D5A0	8CAF160	
DEC 1 : 326955744.000000	467129760.000000	147517792.000000	
HEX 2 : 1672E1E	10A52620	12284100	
DEC 2 : 23539230.000000	279258656.000000	304627968.000000	
HEX 3 : F78E2D0	11F1E440	9C48B	
DEC 3 : 259580624.000000	301065280.000000	640139.000000	
HEX 4 : 9D7F0F0	17AF7900	BF75	
DEC 4 : 165146864.000000	397375744.000000	49013.000000	
HEX 5 : 122E6780	18F84D20	BFB4	
DEC 5 : 305031040.000000	418925856.000000	49076.000000	
HEX 6 : 353F968	16540F80	D9BE0E0	
DEC 6 : 55834984.000000	374607744.000000	228319456.000000	
HEX 7 : 170D1D20	BCC90F0	36CDB	
DEC 7 : 386735392.000000	197955824.000000	224475.000000	
HEX 8 : 2DD1A5C	5EFB078	7C907E0	
DEC 8 : 48044636.000000	99594360.000000	130615264.000000	
HEX 9 : BD3C3C	F3A75A0	1985B4C0	
DEC 9 : 12401724.000000	255489440.000000	428192960.000000	
HEX 10 : 1EFF36A0	3507800	6227FF8	
DEC 10 : 520042144.000000	55605248.000000	102924280.000000	
HEX 11 : A3BE0F0	B86FBC0	1EE9CE60	
DEC 11 : 171696368.000000	193395648.000000	518639200.000000	
HEX 12 : FD2F970	BA528F0	80E9470	
DEC 12 : 265484656.000000	195373296.000000	135173232.000000	
HEX 13 : 128E52E0	1ACFBB40	1BD25DE0	
DEC 13 : 311317216.000000	449821504.000000	466771424.000000	
HEX 14 : 195104C0	17427AE0	A1A1D00	
DEC 14 : 424740032.000000	390232800.000000	169483520.000000	
HEX 15 : 1FE84E20	22CEA5C	10CE1280	
DEC 15 : 535318048.000000	36498012.000000	281940608.000000	
HEX 16 : 86EDD30	189FE3C0	892BF30	
DEC 16 : 141483312.000000	413131712.000000	143834928.000000	
HEX 17 : 14DEB5A0	34781E0	3C3FD44	
DEC 17 : 350139808.000000	55017952.000000	63176004.000000	
HEX 18 : AC1697	10EA11E0	8AD5480	
DEC 18 : 11277975.000000	283775456.000000	145577088.000000	
HEX 19 : 8793E20	117944C0	B07DA50	
DEC 19 : 142163488.000000	293160128.000000	185064016.000000	
HEX 20 : D5A7B50	1C9ADA60	47E80B8	
DEC 20 : 224033616.000000	479910496.000000	75399352.000000	
HEX 21 : 1ADB7E20	1AF7BF00	1E15C0E0	
DEC 21 : 450592288.000000	452443904.000000	504742112.000000	
HEX 22 : 1FC53B40	155A5260	DD1CFC0	
DEC 22 : 533019456.000000	358240864.000000	231854016.000000	
HEX 23 : 16CB1100	C6015A0	1DA5C9A0	
DEC 23 : 382406912.000000	207623584.000000	497404320.000000	
HEX 24 : 6E3C698	CA490F0	156E1D20	
DEC 24 : 115590808.000000	212111600.000000	359537952.000000	
HEX 25 : BF523C0	1853A440	F385930	
DEC 25 : 200614848.000000	408134720.000000	255351088.000000	
HEX 26 : 48A1A58	1F7BA2E0	B3F2D80	
DEC 26 : 76159576.000000	528196320.000000	188689792.000000	
HEX 27 : 12EB5E20	151C2440	DB72FC0	
DEC 27 : 317414944.000000	354165824.000000	230109120.000000	
HEX 28 : CAB2F10	4C0F2D0	707C418	
DEC 28 : 212545296.000000	79753936.000000	117949464.000000	
HEX 29 : 19FECC40	251A168	BAC93D0	
DEC 29 : 436128832.000000	38904168.000000	195859408.000000	
HEX 30 : 13281B40	57849E0	AC9AEA0	
DEC 30 : 321395520.000000	91769312.000000	180989600.000000	
HEX 31 : A9DEC40	147C9780	158E70A0	
DEC 31 : 178121792.000000	343709568.000000	361656480.000000	
HEX 32 : 12AC64C0	162D6100	153720E0	
DEC 32 : 313287872.000000	372072704.000000	355934432.000000	
HEX 33 : FB185A0	828E1E0	1090066	
DEC 33 : 263292320.000000	136896992.000000	17367142.000000	
HEX 34 : 36581E0	15FB3BC0	1714B500	
DEC 34 : 56984032.000000	368786368.000000	387233024.000000	
HEX 35 : 1E927000	83FB4B0	C6FB280	
DEC 35 : 512913408.000000	138392752.000000	208646784.000000	
HEX 36 : 168DB1E0	146C7260	1FB77520	
DEC 36 : 378384864.000000	342651488.000000	532116768.000000	
HEX 37 : F5261E0	13398960	1B4C39A0	
DEC 37 : 257057248.000000	322537824.000000	457980320.000000	
HEX 38 : 1E39AF00	1D5C81E0	44E9B08	
DEC 38 : 507096832.000000	492601824.000000	72260360.000000	
HEX 39 : 18FC8780	8CB74B0	1174AF80	
DEC 39 : 419202944.000000	147551408.000000	292859776.000000	
HEX 40 : 9E91690	CDEA170	B6D2	
DEC 40 : 166270608.000000	215916912.000000	46802.000000	
HEX 41 : 1B794780	E4DA620	1812E480	
DEC 41 : 460932992.000000	239969824.000000	403891328.000000	
HEX 42 : 61571E0	12410700	39DBFFC	
DEC 42 : 102068704.000000	306251520.000000	60669948.000000	
HEX 43 : 1D6DB4C0	FE1EA60	1F5756A0	
DEC 43 : 493728960.000000	266463840.000000	525817504.000000	
HEX 44 : 3C2B1E0	BA10440	D0F9DA0	
DEC 44 : 63091168.000000	195101760.000000	219127200.000000	
HEX 45 : A1BB3C0	18F03E20	1CA7FB60	
DEC 45 : 169587648.000000	418397728.000000	480770912.000000	
HEX 46 : ED48970	13472340	76BC1F0	
DEC 46 : 248809840.000000	323429184.000000	124502512.000000	
HEX 47 : 1D370C40	EB21CB0	542CEE0	
DEC 47 : 490146880.000000	246553776.000000	88264416.000000	
HEX 48 : 162C33C0	113F3D20	6071040	
DEC 48 : 371995584.000000	289357088.000000	101126208.000000	
HEX 49 : 35B7E20	1D83FF00	1C378A00	
DEC 49 : 56327712.000000	495189760.000000	473401856.000000	
HEX 50 : 1FEF0B40	1C8B46A0	B982A00	
DEC 50 : 535759680.000000	478889632.000000	194521600.000000	
HEX 51 : CAD85A0	1FA98100	DAEA450	
DEC 51 : 212698528.000000	531202304.000000	229549136.000000	
HEX 52 : 1B08BF00	568D0F0	C032	
DEC 52 : 453558016.000000	90755312.000000	49202.000000	
HEX 53 : 11CB3C4	19FB3000	768B5C8	
DEC 53 : 18658244.000000	435892224.000000	124302792.000000	
HEX 54 : 681E2D0	5CD6710	1A45BF60	
DEC 54 : 109175504.000000	97347344.000000	440778592.000000	
HEX 55 : D67FD30	1B6EFE20	165D39A0	
DEC 55 : 224918832.000000	460258848.000000	375208352.000000	
HEX 56 : 46A787	BCF9E90	2FBB164	
DEC 56 : 4630407.000000	198155920.000000	50049380.000000	
HEX 57 : 1139B6A0	8B6E1E0	126CDF00	
DEC 57 : 288994976.000000	146203104.000000	309124864.000000	
HEX 58 : 15E3BC40	74BCE20	1829D1A0	
DEC 58 : 367246400.000000	122408480.000000	405393824.000000	
HEX 59 : D5FAA60	4193D30	16F561E0	
DEC 59 : 224373344.000000	68762928.000000	385180128.000000	
HEX 60 : 163BD2E	16882440	1E512660	
DEC 60 : 23313710.000000	378020928.000000	508634720.000000	
HEX 61 : 148C5960	EE29710	152D5760	
DEC 61 : 344742240.000000	249730832.000000	355293024.000000	
HEX 62 : 18FB4000	8DBF880	76E0A30	
DEC 62 : 419119104.000000	148633728.000000	124652080.000000	
HEX 63 : 19100D20	17451800	28ACB6C	
DEC 63 : 420482336.000000	390404096.000000	42650476.000000	
HEX 64 : 1455D960	DB46F80	DB8F6B0	
DEC 64 : 341170528.000000	229928832.000000	230225584.000000	
HEX 65 : E1F8D30	BF10E20	187AC7E0	
DEC 65 : 236948784.000000	200347168.000000	410699744.000000	
HEX 66 : 1977C4C0	13CA9EA0	1246A160	
DEC 66 : 427279552.000000	332045984.000000	306618720.000000	
HEX 67 : 137426A0	1C28CA60	1050C920	
DEC 67 : 326379168.000000	472435296.000000	273729824.000000	
HEX 68 : B46A0F0	92B3F80	DD54400	
DEC 68 : 189178096.000000	153829248.000000	232080384.000000	
HEX 69 : 757C878	1EE8DB40	96AC4D	
DEC 69 : 123193464.000000	518576960.000000	9874509.000000	
HEX 70 : 1CBC1B40	808F5A0	1C0CCA80	
DEC 70 : 482089792.000000	134804896.000000	470600320.000000	
HEX 71 : 1BCBE5A0	2430F88	1731E1E0	
DEC 71 : 466347424.000000	37949320.000000	389145056.000000	
HEX 72 : 25B000	2157878	18B80E20	
DEC 72 : 2469888.000000	34961528.000000	414715424.000000	
HEX 73 : 85F4D30	B074530	723C3B0	
DEC 73 : 140463408.000000	185025840.000000	119784368.000000	
HEX 74 : 1BA256A0	F2DE9E0	C9B4CD0	
DEC 74 : 463623840.000000	254667232.000000	211504336.000000	
HEX 75 : 16FB7780	1EAC5A60	10EF4AA	
DEC 75 : 385578880.000000	514611808.000000	17757354.000000	
HEX 76 : 1EFD0780	1584E4C0	199BA760	
DEC 76 : 519899008.000000	361030848.000000	429631328.000000	
HEX 77 : 191DFC40	1A227F00	16553160	
DEC 77 : 421395520.000000	438468352.000000	374681952.000000	
HEX 78 : 7597A58	11D815A0	1C00BE00	
DEC 78 : 123304536.000000	299373984.000000	469810688.000000	
HEX 79 : 150EA000	252443C	115BA380	
DEC 79 : 353280000.000000	38945852.000000	291218304.000000	
HEX 80 : 1F3125A0	13B5A2E0	BFF3	
DEC 80 : 523314592.000000	330670816.000000	49139.000000	
HEX 81 : 5B0AD30	1C1345A0	11DC9160	
DEC 81 : 95464752.000000	471025056.000000	299667808.000000	
HEX 82 : 5ABD3C0	622CCB8	11D7D140	
DEC 82 : 95146944.000000	102943928.000000	299356480.000000	
HEX 83 : 13019880	D64D2D	1ABE7260	
DEC 83 : 318871680.000000	14044461.000000	448688736.000000	
HEX 84 : 24F11E0	195756A0	BFF3	
DEC 84 : 38736352.000000	425154208.000000	49139.000000	
HEX 85 : DAA3D30	FC78B50	10883C20	
DEC 85 : 229260592.000000	264735568.000000	277363744.000000	
HEX 86 : DC5AA60	23C40F0	F60BDE0	
DEC 86 : 231058016.000000	37503216.000000	257998304.000000	
HEX 87 : 10432880	6ECF698	1E38AF80	
DEC 87 : 272836736.000000	116192920.000000	507031424.000000	
HEX 88 : 6CD2E20	358C168	4ED67F	
DEC 88 : 114109984.000000	56148328.000000	5166719.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
