Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 84FB880	13644000	AA2E7B0	
DEC 1 : 139442304.000000	325337088.000000	178448304.000000	
HEX 2 : CC55780	1CF68880	BFB4	
DEC 2 : 214259584.000000	485918848.000000	49076.000000	
HEX 3 : 1054A6A0	1175D3C0	FCE3350	
DEC 3 : 273983136.000000	292934592.000000	265171792.000000	
HEX 4 : 8864E20	BC371E0	BBC1	
DEC 4 : 143019552.000000	197358048.000000	48065.000000	
HEX 5 : 187E66A0	113683C0	1B537100	
DEC 5 : 410936992.000000	288785344.000000	458453248.000000	
HEX 6 : F479F10	1FE24B40	1A9AF440	
DEC 6 : 256352016.000000	534924096.000000	446362688.000000	
HEX 7 : 13A423C0	3DBE698	18C3E020	
DEC 7 : 329524160.000000	64743064.000000	415490080.000000	
HEX 8 : EC77D30	13723260	C51F27	
DEC 8 : 247954736.000000	326251104.000000	12918567.000000	
HEX 9 : 61DEE20	15A9FA60	17303520	
DEC 9 : 102624800.000000	363461216.000000	389035296.000000	
HEX 10 : 11849E20	14A00160	1C358160	
DEC 10 : 293903904.000000	346030432.000000	473268576.000000	
HEX 11 : 187E75A0	34FFB4C	CC9F770	
DEC 11 : 410940832.000000	55573324.000000	214562672.000000	
HEX 12 : 8835A6	1B214780	13E23840	
DEC 12 : 8926630.000000	455165824.000000	333592640.000000	
HEX 13 : 2E12D2C	1459CB4	3F783	
DEC 13 : 48311596.000000	21339316.000000	259971.000000	
HEX 14 : 107BEE20	8F27C40	C032	
DEC 14 : 276557344.000000	150109248.000000	49202.000000	
HEX 15 : 92DEE20	193DBA60	5798A50	
DEC 15 : 154005024.000000	423475808.000000	91851344.000000	
HEX 16 : 9845A60	1C4D53C0	1627C580	
DEC 16 : 159668832.000000	474829760.000000	371705216.000000	
HEX 17 : 12A614C0	1C4745A0	149AC3E0	
DEC 17 : 312874176.000000	474432928.000000	345687008.000000	
HEX 18 : 187E73C0	A162530	8DCBF60	
DEC 18 : 410940352.000000	169223472.000000	148684640.000000	
HEX 19 : 75583C0	14441BC0	BFB4	
DEC 19 : 123044800.000000	340007872.000000	49076.000000	
HEX 20 : 65A2968	18350E20	101AF7E0	
DEC 20 : 106572136.000000	406130208.000000	270202848.000000	
HEX 21 : 11F78A60	19B8F1	A8257E0	
DEC 21 : 301435488.000000	1685745.000000	176314336.000000	
HEX 22 : 12019960	1E4F5D20	79A89A8	
DEC 22 : 302094688.000000	508517664.000000	127568296.000000	
HEX 23 : 7A8C788	47270F0	13AE8BE0	
DEC 23 : 128501640.000000	74608880.000000	330206176.000000	
HEX 24 : 187E7000	19170000	1D953BA0	
DEC 24 : 410939392.000000	420937728.000000	496319392.000000	
HEX 25 : 41D1788	1B119B40	3671EB	
DEC 25 : 69015432.000000	454138688.000000	3568107.000000	
HEX 26 : 149992E0	5EAEB48	1FF1ABC0	
DEC 26 : 345608928.000000	99281736.000000	535931840.000000	
HEX 27 : 12D7F10	16D07780	69194D8	
DEC 27 : 19758864.000000	382760832.000000	110204120.000000	
HEX 28 : D1873C0	1B83D5A0	F93DB70	
DEC 28 : 219706304.000000	461624736.000000	261348208.000000	
HEX 29 : 13A4EC40	19E64F00	41D4B6	
DEC 29 : 329575488.000000	434523904.000000	4314294.000000	
HEX 30 : 187E71E0	1123F900	B7ECF30	
DEC 30 : 410939872.000000	287570176.000000	192859952.000000	
HEX 31 : 78B6788	837DC40	1A329E80	
DEC 31 : 126576520.000000	137878592.000000	439524992.000000	
HEX 32 : 187E7000	1DD96780	10203800	
DEC 32 : 410939392.000000	500787072.000000	270546944.000000	
HEX 33 : 4B1EA58	F8FD080	5419880	
DEC 33 : 78768728.000000	261083264.000000	88184960.000000	
HEX 34 : E46BB50	2C542D4	10811920	
DEC 34 : 239516496.000000	46482132.000000	276896032.000000	
HEX 35 : F3F05A0	1E5696	37D1784	
DEC 35 : 255788448.000000	1988246.000000	58529668.000000	
HEX 36 : 159316A0	16F60DA0	F4687C0	
DEC 36 : 361961120.000000	385224096.000000	256280512.000000	
HEX 37 : 12A9B000	E833D30	171CD3C0	
DEC 37 : 313110528.000000	243481904.000000	387765184.000000	
HEX 38 : 3784878	E8D6970	1A581880	
DEC 38 : 58214520.000000	244148592.000000	441981056.000000	
HEX 39 : 9B8C0F0	45B0E98	9F34CA	
DEC 39 : 163102960.000000	73076376.000000	10433738.000000	
HEX 40 : 17AB5D20	1FB9FE20	1956DA80	
DEC 40 : 397106464.000000	532282912.000000	425122432.000000	
HEX 41 : 88EC5A0	FA0A080	13684F60	
DEC 41 : 143574432.000000	262185088.000000	325603168.000000	
HEX 42 : 10E21E2	10436900	136A6E80	
DEC 42 : 17703394.000000	272853248.000000	325742208.000000	
