Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 95
HEX 1 : 1C0B6BE0	1D4A63C0	A0009A0	
DEC 1 : 470510560.000000	491414464.000000	167774624.000000	
HEX 2 : 1B9B5340	53144B8	7077998	
DEC 2 : 463164224.000000	87114936.000000	117930392.000000	
HEX 3 : D252C20	1E0FB5A0	F8E4750	
DEC 3 : 220539936.000000	504346016.000000	260982608.000000	
HEX 4 : 58839B	15FC4960	1EEF9B00	
DEC 4 : 5800859.000000	368855392.000000	519019264.000000	
HEX 5 : 5F7B6	108B76A0	19BDB860	
DEC 5 : 391094.000000	277575328.000000	431863904.000000	
HEX 6 : E0B8650	108AAE20	196FA7A0	
DEC 6 : 235636304.000000	277524000.000000	426747808.000000	
HEX 7 : D4C9280	D185690	BFB4	
DEC 7 : 223122048.000000	219698832.000000	49076.000000	
HEX 8 : 503B720	1E5BDA60	7550A30	
DEC 8 : 84129568.000000	509336160.000000	123013680.000000	
HEX 9 : 16E7B6E	79C2E20	105F8880	
DEC 9 : 24017774.000000	127675936.000000	274696320.000000	
HEX 10 : C05C230	4DFA5A	1A540900	
DEC 10 : 201703984.000000	5110362.000000	441714944.000000	
HEX 11 : 1B2EC6C0	1BC43C40	239E570	
DEC 11 : 456050368.000000	465845312.000000	37348720.000000	
HEX 12 : 1C7DD4C0	A4275A0	C071	
DEC 12 : 478008512.000000	172127648.000000	49265.000000	
HEX 13 : 17C8D3C0	182552E0	F124820	
DEC 13 : 399037376.000000	405099232.000000	252856352.000000	
HEX 14 : BE71A20	BF55880	12D6DB00	
DEC 14 : 199694880.000000	200628352.000000	316070656.000000	
HEX 15 : A1D30C0	8F8EA60	19840BA0	
DEC 15 : 169685184.000000	150530656.000000	428084128.000000	
HEX 16 : 622E268	16F8ED20	4F40400	
DEC 16 : 102949480.000000	385412384.000000	83100672.000000	
HEX 17 : 1B937800	E5C1000	17E8EA80	
DEC 17 : 462649344.000000	240914432.000000	401140352.000000	
HEX 18 : 16781740	1272BE20	1E2EB100	
DEC 18 : 376969024.000000	309509664.000000	506376448.000000	
HEX 19 : 6FEF7	15337E20	EC80C8	
DEC 19 : 458487.000000	355696160.000000	15499464.000000	
HEX 20 : DA91D60	422969	12C35500	
DEC 20 : 229186912.000000	4335977.000000	314791168.000000	
HEX 21 : 5F7B6	A1822D0	967DE70	
DEC 21 : 391094.000000	169353936.000000	157802096.000000	
HEX 22 : 690B160	40624B8	1DF1C100	
DEC 22 : 110145888.000000	67511480.000000	502382848.000000	
HEX 23 : 1E3A0560	D92B2D0	AEC8BE0	
DEC 23 : 507118944.000000	227717840.000000	183274464.000000	
HEX 24 : 5F777	166A1000	115DFF20	
DEC 24 : 391031.000000	376049664.000000	291372832.000000	
HEX 25 : 9DBB030	1D9BA4C0	1B460CA0	
DEC 25 : 165392432.000000	496739520.000000	457575584.000000	
HEX 26 : 4375AD	DF35C40	2F17CD8	
DEC 26 : 4421037.000000	234052672.000000	49380568.000000	
HEX 27 : 88BC5E0	12B9878	7B8CD88	
DEC 27 : 143377888.000000	19634296.000000	129551752.000000	
HEX 28 : 796DC30	102F3F00	7DEA5E0	
DEC 28 : 127327280.000000	271531776.000000	132031968.000000	
HEX 29 : 3550244	1BE77D20	C032	
DEC 29 : 55902788.000000	468155680.000000	49202.000000	
HEX 30 : AE72880	1AD1BA60	C032	
DEC 30 : 182921344.000000	449952352.000000	49202.000000	
HEX 31 : 582BB18	DC4AB50	EE9E920	
DEC 31 : 92453656.000000	230992720.000000	250210592.000000	
HEX 32 : F28D7E0	1BDD96A	3CFD344	
DEC 32 : 254334944.000000	29219178.000000	63951684.000000	
HEX 33 : 64CF5E0	151B11E0	D6BB1A0	
DEC 33 : 105706976.000000	354095584.000000	225161632.000000	
HEX 34 : 168C8540	1BDE72E0	1B9C88A0	
DEC 34 : 378307904.000000	467563232.000000	463243424.000000	
HEX 35 : BEB2F40	1B6255A0	7C04E00	
DEC 35 : 199962432.000000	459429280.000000	130043392.000000	
HEX 36 : 140B8CC0	1CE6B4C0	4E6A4B8	
DEC 36 : 336301248.000000	484881600.000000	82224312.000000	
HEX 37 : E6B7200	4AD6968	ADDF280	
DEC 37 : 241922560.000000	78473576.000000	182317696.000000	
HEX 38 : 14CFA860	C958690	C071	
DEC 38 : 349153376.000000	211125904.000000	49265.000000	
HEX 39 : 1B37B080	7D68E20	1D408A60	
DEC 39 : 456634496.000000	131501600.000000	490768992.000000	
HEX 40 : 71D8F	1D7016A0	1DE8DD20	
DEC 40 : 466319.000000	493885088.000000	501800224.000000	
HEX 41 : 1AF66940	7C5C000	E71AFC0	
DEC 41 : 452356416.000000	130400256.000000	242331584.000000	
HEX 42 : 1D849060	10554B40	1FC63800	
DEC 42 : 495226976.000000	274025280.000000	533084160.000000	
HEX 43 : CC76A90	13E52A60	331846C	
DEC 43 : 214395536.000000	333785696.000000	53576812.000000	
HEX 44 : E9A6860	F1E72D0	A658EC0	
DEC 44 : 245000288.000000	253653712.000000	174427840.000000	
HEX 45 : B0EE720	175C0B40	173F6340	
DEC 45 : 185526048.000000	391908160.000000	390030144.000000	
HEX 46 : 15B8D9A0	2047C3C	1331C020	
DEC 46 : 364435872.000000	33848380.000000	322027552.000000	
HEX 47 : 12A83000	175A8E20	BFB4	
DEC 47 : 313012224.000000	391810592.000000	49076.000000	
HEX 48 : 11BE7840	173D1E20	A1CAA80	
DEC 48 : 297695296.000000	389881376.000000	169650816.000000	
HEX 49 : F9D07A0	5F61878	1DC362A0	
DEC 49 : 261949344.000000	100014200.000000	499344032.000000	
HEX 50 : D328AB0	168CCD20	1012F340	
