Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 1B951260	17ABDC40	DCC3AC0	
DEC 1 : 462754400.000000	397139008.000000	231488192.000000	
HEX 2 : 141ED080	16203E20	1F196E20	
DEC 2 : 337563776.000000	371211808.000000	521760288.000000	
HEX 3 : 13974520	2F7696	1E61DB80	
DEC 3 : 328680736.000000	3110550.000000	509729664.000000	
HEX 4 : 1AD7FC40	1C00E880	746809	
DEC 4 : 450362432.000000	469821568.000000	7628809.000000	
HEX 5 : FFB0930	FE831E0	BFF3	
DEC 5 : 268110128.000000	266875360.000000	49139.000000	
HEX 6 : 14BD61A0	10354B40	187287E0	
DEC 6 : 347955616.000000	271928128.000000	410159072.000000	
HEX 7 : 3030620	15556F00	BFB4	
DEC 7 : 50529824.000000	357920512.000000	49076.000000	
HEX 8 : FC88F50	1EA81E20	CAF45B0	
DEC 8 : 264802128.000000	514334240.000000	212813232.000000	
HEX 9 : 9452D3	1A7F7880	F58F620	
DEC 9 : 9720531.000000	444561536.000000	257488416.000000	
HEX 10 : EB90D70	B0F9C40	1BFEC560	
DEC 10 : 247008624.000000	185572416.000000	469681504.000000	
HEX 11 : F3F3040	13693960	13291160	
DEC 11 : 255799360.000000	325663072.000000	321458528.000000	
HEX 12 : F3956D0	B7D8000	13CAF220	
DEC 12 : 255416016.000000	192774144.000000	332067360.000000	
HEX 13 : 994AE90	1978D880	1F029	
DEC 13 : 160738960.000000	427350144.000000	127017.000000	
HEX 14 : 9412FC0	F1CAF10	F8AC110	
DEC 14 : 155267008.000000	253538064.000000	260751632.000000	
HEX 15 : 837B400	2BE02D4	73BAE60	
DEC 15 : 137868288.000000	46006996.000000	121351776.000000	
HEX 16 : 19AD2960	8497C40	2A4786	
DEC 16 : 430778720.000000	139033664.000000	2770822.000000	
HEX 17 : 6376B88	1C90E100	1CCD42C0	
DEC 17 : 104295304.000000	479256832.000000	483214016.000000	
HEX 18 : 2359698	856E000	53DE750	
DEC 18 : 37066392.000000	139911168.000000	87942992.000000	
HEX 19 : 2737220	33500F0	160998E0	
DEC 19 : 41120288.000000	53805296.000000	369727712.000000	
HEX 20 : 113CB10	1937AC40	6280F50	
DEC 20 : 18074384.000000	423078976.000000	103288656.000000	
HEX 21 : 78A5568	7062788	1A10A120	
DEC 21 : 126506344.000000	117843848.000000	437297440.000000	
HEX 22 : 1144C740	2BCE0F0	61A77C0	
DEC 22 : 289720128.000000	45932784.000000	102397888.000000	
HEX 23 : B106AD0	8A87780	AEB7B80	
DEC 23 : 185625296.000000	145258368.000000	183204736.000000	
HEX 24 : 12FF7660	3E5D3C4	111C1CC0	
DEC 24 : 318731872.000000	65393604.000000	287055040.000000	
HEX 25 : 176F19E0	1BD57960	7E50E58	
DEC 25 : 393157088.000000	466975072.000000	132451928.000000	
HEX 26 : 106BDDA0	4D4BF10	181F72E0	
DEC 26 : 275504544.000000	81051408.000000	404714208.000000	
HEX 27 : FCD0E60	1D5B54C0	1A236B40	
DEC 27 : 265096800.000000	492524736.000000	438528832.000000	
HEX 28 : 8DFC170	EC542D0	17B7E900	
DEC 28 : 148881776.000000	247808720.000000	397928704.000000	
HEX 29 : 1EE8DEA0	15AEB6A0	C032	
DEC 29 : 518577824.000000	363771552.000000	49202.000000	
HEX 30 : A53F750	8E021E0	367B76C	
DEC 30 : 173274960.000000	148906464.000000	57128812.000000	
HEX 31 : 13F8D6A	B9F788	93F5000	
DEC 31 : 20942186.000000	12187528.000000	155144192.000000	
HEX 32 : 1FCD3800	1B535E20	12D9D960	
DEC 32 : 533542912.000000	458448416.000000	316266848.000000	
HEX 33 : A3F07C0	16D1D880	18CD5540	
DEC 33 : 171902912.000000	382851200.000000	416109888.000000	
HEX 34 : 2240B10	142546A0	B9E7030	
DEC 34 : 35916560.000000	337987232.000000	194932784.000000	
HEX 35 : 6332F88	1C5C81E0	AB10780	
DEC 35 : 104017800.000000	475824608.000000	179373952.000000	
HEX 36 : 1EE3DB40	8F38B50	67BC0D0	
DEC 36 : 518249280.000000	150178640.000000	108773584.000000	
HEX 37 : 1D16D2E	BFB62D0	1B628740	
DEC 37 : 30502190.000000	201024208.000000	459441984.000000	
HEX 38 : 96BAFC0	1270BD20	2B1E77C	
DEC 38 : 158052288.000000	309378336.000000	45213564.000000	
HEX 39 : 1681E960	D1DCB50	5DF3140	
DEC 39 : 377612640.000000	220056400.000000	98513216.000000	
HEX 40 : 1075C2E0	1766B3C0	ACA1DA0	
DEC 40 : 276153056.000000	392606656.000000	181018016.000000	
HEX 41 : 1707A3C0	145C5780	8B83360	
DEC 41 : 386376640.000000	341596032.000000	146289504.000000	
HEX 42 : 170F7B00	B2691E0	11E30700	
DEC 42 : 386890496.000000	187077088.000000	300091136.000000	
HEX 43 : 181F77C0	12999B40	1228EEE0	
DEC 43 : 404715456.000000	312056640.000000	304672480.000000	
HEX 44 : 15B56EA0	18493780	18103FC0	
DEC 44 : 364211872.000000	407451520.000000	403718080.000000	
HEX 45 : 19726D60	1EF83780	F0EBD20	
DEC 45 : 426929504.000000	519583616.000000	252624160.000000	
HEX 46 : 1C788000	3EC52D4	16A87DC0	
DEC 46 : 477659136.000000	65819348.000000	380140992.000000	
HEX 47 : 131F42A0	8855970	B2B0CA0	
DEC 47 : 320815776.000000	142956912.000000	187370656.000000	
HEX 48 : 1C66DDA0	C26EB50	1C9F05E0	
DEC 48 : 476503456.000000	203877200.000000	480183776.000000	
HEX 49 : 1FF6F080	CDE35A0	C032	
DEC 49 : 536277120.000000	215889312.000000	49202.000000	
HEX 50 : 1A9644C0	5CCB878	D456C80	
DEC 50 : 446055616.000000	97302648.000000	222653568.000000	
HEX 51 : 5E063C0	E408880	81EB230	
