Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 1AA3C2E0	78F82D0	B8266F0	
DEC 1 : 446939872.000000	126845648.000000	193095408.000000	
HEX 2 : D5C38F0	60F60F0	927A480	
DEC 2 : 224147696.000000	101671152.000000	153592960.000000	
HEX 3 : 1F811A60	1EF78E20	184778A0	
DEC 3 : 528554592.000000	519540256.000000	407337120.000000	
HEX 4 : 10E67EA0	11178F00	9CE27F0	
DEC 4 : 283541152.000000	286756608.000000	164505584.000000	
HEX 5 : 1827A620	16EAF4C0	BE22DE0	
DEC 5 : 405251616.000000	384496832.000000	199372256.000000	
HEX 6 : 187CA520	6A52D3	F192E90	
DEC 6 : 410821920.000000	6968019.000000	253308560.000000	
HEX 7 : 3DAD1E0	EC64690	7A3C4C0	
DEC 7 : 64672224.000000	247875216.000000	128173248.000000	
HEX 8 : C800880	ECFCD30	BFB4	
DEC 8 : 209717376.000000	248499504.000000	49076.000000	
HEX 9 : 84C1800	1116E960	146DB340	
DEC 9 : 139204608.000000	286714208.000000	342733632.000000	
HEX 10 : 1F2B8C40	198A6880	B1C0BE0	
DEC 10 : 522947648.000000	428501120.000000	186387424.000000	
HEX 11 : 64D8620	9124690	17420FA	
DEC 11 : 105743904.000000	152192656.000000	24387834.000000	
HEX 12 : B399780	1CA3C100	18E77A20	
DEC 12 : 188323712.000000	480493824.000000	417823264.000000	
HEX 13 : 16631440	912B1E0	1273ED60	
DEC 13 : 375592000.000000	152220128.000000	309587296.000000	
HEX 14 : 1C954D20	221D2D4	6AACFD8	
DEC 14 : 479546656.000000	35771092.000000	111857624.000000	
HEX 15 : 2BA0788	FA8BF10	1A86C100	
DEC 15 : 45746056.000000	262717200.000000	445038848.000000	
HEX 16 : 6B77698	137942E0	1FA5A800	
DEC 16 : 112686744.000000	326714080.000000	530950144.000000	
HEX 17 : 627E258	1D4B8A60	A7FB890	
DEC 17 : 103277144.000000	491489888.000000	176142480.000000	
HEX 18 : A136800	19CD43C0	BFF3	
DEC 18 : 169043968.000000	432882624.000000	49139.000000	
HEX 19 : A88DDA0	1F5A63C0	1076E4E0	
DEC 19 : 176741792.000000	526017472.000000	276227296.000000	
HEX 20 : 6BD5A5	46B5878	216FD5	
DEC 20 : 7067045.000000	74143864.000000	2191317.000000	
HEX 21 : B27D8F0	CFDAA60	72F1ED0	
DEC 21 : 187160816.000000	217950816.000000	120528592.000000	
HEX 22 : 10520E20	1E022780	C032	
DEC 22 : 273813024.000000	503457664.000000	49202.000000	
HEX 23 : 115EFE20	41CF698	F38F040	
DEC 23 : 291438112.000000	69007000.000000	255389760.000000	
HEX 24 : 14078E20	ED50780	BDFA	
DEC 24 : 336039456.000000	248842112.000000	48634.000000	
HEX 25 : 1F615A60	43E1698	BB43	
DEC 25 : 526473824.000000	71177880.000000	47939.000000	
HEX 26 : 1959F6A0	11601000	1EE28400	
DEC 26 : 425326240.000000	291508224.000000	518161408.000000	
HEX 27 : 216FE98	1409FA60	CB9A860	
DEC 27 : 35061400.000000	336198240.000000	213493856.000000	
HEX 28 : 1540CB40	15F371E0	1A8373E0	
DEC 28 : 356567872.000000	368275936.000000	444822496.000000	
HEX 29 : C8B39E0	4DD30F0	1A71878	
DEC 29 : 210450912.000000	81604848.000000	27727992.000000	
HEX 30 : 11CA1080	1F232A60	13EA0560	
DEC 30 : 298455168.000000	522398304.000000	334103904.000000	
HEX 31 : 1E5CE260	129F22E0	6F50160	
DEC 31 : 509403744.000000	312419040.000000	116719968.000000	
HEX 32 : 153D0D20	2EA0000	A8102F	
DEC 32 : 356322592.000000	48889856.000000	11014191.000000	
HEX 33 : 6831E98	8E0A0F0	14F839E0	
DEC 33 : 109256344.000000	148938992.000000	351812064.000000	
HEX 34 : 139EF700	A4B1A60	B8E9CF0	
DEC 34 : 329185024.000000	172694112.000000	193895664.000000	
HEX 35 : FC29E20	89D9F10	1BF55AC0	
DEC 35 : 264412704.000000	144547600.000000	469064384.000000	
HEX 36 : 1290D080	1CF22100	1BB75400	
DEC 36 : 311480448.000000	485630208.000000	464999424.000000	
HEX 37 : 1937B700	73C2F10	192EF940	
