Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 14B12D20	1BDD7C40	D0CBB8	
DEC 1 : 347155744.000000	467500096.000000	13683640.000000	
HEX 2 : 1B9136A0	17EFF3C0	2FDA8F4	
DEC 2 : 462501536.000000	401601472.000000	50178292.000000	
HEX 3 : F7790F0	16D9C780	B341730	
DEC 3 : 259494128.000000	383371136.000000	187963184.000000	
HEX 4 : 7B25A	5697C40	1BD25200	
DEC 4 : 504410.000000	90799168.000000	466768384.000000	
HEX 5 : 106091E0	ED5FD30	7227FC0	
DEC 5 : 274764256.000000	248905008.000000	119701440.000000	
HEX 6 : AF54350	10320000	1F8948C0	
DEC 6 : 183845712.000000	271712256.000000	529090752.000000	
HEX 7 : 1F2283C0	95321E0	BDD7380	
DEC 7 : 522355648.000000	156443104.000000	199062400.000000	
HEX 8 : 1291D2E0	ACDD5A0	162E1900	
DEC 8 : 311546592.000000	181261728.000000	372119808.000000	
HEX 9 : C1718F0	1561D100	18E93240	
DEC 9 : 202840304.000000	358732032.000000	417935936.000000	
HEX 10 : 197B6C40	FB700F0	E8B3190	
DEC 10 : 427519040.000000	263651568.000000	244003216.000000	
HEX 11 : 6B183C0	1632E100	13279200	
DEC 11 : 112296896.000000	372433152.000000	321360384.000000	
HEX 12 : A8281E0	1D30E4C0	59B15C8	
DEC 12 : 176325088.000000	489743552.000000	94049736.000000	
HEX 13 : 14178880	1C1D3C4	1D909B00	
DEC 13 : 337086592.000000	29479876.000000	496016128.000000	
HEX 14 : 1D1DE1E0	B4135A0	1490D420	
DEC 14 : 488497632.000000	188822944.000000	345035808.000000	
HEX 15 : 30E09E0	181BEE20	4D210A8	
DEC 15 : 51251680.000000	404483616.000000	80875688.000000	
HEX 16 : 12763520	216D4B4	100F1500	
DEC 16 : 309736736.000000	35050676.000000	269423872.000000	
HEX 17 : 191BAB40	1760E5A0	1B7062C0	
DEC 17 : 421243712.000000	392226208.000000	460350144.000000	
HEX 18 : 614BE98	9C6D0F0	1F09EB00	
DEC 18 : 102022808.000000	164024560.000000	520743680.000000	
HEX 19 : 633D9E0	17E8D000	1DB40900	
DEC 19 : 104061408.000000	401133568.000000	498338048.000000	
HEX 20 : 16B60BC0	13D5E100	8399B30	
DEC 20 : 381029312.000000	332783872.000000	137993008.000000	
HEX 21 : 12BAD9E0	1958C6A0	16CA3080	
DEC 21 : 314235360.000000	425248416.000000	382349440.000000	
HEX 22 : 1209B700	727DC40	9CB7E00	
DEC 22 : 302626560.000000	120052800.000000	164331008.000000	
HEX 23 : 180CFCC0	5B9F968	153FA420	
DEC 23 : 403504320.000000	96074088.000000	356492320.000000	
HEX 24 : D6993C0	75BC1E0	11E94920	
DEC 24 : 225022912.000000	123453920.000000	300501280.000000	
HEX 25 : C571B50	1BC01880	125B3280	
DEC 25 : 207035216.000000	465574016.000000	307966592.000000	
HEX 26 : F1BD970	10E5FB40	BFB4	
DEC 26 : 253483376.000000	283507520.000000	49076.000000	
HEX 27 : 15A6710	3E0A878	C39B320	
DEC 27 : 22701840.000000	65054840.000000	205108000.000000	
HEX 28 : 11ABDE20	1017A2E0	1BB58520	
DEC 28 : 296476192.000000	269984480.000000	464880928.000000	
HEX 29 : 6260348	927C1E0	16FA85A0	
DEC 29 : 103154504.000000	153600480.000000	385516960.000000	
HEX 30 : B04F2D0	A1874B0	9CC24C0	
DEC 30 : 184873680.000000	169374896.000000	164373696.000000	
HEX 31 : AFAC9E0	10D882E0	DD69FE0	
DEC 31 : 184207840.000000	282624736.000000	232169440.000000	
HEX 32 : 12BE0EA0	8F884B0	1CE8572	
DEC 32 : 314445472.000000	150504624.000000	30311794.000000	
HEX 33 : 1AC1CA60	34935A4	94D7B90	
DEC 33 : 448907872.000000	55129508.000000	156072848.000000	
HEX 34 : 1190A160	CF51000	E9223F0	
DEC 34 : 294691168.000000	217387008.000000	244458480.000000	
HEX 35 : 9053710	349E968	1AB949E0	
DEC 35 : 151336720.000000	55175528.000000	448350688.000000	
HEX 36 : 13C60AE0	1F1DFD20	110D08C0	
DEC 36 : 331746016.000000	522059040.000000	286066880.000000	
HEX 37 : 80C0690	C6AD2D	131CD600	
