Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : F7E3E20	1AF6A6A0	12F7CF80	
DEC 1 : 259931680.000000	452372128.000000	318230400.000000	
HEX 2 : 733EB48	69C3B48	19774140	
DEC 2 : 120843080.000000	110902088.000000	427245888.000000	
HEX 3 : 17AEC2E0	DAEEA60	1379E6E	
DEC 3 : 397329120.000000	229567072.000000	20422254.000000	
HEX 4 : D4790F0	FC354B0	16A3CAC0	
DEC 4 : 222793968.000000	264459440.000000	379833024.000000	
HEX 5 : 11AFE6A0	10B47E20	FCB1FC0	
DEC 5 : 296740512.000000	280264224.000000	264970176.000000	
HEX 6 : 4A340F0	145A7D20	15C6E9C0	
DEC 6 : 77807856.000000	341474592.000000	365357504.000000	
HEX 7 : B3DA3C0	1BD292E0	BCBE	
DEC 7 : 188588992.000000	466784992.000000	48318.000000	
HEX 8 : 169C93C0	1682BF00	12820380	
DEC 8 : 379360192.000000	377667328.000000	310510464.000000	
HEX 9 : 8B29A60	DDD7690	F3B9CD0	
DEC 9 : 145922656.000000	232617616.000000	255565008.000000	
HEX 10 : B3EF780	34A6878	73DF6A0	
DEC 10 : 188675968.000000	55208056.000000	121501344.000000	
HEX 11 : 1D274F00	1294CA60	1486BD60	
DEC 11 : 489115392.000000	311741024.000000	344374624.000000	
HEX 12 : 94CE970	1C6C5B40	D990780	
DEC 12 : 156035440.000000	476863296.000000	228132736.000000	
HEX 13 : AF61C40	167685A0	1ABF38C0	
DEC 13 : 183901248.000000	376866208.000000	448739520.000000	
HEX 14 : 57031E0	80772D0	7F4C3B8	
DEC 14 : 91238880.000000	134705872.000000	133481400.000000	
HEX 15 : E969	138D3C40	1C2A6C00	
DEC 15 : 59753.000000	328023104.000000	472542208.000000	
HEX 16 : 1CC64E20	35DD4B4	C032	
DEC 16 : 482758176.000000	56480948.000000	49202.000000	
HEX 17 : B2AB2D0	55E9000	12CC1	
DEC 17 : 187347664.000000	90083328.000000	76993.000000	
HEX 18 : 1969FC40	1523F960	1E3CA520	
DEC 18 : 426376256.000000	354679136.000000	507290912.000000	
HEX 19 : 12D6BC40	196E3780	1D094	
DEC 19 : 316062784.000000	426653568.000000	118932.000000	
HEX 20 : 7F5F4B8	1BD89F00	15AAC300	
DEC 20 : 133559480.000000	467181312.000000	363512576.000000	
HEX 21 : BA004B0	1514B4C0	3556C20	
DEC 21 : 195036336.000000	353678528.000000	55929888.000000	
HEX 22 : 193C72E0	1FB84F00	148644A0	
DEC 22 : 423391968.000000	532172544.000000	344343712.000000	
HEX 23 : 123A6960	2AC84B4	13E2E8A0	
DEC 23 : 305817952.000000	44860596.000000	333637792.000000	
HEX 24 : 14D80B40	B3E34B0	97577F0	
DEC 24 : 349702976.000000	188626096.000000	158693360.000000	
HEX 25 : 6DBD1E0	F44EC40	67457C0	
DEC 25 : 115069408.000000	256175168.000000	108287936.000000	
HEX 26 : 1277EF00	37B0D2C	4B145A0	
DEC 26 : 309849856.000000	58395948.000000	78726560.000000	
HEX 27 : 170B7100	FB93C4	1A1249E0	
DEC 27 : 386625792.000000	16487364.000000	437406176.000000	
HEX 28 : 3734E20	1563DD20	2D45474	
DEC 28 : 57888288.000000	358866208.000000	47469684.000000	
HEX 29 : 119C3A60	18113A60	1F7E0380	
DEC 29 : 295451232.000000	403782240.000000	528352128.000000	
HEX 30 : 1240788	FFC6880	FB197C0	
DEC 30 : 19138440.000000	268200064.000000	263296960.000000	
HEX 31 : EDEE3C0	10EF7D20	1EED8780	
DEC 31 : 249488320.000000	284130592.000000	518883200.000000	
HEX 32 : 1AD2D4C0	79DC968	1CC8E940	
DEC 32 : 450024640.000000	127781224.000000	482928960.000000	
HEX 33 : C5EA1E0	12BB3100	A72BE70	
DEC 33 : 207528416.000000	314257664.000000	175292016.000000	
HEX 34 : 5B28B48	5F53E20	FB4F290	
DEC 34 : 95587144.000000	99958304.000000	263516816.000000	
HEX 35 : D3D34B0	9401A60	B63B060	
DEC 35 : 222114992.000000	155196000.000000	191082592.000000	
HEX 36 : 16485E20	E0073C0	1DBAABE0	
DEC 36 : 373841440.000000	234910656.000000	498772960.000000	
HEX 37 : 192AE960	EF37C40	E620D70	
DEC 37 : 422242656.000000	250838080.000000	241306992.000000	
HEX 38 : 19E6BE20	594B4	10C3B960	
DEC 38 : 434552352.000000	365748.000000	281262432.000000	
HEX 39 : 1C72AD20	19311A60	180F9F00	
DEC 39 : 477277472.000000	422648416.000000	403676928.000000	
