Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 77
HEX 1 : 139EEA60	11C10A60	50E00A8	
DEC 1 : 329181792.000000	297863776.000000	84803752.000000	
HEX 2 : B7D60F0	90C3B50	14525120	
DEC 2 : 192766192.000000	151796560.000000	340939040.000000	
HEX 3 : 70591E0	6D133C0	DE39B80	
DEC 3 : 117805536.000000	114373568.000000	233020288.000000	
HEX 4 : 11E16100	1A8A4100	DE785F0	
DEC 4 : 299983104.000000	445268224.000000	233276912.000000	
HEX 5 : A7D54B0	16F80880	19A37900	
DEC 5 : 175985840.000000	385353856.000000	430143744.000000	
HEX 6 : 258BD2C	16D96100	6E64ED0	
DEC 6 : 39370028.000000	383344896.000000	115756752.000000	
HEX 7 : 65D5D30	61A63C0	66C2798	
DEC 7 : 106782000.000000	102392768.000000	107751320.000000	
HEX 8 : 187E7100	105D0F0	4E98CD0	
DEC 8 : 410939648.000000	17158384.000000	82414800.000000	
HEX 9 : 187E7D20	16AAA1E0	805DB90	
DEC 9 : 410942752.000000	380281312.000000	134601616.000000	
HEX 10 : 2B74B4	18F24F00	D95D	
DEC 10 : 2847924.000000	418533120.000000	55645.000000	
HEX 11 : 14DD9B40	119B06A0	14E0B460	
DEC 11 : 350067520.000000	295372448.000000	350270560.000000	
HEX 12 : 22B00F0	1F6E3C40	155A53E0	
DEC 12 : 36372720.000000	527318080.000000	358241248.000000	
HEX 13 : 23471E0	BF77C40	8A8E3E0	
DEC 13 : 36991456.000000	200768576.000000	145286112.000000	
HEX 14 : 6A422D0	11E3A000	A9818F0	
DEC 14 : 111420112.000000	300130304.000000	177740016.000000	
HEX 15 : 135364C0	C2D3D30	A1AB050	
DEC 15 : 324232384.000000	204291376.000000	169521232.000000	
HEX 16 : 1728F6A0	16D44B40	C032	
DEC 16 : 388560544.000000	383011648.000000	49202.000000	
HEX 17 : CBE60F0	A09E0F0	7236E10	
DEC 17 : 213803248.000000	168419568.000000	119762448.000000	
HEX 18 : 12B80100	9A85F10	112C7C40	
DEC 18 : 314048768.000000	162029328.000000	288128064.000000	
HEX 19 : 142AE2E0	1EAD21E0	13C3F6E0	
DEC 19 : 338354912.000000	514662880.000000	331609824.000000	
HEX 20 : 18771F00	17D0C1E0	1726DE20	
DEC 20 : 410459904.000000	399557088.000000	388423200.000000	
HEX 21 : 11189A60	CBFD780	1939A400	
DEC 21 : 286825056.000000	213899136.000000	423207936.000000	
HEX 22 : 1113A960	12AFFE20	D2600D0	
DEC 22 : 286501216.000000	313523744.000000	220594384.000000	
HEX 23 : 8189F10	17A3FB40	F3B05A0	
DEC 23 : 135831312.000000	396622656.000000	255526304.000000	
HEX 24 : 796CD30	E483880	3A81168	
DEC 24 : 127323440.000000	239614080.000000	61346152.000000	
HEX 25 : 187E7000	176CD1E0	1EABCAA0	
DEC 25 : 410939392.000000	393007584.000000	514575008.000000	
HEX 26 : 9AFEF10	1A864100	72562E8	
DEC 26 : 162524944.000000	445006080.000000	119890664.000000	
HEX 27 : 4611B48	10FD95A0	13214820	
DEC 27 : 73472840.000000	285054368.000000	320948256.000000	
HEX 28 : 6953000	1FCB3E20	1C3EAFE0	
DEC 28 : 110440448.000000	533413408.000000	473870304.000000	
HEX 29 : 187E7100	5010A58	1278A040	
DEC 29 : 410939648.000000	83954264.000000	309895232.000000	
HEX 30 : 801C3C0	14DAAD20	1951E	
