Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 768B490	12B071E0	3E6BF98	
DEC 1 : 124302480.000000	313553376.000000	65453976.000000	
HEX 2 : 1D74D220	1879E5A0	8885D70	
DEC 2 : 494195232.000000	410641824.000000	143154544.000000	
HEX 3 : 173277E0	1C15788	C032	
DEC 3 : 389183456.000000	29448072.000000	49202.000000	
HEX 4 : 12FF0420	1879E3C0	C032	
DEC 4 : 318702624.000000	410641344.000000	49202.000000	
HEX 5 : 5F7B6	6180D30	124EE600	
DEC 5 : 391094.000000	102239536.000000	307160576.000000	
HEX 6 : 4F8BB38	5C79A58	60F3020	
DEC 6 : 83409720.000000	96967256.000000	101658656.000000	
HEX 7 : 19C72A40	ECD788	103142E0	
DEC 7 : 432482880.000000	15521672.000000	271663840.000000	
HEX 8 : 12A96160	C55C1E0	A8C6110	
DEC 8 : 313090400.000000	206946784.000000	176972048.000000	
HEX 9 : 1D2DDE20	E694880	14DA8EA0	
DEC 9 : 489545248.000000	241780864.000000	349867680.000000	
HEX 10 : 39CED0C	A0AB880	BFF3	
DEC 10 : 60615948.000000	168474752.000000	49139.000000	
HEX 11 : 11A2DAA0	E088780	1EBE2D20	
DEC 11 : 295885472.000000	235440000.000000	515779872.000000	
HEX 12 : 1C0F8B20	80ECC40	10F89C20	
DEC 12 : 470780704.000000	135187520.000000	284728352.000000	
HEX 13 : E1246A0	121D1880	E359C00	
DEC 13 : 236078752.000000	303896704.000000	238394368.000000	
HEX 14 : 5F7B6	1629A1E0	8D1BD40	
DEC 14 : 391094.000000	371827168.000000	147963200.000000	
HEX 15 : 17346940	948DC40	BF35	
DEC 15 : 389310784.000000	155769920.000000	48949.000000	
HEX 16 : 1E714560	141E5A60	19997B40	
DEC 16 : 510739808.000000	337533536.000000	429488960.000000	
HEX 17 : D4CC800	8E7E000	E9242D0	
DEC 17 : 223135744.000000	149413888.000000	244466384.000000	
HEX 18 : 52C7EC0	9B05970	DC790D0	
DEC 18 : 86802112.000000	162552176.000000	231182544.000000	
HEX 19 : F89673	1879E3C0	10DAB780	
DEC 19 : 16291443.000000	410641344.000000	282769280.000000	
HEX 20 : E493A10	10F11960	66BABC0	
DEC 20 : 239680016.000000	284236128.000000	107719616.000000	
HEX 21 : 5F777	37ABB4C	B3F4F10	
DEC 21 : 391031.000000	58374988.000000	188698384.000000	
HEX 22 : A8DEF00	A8A14B0	7C0D8B8	
DEC 22 : 177073920.000000	176821424.000000	130078904.000000	
HEX 23 : 137C5D20	69F85A8	1234F0E0	
DEC 23 : 326917408.000000	111117736.000000	305459424.000000	
HEX 24 : 948FDA0	46BC2D0	1E788B80	
