Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 74
HEX 1 : 1C3CC100	CDFC880	58C2790	
DEC 1 : 473743616.000000	215992448.000000	93071248.000000	
HEX 2 : 11DF4880	1510000	18983D00	
DEC 2 : 299845760.000000	22085632.000000	412630272.000000	
HEX 3 : 356D000	1879E3C0	7707240	
DEC 3 : 56020992.000000	410641344.000000	124809792.000000	
HEX 4 : 8BA5A60	28B0788	115C2580	
DEC 4 : 146430560.000000	42665864.000000	291251584.000000	
HEX 5 : 94F2880	130D8A60	6C62E90	
DEC 5 : 156182656.000000	319654496.000000	113651344.000000	
HEX 6 : 17BFA5A0	1879E2E0	15C06AA0	
DEC 6 : 398435744.000000	410641120.000000	364931744.000000	
HEX 7 : B17B690	10684100	166CF020	
DEC 7 : 186103440.000000	275267840.000000	376238112.000000	
HEX 8 : 2787D2C	944F3C0	CBD3C40	
DEC 8 : 41450796.000000	155513792.000000	213728320.000000	
HEX 9 : 6668B48	AA2D780	13453B00	
DEC 9 : 107383624.000000	178444160.000000	323304192.000000	
HEX 10 : 1C9F4780	6971D30	16AE0AE	
DEC 10 : 480200576.000000	110566704.000000	23781550.000000	
HEX 11 : 1260F000	1879E4C0	F639CD0	
DEC 11 : 308342784.000000	410641600.000000	258186448.000000	
HEX 12 : 103564C0	1F053C4	44FCC00	
DEC 12 : 271934656.000000	32527300.000000	72338432.000000	
HEX 13 : 85DC620	1879E3C0	1A30B00	
DEC 13 : 140363296.000000	410641344.000000	27462400.000000	
HEX 14 : 1EE99960	17D61D20	17FAA5A0	
DEC 14 : 518625632.000000	399908128.000000	402302368.000000	
HEX 15 : 1CAB1D20	185D7780	F408080	
DEC 15 : 480976160.000000	408778624.000000	255885440.000000	
HEX 16 : 8191710	184CF960	15A61040	
DEC 16 : 135862032.000000	407697760.000000	363204672.000000	
HEX 17 : 14701880	8A69780	1AE87D00	
DEC 17 : 342890624.000000	145135488.000000	451443968.000000	
HEX 18 : 23BCAD4	1879E3C0	10EDFC00	
DEC 18 : 37472980.000000	410641344.000000	284032000.000000	
HEX 19 : 22961E0	5E5BC40	6039EB8	
DEC 19 : 36266464.000000	98942016.000000	100900536.000000	
HEX 20 : 197F8C40	16186880	1E7D5120	
DEC 20 : 427789376.000000	370698368.000000	511529248.000000	
HEX 21 : 17036900	5D640F0	13FAD220	
DEC 21 : 386099456.000000	97927408.000000	335204896.000000	
HEX 22 : 7ED0F10	41AFA58	19679C00	
DEC 22 : 132976400.000000	68876888.000000	426220544.000000	
HEX 23 : 1ADBC6A0	7DC9698	1EC2D400	
DEC 23 : 450610848.000000	131896984.000000	516084736.000000	
HEX 24 : 17736D20	1879E3C0	9D314B0	
DEC 24 : 393440544.000000	410641344.000000	164828336.000000	
HEX 25 : 1C116780	68975A8	99C21C0	
DEC 25 : 470902656.000000	109671848.000000	161227200.000000	
HEX 26 : 19B92A60	1B1F5A6	1A96B4C0	
DEC 26 : 431565408.000000	28439974.000000	446084288.000000	
HEX 27 : 167C9E2	41E7D30	122099A0	
DEC 27 : 23579106.000000	69106992.000000	304126368.000000	
HEX 28 : 16D536A0	A455000	DE13ED0	
DEC 28 : 383071904.000000	172314624.000000	232865488.000000	
