Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : 122FF5A0	B06BF10	14E24F20	
DEC 1 : 305132960.000000	184991504.000000	350375712.000000	
HEX 2 : 1B1B8960	1225F4C0	1AC1EAE0	
DEC 2 : 454789472.000000	304477376.000000	448916192.000000	
HEX 3 : D0525A0	1129E960	1C170EA	
DEC 3 : 218441120.000000	287959392.000000	29454570.000000	
HEX 4 : DFF22D0	134913C0	109C75E0	
DEC 4 : 234824400.000000	323556288.000000	278689248.000000	
HEX 5 : 13D2C3C0	533A2D0	1A5D7140	
DEC 5 : 332579776.000000	87270096.000000	442331456.000000	
HEX 6 : 1ABB9780	7012F10	1CC0A7E0	
DEC 6 : 448501632.000000	117518096.000000	482387936.000000	
HEX 7 : 109F6960	5F9D0F0	5D8F2C0	
DEC 7 : 278882656.000000	100258032.000000	98104000.000000	
HEX 8 : 1099F2E0	1879E3C0	6D20840	
DEC 8 : 278524640.000000	410641344.000000	114427968.000000	
HEX 9 : ACC2690	B4E94B0	76AD7C8	
DEC 9 : 181151376.000000	189699248.000000	124442568.000000	
HEX 10 : B6451E0	1DAA696	1287D180	
DEC 10 : 191123936.000000	31106710.000000	310890880.000000	
HEX 11 : 685B878	26B65A4	1A686E40	
DEC 11 : 109426808.000000	40592804.000000	443051584.000000	
HEX 12 : 5914C40	7B25A58	138BB9C0	
DEC 12 : 93408320.000000	129129048.000000	327924160.000000	
HEX 13 : 1AF5B000	1D65000	1AEE182	
DEC 13 : 452308992.000000	30822400.000000	28238210.000000	
HEX 14 : 3E2CA5C	53384B8	BFF3	
DEC 14 : 65194588.000000	87262392.000000	49139.000000	
HEX 15 : 512B1E0	152854C0	11A13C20	
DEC 15 : 85111264.000000	354964672.000000	295779360.000000	
HEX 16 : 1C1B6780	1879E3C0	9F379D0	
DEC 16 : 471558016.000000	410641344.000000	166951376.000000	
HEX 17 : 9EB05A0	33CAE20	99B7580	
DEC 17 : 166397344.000000	54308384.000000	161183104.000000	
HEX 18 : ACF24B0	1879E4C0	15343F00	
DEC 18 : 181347504.000000	410641600.000000	355745536.000000	
HEX 19 : 9F0F5A0	1879E4C0	1FAB2500	
DEC 19 : 166786464.000000	410641600.000000	531309824.000000	
HEX 20 : 1235D000	DB174B0	DD7BF20	
DEC 20 : 305516544.000000	229733552.000000	232242976.000000	
HEX 21 : 3765B4C	21374B4	E9A27F0	
DEC 21 : 58088268.000000	34829492.000000	244983792.000000	
HEX 22 : D67CD30	1879E3C0	C032	
DEC 22 : 224906544.000000	410641344.000000	49202.000000	
HEX 23 : 1B49D100	A86E2D0	FC1B290	
DEC 23 : 457822464.000000	176612048.000000	264352400.000000	
HEX 24 : 12F68F00	114BA880	1BF07360	
DEC 24 : 318148352.000000	290171008.000000	468743008.000000	
HEX 25 : 12E963C0	115EB4C	C032	
DEC 25 : 317285312.000000	18213708.000000	49202.000000	
HEX 26 : 2C5EE20	3F74E20	758B3F8	
DEC 26 : 46525984.000000	66539040.000000	123253752.000000	
HEX 27 : 5772B48	115BC2E0	A9101D0	
DEC 27 : 91695944.000000	291226336.000000	177275344.000000	
HEX 28 : 619EF10	D82FC40	184C8D00	
DEC 28 : 102362896.000000	226688064.000000	407670016.000000	
HEX 29 : 1D29C780	1D15A5	1AEFBF00	
DEC 29 : 489277312.000000	1906085.000000	451919616.000000	
