Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 1 : 5ED99	DE825D0	1A3FB9A0	
DEC 1 : 388505.000000	233317840.000000	440383904.000000	
HEX 2 : B832ED0	50ECAF8	5CAE440	
DEC 2 : 193146576.000000	84855544.000000	97182784.000000	
HEX 3 : CE729B0	15891FE0	165DF900	
DEC 3 : 216476080.000000	361308128.000000	375257344.000000	
HEX 4 : 15FB02C0	15FD3	1BBE2E60	
DEC 4 : 368771776.000000	90067.000000	465448544.000000	
HEX 5 : 38D0910	16779	BC80C40	
DEC 5 : 59574544.000000	92025.000000	197659712.000000	
HEX 6 : BEA0C20	194FC020	DB66ED0	
DEC 6 : 199887904.000000	424656928.000000	230059728.000000	
HEX 7 : 7BEC440	1C1C3620	5E72748	
DEC 7 : 129942592.000000	471610912.000000	99034952.000000	
HEX 8 : 5EE95	EE57110	12E865A	
DEC 8 : 388757.000000	249917712.000000	19826266.000000	
HEX 9 : 6FB20D0	119AB360	836F6D0	
DEC 9 : 117121232.000000	295351136.000000	137819856.000000	
HEX 10 : 11BF4E80	150BE5C0	FD41970	
DEC 10 : 297750144.000000	353101248.000000	265558384.000000	
HEX 11 : 18B62B00	1D5A22E0	63FDB88	
DEC 11 : 414591744.000000	492446432.000000	104848264.000000	
HEX 12 : 1379F0C0	1A8EDC20	14A877C0	
DEC 12 : 326758592.000000	445570080.000000	346585024.000000	
HEX 13 : 5F931	11BD8240	B16ED30	
DEC 13 : 391473.000000	297632320.000000	186051888.000000	
HEX 14 : 87FDD60	10595BC0	1A810E20	
DEC 14 : 142597472.000000	274291648.000000	444665376.000000	
HEX 15 : CC6C9C0	E0EF860	405DAD0	
DEC 15 : 214354368.000000	235862112.000000	67492560.000000	
HEX 16 : C2C2630	15A45A00	48C8B10	
DEC 16 : 204219952.000000	363092480.000000	76319504.000000	
HEX 17 : 96F04D0	784F7F8	11174AE0	
DEC 17 : 158270672.000000	126154744.000000	286739168.000000	
HEX 18 : 1711D420	5E4E3E8	172DD880	
DEC 18 : 387044384.000000	98886632.000000	388880512.000000	
HEX 19 : 13F023E0	1EA75380	C2B4880	
DEC 19 : 334504928.000000	514282368.000000	204163200.000000	
HEX 20 : 12293960	6616468	C52B9A0	
DEC 20 : 304691552.000000	107045992.000000	206748064.000000	
HEX 21 : 5F970	145B64A0	1E57CF00	
DEC 21 : 391536.000000	341533856.000000	509071104.000000	
HEX 22 : 1290D480	74F5EF0	46CD040	
DEC 22 : 311481472.000000	122642160.000000	74240064.000000	
HEX 23 : 470C230	2AC4620	4CBFED0	
DEC 23 : 74498608.000000	44844576.000000	80477904.000000	
HEX 24 : 1CF8FF80	DA47280	F9C8690	
DEC 24 : 486080384.000000	228881024.000000	261916304.000000	
HEX 25 : 1E6B06A0	11BBFD20	9770F	
DEC 25 : 510330528.000000	297532704.000000	620303.000000	
HEX 26 : 17EF42C0	13988680	13DDF6A0	
DEC 26 : 401556160.000000	328763008.000000	333313696.000000	
