Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : DD7B570	1AA915C0	8EFC4F0	
DEC 1 : 232240496.000000	447288768.000000	149931248.000000	
HEX 2 : 7988298	16A85D00	A383780	
DEC 2 : 127435416.000000	380132608.000000	171456384.000000	
HEX 3 : 1703A780	1F25B440	8A42F80	
DEC 3 : 386115456.000000	522564672.000000	144977792.000000	
HEX 4 : 744E9A8	128A77C0	1ADC3D20	
DEC 4 : 121956776.000000	311064512.000000	450641184.000000	
HEX 5 : 1518EF40	181926C0	6D126D0	
DEC 5 : 353955648.000000	404301504.000000	114370256.000000	
HEX 6 : 177FF160	1ECCA340	1025A3C0	
DEC 6 : 394260832.000000	516727616.000000	270902208.000000	
HEX 7 : BF44260	6B816F0	10BEB560	
DEC 7 : 200557152.000000	112727792.000000	280933728.000000	
HEX 8 : D933AD0	2B6C6	5667258	
DEC 8 : 227752656.000000	177862.000000	90600024.000000	
HEX 9 : 1CAD2D	18D00080	13675AE0	
DEC 9 : 1879341.000000	416284800.000000	325540576.000000	
HEX 10 : BF7C530	15032E40	3671FC4	
DEC 10 : 200787248.000000	352529984.000000	57089988.000000	
HEX 11 : 1D9E7880	313B4C4	19CB10C0	
DEC 11 : 496924800.000000	51623108.000000	432738496.000000	
HEX 12 : 1F0DDCC0	A6DF480	19095780	
DEC 12 : 521002176.000000	174978176.000000	420042624.000000	
HEX 13 : 56160F0	1E03B8A0	19048780	
DEC 13 : 90267888.000000	503560352.000000	419727232.000000	
HEX 14 : 1C81A880	D43A0E0	6266788	
DEC 14 : 478259328.000000	222535904.000000	103180168.000000	
HEX 15 : 151B9340	3B6653	6C1E078	
DEC 15 : 354128704.000000	3892819.000000	113369208.000000	
HEX 16 : 5D62168	2405C74	11C925A0	
DEC 16 : 97919336.000000	37772404.000000	298395040.000000	
HEX 17 : 65C58F0	F650FA0	6EA92D0	
DEC 17 : 106715376.000000	258281376.000000	116036304.000000	
HEX 18 : 27B8A20	B7E13A0	1232E96	
DEC 18 : 41650720.000000	192811936.000000	19082902.000000	
HEX 19 : A6F1570	16B6C	C431440	
DEC 19 : 175052144.000000	93036.000000	205722688.000000	
HEX 20 : 1192296	1B84CCA0	B886710	
DEC 20 : 18424470.000000	461687968.000000	193488656.000000	
HEX 21 : 1763FE20	75FD048	1B934FC0	
DEC 21 : 392429088.000000	123719752.000000	462639040.000000	
HEX 22 : 1D8012E0	1C3E1DE0	C62B1E0	
DEC 22 : 494932704.000000	473832928.000000	207794656.000000	
HEX 23 : 1603B9E0	45096C8	14090120	
DEC 23 : 369342944.000000	72390344.000000	336134432.000000	
HEX 24 : AA21CB0	18826DE0	17BCD740	
DEC 24 : 178396336.000000	411200992.000000	398251840.000000	
HEX 25 : 1BAB3C40	16B6C	228EC3C	
DEC 25 : 464206912.000000	93036.000000	36236348.000000	
HEX 26 : 1F21A3C0	1B258280	13A76900	
DEC 26 : 522298304.000000	455443072.000000	329738496.000000	
HEX 27 : 8C18E60	BB4B180	15C4E3C0	
DEC 27 : 146902624.000000	196391296.000000	365224896.000000	
HEX 28 : 115F1C80	12803F40	A348C40	
DEC 28 : 291445888.000000	310394688.000000	171215936.000000	
HEX 29 : 1A66CDA0	D1C1AB0	DF7D880	
DEC 29 : 442944928.000000	219945648.000000	234346624.000000	
HEX 30 : 116021A0	1CB261A0	1673E220	
DEC 30 : 291512736.000000	481452448.000000	376693280.000000	
HEX 31 : E71C080	113D7F60	17836620	
DEC 31 : 242335872.000000	289242976.000000	394487328.000000	
HEX 32 : 6F030F	774FB98	D115880	
DEC 32 : 7275279.000000	125107096.000000	219240576.000000	
HEX 33 : D2010B0	16BAB	13F24120	
DEC 33 : 220205232.000000	93099.000000	334643488.000000	
HEX 34 : 5B40A58	132AA4A0	1385AC00	
DEC 34 : 95685208.000000	321561760.000000	327527424.000000	
HEX 35 : 7B2FB88	63CC0F8	280903C	
DEC 35 : 129170312.000000	104644856.000000	41979964.000000	
HEX 36 : 1226FBC0	E2A8FD	E5F1ED0	
DEC 36 : 304544704.000000	14854397.000000	241114832.000000	
HEX 37 : 374B168	B2781B0	1B16A260	
DEC 37 : 57979240.000000	187138480.000000	454468192.000000	
HEX 38 : CA2DB80	D2C0890	CECFA20	
DEC 38 : 211999616.000000	220989584.000000	216857120.000000	
HEX 39 : 266C3C	12886BC	177AD4C0	
DEC 39 : 2518076.000000	19433148.000000	393925824.000000	
HEX 40 : D3BA5E0	1053D2E0	1EE36E20	
DEC 40 : 222012896.000000	273928928.000000	518221344.000000	
HEX 41 : CCD9620	1408AE80	10096AE0	
DEC 41 : 214799904.000000	336113280.000000	269052640.000000	
HEX 42 : 1F4C4780	178EE760	486DA20	
DEC 42 : 525092736.000000	395241312.000000	75946528.000000	
HEX 43 : 14EBF500	E7C0F00	1BDA9900	
DEC 43 : 351008000.000000	243011328.000000	467310848.000000	
HEX 44 : 14A0A900	C2311C0	7D73CB8	
DEC 44 : 346073344.000000	203624896.000000	131546296.000000	
HEX 45 : 143B10C0	1FFA8FC0	17F596A	
DEC 45 : 339415232.000000	536514496.000000	25123178.000000	
HEX 46 : 193FBDA0	139695E0	2717DA4	
DEC 46 : 423607712.000000	328635872.000000	40992164.000000	
HEX 47 : D88969	186F7F80	1B413960	
DEC 47 : 14190953.000000	409960320.000000	457259360.000000	
HEX 48 : 1340C560	671A8A0	2D9E2D4	
DEC 48 : 323011936.000000	108112032.000000	47833812.000000	
HEX 49 : 8602C80	340CF6C	18CD8A20	
DEC 49 : 140520576.000000	54579052.000000	416123424.000000	
HEX 50 : C980DE0	1D4D1720	1538C00	
DEC 50 : 211291616.000000	491591456.000000	22252544.000000	
HEX 51 : FB7CD30	1F5B9500	F1B0570	
DEC 51 : 263703856.000000	526095616.000000	253429104.000000	
HEX 52 : 873A880	1B90F500	10AD3A20	
DEC 52 : 141797504.000000	462484736.000000	279788064.000000	
HEX 53 : F9FFD70	26113FC	1AA3E9A0	
DEC 53 : 262143344.000000	39916540.000000	446949792.000000	
HEX 54 : 4337F88	16C05A20	2E4DF4C	
DEC 54 : 70483848.000000	381704736.000000	48553804.000000	
HEX 55 : 1A9EDCC0	771F328	1AA012E	
DEC 55 : 446618816.000000	124908328.000000	27918638.000000	
HEX 56 : 1B81F8C0	16B6C	11374D00	
DEC 56 : 461502656.000000	93036.000000	288836864.000000	
HEX 57 : 3FD0A5C	16B6C	75CEA98	
DEC 57 : 66914908.000000	93036.000000	123529880.000000	
HEX 58 : 1E1AF800	11B58040	175CE6A0	
DEC 58 : 505083904.000000	297107520.000000	391964320.000000	
HEX 59 : 138CEB40	9222D90	ECCF6D0	
DEC 59 : 328002368.000000	153234832.000000	248313552.000000	
HEX 60 : 94A98F0	169F1	1F88ABC0	
DEC 60 : 155883760.000000	92657.000000	529050560.000000	
HEX 61 : C05E0B0	1FAD39E0	1D755880	
DEC 61 : 201711792.000000	531446240.000000	494229632.000000	
HEX 62 : 11E10B4	85228B0	14841E60	
DEC 62 : 18747572.000000	139602096.000000	344202848.000000	
HEX 63 : 16905520	1AF4AAE0	1C862960	
DEC 63 : 378557728.000000	452242144.000000	478554464.000000	
HEX 64 : 1D6489E0	18851800	1A7E41A0	
DEC 64 : 493128160.000000	411375616.000000	444481952.000000	
HEX 65 : 141A93C0	108DE6E0	11BC8C00	
DEC 65 : 337286080.000000	277735136.000000	297569280.000000	
HEX 66 : F7D0D30	17D90020	1E206F00	
DEC 66 : 259853616.000000	400097312.000000	505442048.000000	
HEX 67 : 7419348	7A25BD0	9E33AD0	
