Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 1CC0B260	934F9F0	555D478	
DEC 1 : 482390624.000000	154466800.000000	89511032.000000	
HEX 2 : 1DA776A0	177E28E0	4FE7078	
DEC 2 : 497514144.000000	394143968.000000	83783800.000000	
HEX 3 : 5E864B8	16B6C	1D510340	
DEC 3 : 99116216.000000	93036.000000	491848512.000000	
HEX 4 : 1DCE8160	8394B	18C24BC0	
DEC 4 : 500072800.000000	538955.000000	415386560.000000	
HEX 5 : 1058C100	452DB18	35EB5A4	
DEC 5 : 274252032.000000	72538904.000000	56538532.000000	
HEX 6 : 13E83D20	1FD22C40	199C5960	
DEC 6 : 333987104.000000	533867584.000000	429676896.000000	
HEX 7 : 1F6C3F00	103A0800	5DEA4B8	
DEC 7 : 527187712.000000	272238592.000000	98477240.000000	
HEX 8 : 19C1CB40	112D3600	1A0A8700	
DEC 8 : 432130880.000000	288175616.000000	436897536.000000	
HEX 9 : 17921700	710DB70	4F592D	
DEC 9 : 395450112.000000	118545264.000000	5200173.000000	
HEX 10 : 701F168	1BD64220	1283E520	
DEC 10 : 117567848.000000	467026464.000000	310633760.000000	
HEX 11 : A329F10	18F08320	1DE74080	
DEC 11 : 171089680.000000	418415392.000000	501694592.000000	
HEX 12 : 1E3DB6A0	1603BAE0	DCA31A0	
DEC 12 : 507360928.000000	369343200.000000	231354784.000000	
HEX 13 : 1E36DF80	15DB2600	1DE7C080	
DEC 13 : 506912640.000000	366683648.000000	501727360.000000	
HEX 14 : 1FDB2F00	1D882440	DE7C260	
DEC 14 : 534458112.000000	495461440.000000	233292384.000000	
HEX 15 : 1F3421E0	16C69	2771710	
DEC 15 : 523510240.000000	93289.000000	41359120.000000	
HEX 16 : 11FD16A	11FC1B40	B3C5CB0	
DEC 16 : 18862442.000000	301734720.000000	188505264.000000	
HEX 17 : 1631BEA0	16795EC0	4ECDDA8	
DEC 17 : 372358816.000000	377052864.000000	82632104.000000	
HEX 18 : 49678F0	1B98F540	19A42340	
DEC 18 : 76970224.000000	463009088.000000	430187328.000000	
HEX 19 : 8EFB620	6966E60	5083E20	
DEC 19 : 149927456.000000	110521952.000000	84426272.000000	
HEX 20 : 1F9861E	D6EBE10	118EBEA0	
DEC 20 : 33130014.000000	225361424.000000	294567584.000000	
HEX 21 : 4205B48	B9E0CF0	7E7E2D0	
DEC 21 : 69229384.000000	194907376.000000	132637392.000000	
