Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 1BE525A0	B055890	1E77DD20	
DEC 1 : 468002208.000000	184899728.000000	511171872.000000	
HEX 2 : E41FA60	1BC87C00	1E7B5AE0	
DEC 2 : 239204960.000000	466123776.000000	511400672.000000	
HEX 3 : 1B739960	4ABCAC0	1A722300	
DEC 3 : 460560736.000000	78367424.000000	443687680.000000	
HEX 4 : 132B1800	13A6FA60	1D4575A0	
DEC 4 : 321591296.000000	329710176.000000	491091360.000000	
HEX 5 : F0D2350	C593010	2E821E	
DEC 5 : 252519248.000000	207171600.000000	3047966.000000	
HEX 6 : 3204168	107B14A0	F467660	
DEC 6 : 52445544.000000	276501664.000000	256276064.000000	
HEX 7 : AA7A620	CB726E0	B7F2E90	
DEC 7 : 178759200.000000	213329632.000000	192884368.000000	
HEX 8 : 172CF700	1EA212A0	151B7AA0	
DEC 8 : 388822784.000000	513938080.000000	354122400.000000	
HEX 9 : B4AA0F0	12C6B800	14B55E2	
DEC 9 : 189440240.000000	315013120.000000	21714402.000000	
HEX 10 : 1FA08A60	1624B	EE20A60	
DEC 10 : 530614880.000000	90699.000000	249694816.000000	
HEX 11 : 9B5CCB0	1F046AA0	5A351E0	
DEC 11 : 162909360.000000	520383136.000000	94589408.000000	
HEX 12 : 10E86E20	1D64B160	7230AD0	
DEC 12 : 283668000.000000	493138272.000000	119737040.000000	
HEX 13 : 366F87	1C716C40	1ADAA3C0	
DEC 13 : 3567495.000000	477195328.000000	450536384.000000	
HEX 14 : AADB780	E559BB0	180451E0	
DEC 14 : 179156864.000000	240491440.000000	402936288.000000	
HEX 15 : 7E81710	1D220700	18C36840	
DEC 15 : 132650768.000000	488769280.000000	415459392.000000	
HEX 16 : 16919520	1262E4A0	868B840	
DEC 16 : 378639648.000000	308470944.000000	141080640.000000	
HEX 17 : E139B50	16CEBF20	97094F0	
DEC 17 : 236165968.000000	382648096.000000	158373104.000000	
HEX 18 : 1B1E1000	1CABE520	1F3FC080	
DEC 18 : 454955008.000000	481027360.000000	524271744.000000	
HEX 19 : 1A7612E0	9B0C120	938D350	
DEC 19 : 443945696.000000	162578720.000000	154719056.000000	
HEX 20 : 13B3D100	9AF9E80	5E725A8	
DEC 20 : 330551552.000000	162504320.000000	99034536.000000	
HEX 21 : 1ACA4000	B58D780	17070AE0	
DEC 21 : 449462272.000000	190371712.000000	386337504.000000	
HEX 22 : 5E42CB8	5AE0728	6763C40	
