Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 1 : 717E2D0	5CDDE68	18FFD120	
DEC 1 : 119005904.000000	97377896.000000	419418400.000000	
HEX 2 : B057D30	1CAD5C80	1F560440	
DEC 2 : 184909104.000000	481123456.000000	525730880.000000	
HEX 3 : 1041EA60	14A5C	148E4100	
DEC 3 : 272755296.000000	84572.000000	344867072.000000	
HEX 4 : 183BBE20	16F873E0	1698E100	
DEC 4 : 406568480.000000	385381344.000000	379117824.000000	
HEX 5 : 1B14D780	4A92AF0	5BF60F0	
DEC 5 : 454350720.000000	78195440.000000	96428272.000000	
HEX 6 : 32EA0F0	B26A890	1C93EC40	
DEC 6 : 53387504.000000	187082896.000000	479456320.000000	
HEX 7 : 968BF10	27C9BA8	12A646A0	
DEC 7 : 157859600.000000	41720744.000000	312886944.000000	
HEX 8 : 169532E0	1BB3D000	1C78CF80	
DEC 8 : 378876640.000000	464769024.000000	477679488.000000	
HEX 9 : 18493F00	18D97680	E943E20	
DEC 9 : 407453440.000000	416904832.000000	244596256.000000	
HEX 10 : 75A0698	18606DA0	CBB8E20	
DEC 10 : 123340440.000000	408972704.000000	213618208.000000	
HEX 11 : 134FE100	6815790	1E4E2C40	
DEC 11 : 324002048.000000	109139856.000000	508439616.000000	
HEX 12 : 683BA58	1E4FE5A0	197ADB80	
DEC 12 : 109296216.000000	508552608.000000	427481984.000000	
HEX 13 : 5C7D1E0	3573E2C	C1B9000	
DEC 13 : 96981472.000000	56049196.000000	203132928.000000	
HEX 14 : 1DF23C40	1A3589C0	1CF6BD20	
DEC 14 : 502414400.000000	439716288.000000	485932320.000000	
HEX 15 : 991FF10	1806D260	2ABB878	
DEC 15 : 160562960.000000	403100256.000000	44808312.000000	
HEX 16 : 35F8E20	11DFAB20	EACB380	
DEC 16 : 56593952.000000	299871008.000000	246199168.000000	
HEX 17 : 4F23C4	9B409B0	47ABA58	
DEC 17 : 5186500.000000	162793904.000000	75151960.000000	
HEX 18 : 62BD0F0	F6104F0	171C8300	
DEC 18 : 103534832.000000	258016496.000000	387744512.000000	
HEX 19 : 18596960	1E36DC40	148BDC00	
DEC 19 : 408512864.000000	506911808.000000	344710144.000000	
HEX 20 : 100814C0	83984B0	172D05E0	
DEC 20 : 268965056.000000	137987248.000000	388826592.000000	
HEX 21 : BA4E5A0	145AC	11F983C	
DEC 21 : 195356064.000000	83372.000000	18847804.000000	
HEX 22 : 1EC821E0	13FC2820	18CF60C0	
DEC 22 : 516432352.000000	335292448.000000	416243904.000000	
HEX 23 : 14955B40	2286A	1AB7E340	
DEC 23 : 345332544.000000	141418.000000	448258880.000000	
HEX 24 : DE8F4B0	6B00560	3C0C1A4	
DEC 24 : 233370800.000000	112199008.000000	62964132.000000	
HEX 25 : 13B15D20	5590F40	10834F80	
DEC 25 : 330390816.000000	89722688.000000	277041024.000000	
HEX 26 : 818D000	102E5FA0	1F447260	
DEC 26 : 135843840.000000	271474592.000000	524579424.000000	
HEX 27 : 185CC3C0	5CFC140	17C18040	
DEC 27 : 408732608.000000	97501504.000000	398557248.000000	
HEX 28 : 82DA5A0	9E880A0	1255CD00	
DEC 28 : 137209248.000000	166232224.000000	307612928.000000	
HEX 29 : 15D09000	BBDB520	13E08220	
DEC 29 : 365989888.000000	196982048.000000	333480480.000000	
HEX 30 : 1BD11960	D16DB50	1837F080	
DEC 30 : 466688352.000000	219601744.000000	406319232.000000	
HEX 31 : 70AB3C0	1E1FAD20	6F02620	
DEC 31 : 118141888.000000	505392416.000000	116401696.000000	
HEX 32 : 9232880	DD91260	BFAEED0	
DEC 32 : 153299072.000000	232329824.000000	200994512.000000	
HEX 33 : 1A08E4C0	1A9732C0	7296D68	
DEC 33 : 436790464.000000	446116544.000000	120155496.000000	
HEX 34 : 13387F00	161CD	725C220	
DEC 34 : 322469632.000000	90573.000000	119915040.000000	
HEX 35 : 1BA41A60	1679EE80	1106000	
DEC 35 : 463739488.000000	377089664.000000	17850368.000000	
HEX 36 : 1B931100	12B433A0	8D14130	
DEC 36 : 462622976.000000	313799584.000000	147931440.000000	
HEX 37 : 41E5788	16978D00	163A32E0	
DEC 37 : 69097352.000000	379030784.000000	372912864.000000	
HEX 38 : C86A3C0	A2A7BD0	1E062620	
DEC 38 : 210150336.000000	170556368.000000	503719456.000000	
HEX 39 : EE471E0	1BBA7B80	787E040	
DEC 39 : 249852384.000000	465206144.000000	126345280.000000	
HEX 40 : 7575C40	891DEA0	6EB7B10	
DEC 40 : 123165760.000000	143777440.000000	116095760.000000	
HEX 41 : 109405A0	1D9A8D60	18383AA0	
DEC 41 : 278136224.000000	496668000.000000	406338208.000000	
HEX 42 : 10A9E780	172804C0	1EF889E0	
DEC 42 : 279570304.000000	388498624.000000	519604704.000000	
HEX 43 : 1C0DB960	C354C90	E98F9E0	
DEC 43 : 470661472.000000	204819600.000000	244906464.000000	
HEX 44 : 56CA3C0	16B6C	55DDD68	
DEC 44 : 91005888.000000	93036.000000	90037608.000000	
HEX 45 : D714C40	25CE184	1B210800	
DEC 45 : 225528896.000000	39641476.000000	455149568.000000	
HEX 46 : 17B39960	1473E700	1E753520	
DEC 46 : 397646176.000000	343140096.000000	510997792.000000	
HEX 47 : 14D76780	1F26F000	312DC78	
DEC 47 : 349661056.000000	522645504.000000	51567736.000000	
HEX 48 : 20CEA5C	17F2E640	2492800	
DEC 48 : 34400860.000000	401794624.000000	38348800.000000	
HEX 49 : 7544D30	E0F0770	1771CF0	
DEC 49 : 122965296.000000	235865968.000000	24583408.000000	
HEX 50 : 14CF66A0	D5898D0	1B2A17C0	
DEC 50 : 349136544.000000	223910096.000000	455743424.000000	
HEX 51 : 10BE9E20	16369560	16CA2920	
DEC 51 : 280927776.000000	372675936.000000	382347552.000000	
HEX 52 : 10489A60	18335EE0	EC09040	
DEC 52 : 273193568.000000	406019808.000000	247500864.000000	
HEX 53 : 50741E0	12D77460	73235A8	
DEC 53 : 84361696.000000	316109920.000000	120731048.000000	
