Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 75
HEX 1 : 1D4696	9D386F0	7FB3E58	
DEC 1 : 1918614.000000	164857584.000000	133906008.000000	
HEX 2 : 59F4F10	1496DA80	15B8F440	
DEC 2 : 94326544.000000	345430656.000000	364442688.000000	
HEX 3 : 187E73C0	9290980	D8DE400	
DEC 3 : 410940352.000000	153684352.000000	227402752.000000	
HEX 4 : 1060DC40	16934	12257080	
DEC 4 : 274783296.000000	92468.000000	304443520.000000	
HEX 5 : 128D6880	16AEE	18A165A	
DEC 5 : 311257216.000000	92910.000000	25826906.000000	
HEX 6 : FE89A60	2C9FA64	9DF86D0	
DEC 6 : 266902112.000000	46791268.000000	165643984.000000	
HEX 7 : 585CB48	66F7EF8	105A3380	
DEC 7 : 92654408.000000	107970296.000000	274346880.000000	
HEX 8 : 128C0000	1FF183C0	10C208C0	
DEC 8 : 311164928.000000	535921600.000000	281151680.000000	
HEX 9 : 142FD6A0	16AE67A0	128569E0	
DEC 9 : 338679456.000000	380528544.000000	310733280.000000	
HEX 10 : 113A45A0	D5466D0	12A11DA0	
DEC 10 : 289031584.000000	223635152.000000	312548768.000000	
HEX 11 : B183F10	2EF0E5C	3A63ED4	
DEC 11 : 186138384.000000	49221212.000000	61226708.000000	
HEX 12 : 105C95A0	AA24F40	AFFAFC0	
DEC 12 : 274503072.000000	178409280.000000	184528832.000000	
HEX 13 : 18378100	16541	16ACDB40	
DEC 13 : 406290688.000000	91457.000000	380427072.000000	
HEX 14 : A615A60	19766A80	1F289A60	
DEC 14 : 174152288.000000	427190912.000000	522754656.000000	
HEX 15 : 8D64780	7AA611	13E6AD00	
DEC 15 : 148260736.000000	8037905.000000	333884672.000000	
HEX 16 : 116194C0	7128E30	3DBB92C	
DEC 16 : 291607744.000000	118656560.000000	64731436.000000	
HEX 17 : 180B5A60	102FA500	103A0CC0	
DEC 17 : 403397216.000000	271557888.000000	272239808.000000	
HEX 18 : 72591E0	15049E00	E5C8D30	
DEC 18 : 119902688.000000	352624128.000000	240946480.000000	
HEX 19 : 8C251E0	1536B960	1EC9CB4	
DEC 19 : 146952672.000000	355907936.000000	32283828.000000	
HEX 20 : 151AEE20	1A02DAA0	1A0721E	
DEC 20 : 354086432.000000	436394656.000000	27292190.000000	
HEX 21 : B382A60	CA0D6C0	1F2636A0	
DEC 21 : 188230240.000000	211867328.000000	522598048.000000	
HEX 22 : 5F6696	1C3F6640	1454F340	
DEC 22 : 6252182.000000	473916992.000000	341111616.000000	
HEX 23 : 9BD3F10	18DE6240	86EF780	
DEC 23 : 163397392.000000	417227328.000000	141490048.000000	
HEX 24 : 187E7100	1BB42EC0	EED6F80	
DEC 24 : 410939648.000000	464793280.000000	250441600.000000	
HEX 25 : 187E73C0	1DB2EE8	F61D5A0	
DEC 25 : 410940352.000000	31141608.000000	258069920.000000	
HEX 26 : FE1F1E0	15E49480	52EA710	
DEC 26 : 266465760.000000	367301760.000000	86943504.000000	
HEX 27 : 6BFB968	1C818C60	F0ACA60	
DEC 27 : 113228136.000000	478252128.000000	252365408.000000	
HEX 28 : 187E7100	E505E50	1AB51840	
DEC 28 : 410939648.000000	240148048.000000	448075840.000000	
HEX 29 : 8BEA1E0	6DB394	BE2A080	
DEC 29 : 146711008.000000	7189396.000000	199401600.000000	
HEX 30 : 3DEC3C4	1667D	2165E98	
DEC 30 : 64930756.000000	91773.000000	35020440.000000	
HEX 31 : E7942D0	1A2D92E0	E23B710	
DEC 31 : 242827984.000000	439194336.000000	237221648.000000	
HEX 32 : 187E6A60	1CD3F6C0	165F5A60	
DEC 32 : 410937952.000000	483653312.000000	375347808.000000	
HEX 33 : 179A22E0	164C3	1E4B3CC0	
DEC 33 : 395977440.000000	91331.000000	508247232.000000	
HEX 34 : 412D3C0	150B6880	1E797880	
DEC 34 : 68342720.000000	353069184.000000	511277184.000000	
HEX 35 : A03FC40	D575170	F46B780	
DEC 35 : 168033344.000000	223826288.000000	256292736.000000	
HEX 36 : D67AF10	6C7F5C0	10C09FC0	
DEC 36 : 224898832.000000	113767872.000000	281059264.000000	
HEX 37 : C2F1D30	BBE7650	10E0FC4	
DEC 37 : 204414256.000000	197031504.000000	17698756.000000	
HEX 38 : 187E7000	1EA23500	1DCA3440	
DEC 38 : 410939392.000000	513946880.000000	499790912.000000	
HEX 39 : BC9FC40	FF00060	74BBBC0	
DEC 39 : 197786688.000000	267386976.000000	122403776.000000	
HEX 40 : 5265A5	7DE7F	FBDFF80	
DEC 40 : 5399973.000000	515711.000000	264109952.000000	
HEX 41 : D0C82D0	1454A960	12FC2C40	
DEC 41 : 218923728.000000	341092704.000000	318516288.000000	
HEX 42 : 187E8E20	70D2FB0	653A220	
DEC 42 : 410947104.000000	118304688.000000	106144288.000000	
HEX 43 : 10C7EA60	1A94FAE0	18432EA0	
DEC 43 : 281537120.000000	445971168.000000	407056032.000000	
HEX 44 : 155A8B40	F24D220	79E1568	
DEC 44 : 358255424.000000	254071328.000000	127800680.000000	
HEX 45 : 4286968	1E5F7560	1C15FB00	
DEC 45 : 69757288.000000	509572448.000000	471202560.000000	
HEX 46 : 94421E0	1AD44240	17D6AD60	
DEC 46 : 155460064.000000	450118208.000000	399945056.000000	
HEX 47 : E668A60	1D3F0E20	2C11A5C	
DEC 47 : 241601120.000000	490671648.000000	46209628.000000	
HEX 48 : 22E92D4	2A630CC	8EEA710	
DEC 48 : 36606676.000000	44445900.000000	149858064.000000	
HEX 49 : 21A3B4C	15B2EF80	56874B8	
DEC 49 : 35273548.000000	364048256.000000	90731704.000000	
HEX 50 : 13594880	182E6C40	1EEBBF00	
DEC 50 : 324618368.000000	405695552.000000	518766336.000000	
HEX 51 : F889E20	164C3	1FAAC960	
DEC 51 : 260611616.000000	91331.000000	531286368.000000	
HEX 52 : 4394B48	DAA8DB0	1ADACC40	
DEC 52 : 70863688.000000	229281200.000000	450546752.000000	
HEX 53 : 187E74C0	1542EE00	AAEE780	
DEC 53 : 410940608.000000	356707840.000000	179234688.000000	
HEX 54 : 110D8E20	13256820	C53A8F0	
DEC 54 : 286101024.000000	321218592.000000	206809328.000000	
HEX 55 : 187E72E0	6CC85C0	1B2C1D00	
DEC 55 : 410940128.000000	114066880.000000	455875840.000000	
HEX 56 : 11D496A0	A655940	19E43260	
DEC 56 : 299144864.000000	174414144.000000	434385504.000000	
HEX 57 : 5C969	18ACD0E0	C0A52D0	
DEC 57 : 379241.000000	413978848.000000	202003152.000000	
HEX 58 : 9610A60	7FEDBE0	A032130	
DEC 58 : 157354592.000000	134142944.000000	167977264.000000	
HEX 59 : 2BE2788	D72BEB0	12F45C00	
DEC 59 : 46016392.000000	225623728.000000	318004224.000000	
HEX 60 : 187EE6A0	C9E7E80	14205E2	
DEC 60 : 410969760.000000	211713664.000000	21104098.000000	
HEX 61 : 6EA1698	1C7E4900	278225C	
DEC 61 : 116004504.000000	478038272.000000	41427548.000000	
HEX 62 : 26E0F10	6099040	19891F00	
DEC 62 : 40767248.000000	101290048.000000	428416768.000000	
HEX 63 : 4BECC40	F70EED0	9E8C930	
DEC 63 : 79612992.000000	259059408.000000	166250800.000000	
HEX 64 : 5DF02D0	8594780	35BFB4C	
DEC 64 : 98501328.000000	140068736.000000	56359756.000000	
HEX 65 : 13E953C0	1AFE10E0	8FEE290	
DEC 65 : 334058432.000000	452858080.000000	150921872.000000	
HEX 66 : 12668B40	EFD0FC0	1FD4A520	
DEC 66 : 308710208.000000	251465664.000000	534029600.000000	
HEX 67 : 11A39780	2D3E07C	190305A0	
DEC 67 : 295933824.000000	47439996.000000	419628448.000000	
HEX 68 : 6A8A698	16AAF	1B17CAE0	
DEC 68 : 111715992.000000	92847.000000	454544096.000000	
HEX 69 : B09C690	12979DA0	1A8E8F80	
DEC 69 : 185190032.000000	311926176.000000	445550464.000000	
HEX 70 : 12B10000	12AEC900	18B92E60	
DEC 70 : 313589760.000000	313444608.000000	414789216.000000	
HEX 71 : 2C530F0	1F829C00	86271E0	
DEC 71 : 46477552.000000	528653312.000000	140669408.000000	
HEX 72 : 16B9B1E0	12129	84D3480	
DEC 72 : 381268448.000000	74025.000000	139277440.000000	
HEX 73 : A397780	A874180	16855220	
DEC 73 : 171538304.000000	176636288.000000	377836064.000000	
HEX 74 : B729970	5B6A168	1C2DC040	
DEC 74 : 192059760.000000	95854952.000000	472760384.000000	
HEX 75 : 15B2AA60	6F03338	142EC6E0	
DEC 75 : 364030560.000000	116405048.000000	338609888.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
