Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 6210678	12807E60	11D33400	
DEC 1 : 102827640.000000	310410848.000000	299054080.000000	
HEX 2 : 5F14C	EB77040	F922E60	
DEC 2 : 389452.000000	246902848.000000	261238368.000000	
HEX 3 : 1DE68080	164D3B00	C576040	
DEC 3 : 501645440.000000	374160128.000000	207052864.000000	
HEX 4 : AD6D4B0	3FD7B10	173EE1E	
DEC 4 : 181851312.000000	66943760.000000	24374814.000000	
HEX 5 : 15427C80	3DCE52C	1EFA8DA0	
DEC 5 : 356678784.000000	64808236.000000	519736736.000000	
HEX 6 : 1A273840	A768080	1E27B620	
DEC 6 : 438777920.000000	175538304.000000	505919008.000000	
HEX 7 : 10989800	105C1480	1401CD60	
DEC 7 : 278435840.000000	274470016.000000	335662432.000000	
HEX 8 : AC5A990	1E6FFF00	1D42A960	
DEC 8 : 180726160.000000	510656256.000000	490908000.000000	
HEX 9 : B0B2130	18433800	12BE5480	
DEC 9 : 185278768.000000	407058432.000000	314463360.000000	
HEX 10 : 1D27D740	15B85E20	4F2B87	
DEC 10 : 489150272.000000	364404256.000000	5188487.000000	
HEX 11 : 1CF98E20	7150298	5E5F6D0	
DEC 11 : 486116896.000000	118817432.000000	98957008.000000	
HEX 12 : 1B148180	11FC0E20	6DAE000	
DEC 12 : 454328704.000000	301731360.000000	115007488.000000	
HEX 13 : 1EC36440	1057A960	1D38F780	
DEC 13 : 516121664.000000	274180448.000000	490272640.000000	
HEX 14 : 12215CE0	1BAACF0	12CCB780	
DEC 14 : 304176352.000000	29011184.000000	315406208.000000	
HEX 15 : 16D8CAA0	BC52C80	73EEC40	
DEC 15 : 383306400.000000	197471360.000000	121564224.000000	
HEX 16 : 25FC100	264D03C	9A4EE90	
DEC 16 : 39829760.000000	40161340.000000	161803920.000000	
HEX 17 : 5F7B6	15F1F9A0	D767CF0	
DEC 17 : 391094.000000	368179616.000000	225869040.000000	
HEX 18 : 1D39B3E0	64F8078	128661A0	
DEC 18 : 490320864.000000	105873528.000000	310796704.000000	
HEX 19 : F174F50	934C7C0	4D48DA8	
DEC 19 : 253185872.000000	154453952.000000	81038760.000000	
HEX 20 : 1DE53FA0	12565B00	1603A620	
DEC 20 : 501563296.000000	307649280.000000	369337888.000000	
HEX 21 : 158ABA20	D780E20	F1E9220	
DEC 21 : 361413152.000000	225971744.000000	253661728.000000	
HEX 22 : 10AE4840	19D60660	DFA91E0	
DEC 22 : 279857216.000000	433456736.000000	234525152.000000	
HEX 23 : 678A85	1D751C40	D20B9A0	
DEC 23 : 6785669.000000	494214208.000000	220248480.000000	
HEX 24 : C1095A0	61C4968	11F5E8C0	
DEC 24 : 202413472.000000	102517096.000000	301328576.000000	
HEX 25 : 1542C4E0	46A14B8	7813840	
DEC 25 : 356697312.000000	74060984.000000	125909056.000000	
HEX 26 : 18950760	D076710	168B3D00	
DEC 26 : 412419936.000000	218588944.000000	378223872.000000	
HEX 27 : 610DFA8	29E5E5C	14E122A0	
DEC 27 : 101769128.000000	43933276.000000	350298784.000000	
HEX 28 : 17BD0FC0	1C60C800	FCC5260	
