Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 2627968	10A861A0	81C1380	
DEC 1 : 40008040.000000	279470496.000000	136057728.000000	
HEX 2 : 60E7E98	119A2A20	146A79A0	
DEC 2 : 101613208.000000	295316000.000000	342522272.000000	
HEX 3 : A9BDE2	10019500	F692F50	
DEC 3 : 11124194.000000	268539136.000000	258551632.000000	
HEX 4 : 16FF6260	1666E440	EFF4E60	
DEC 4 : 385835616.000000	375841856.000000	251612768.000000	
HEX 5 : 78F7258	150BD7C0	1AF0BDE0	
DEC 5 : 126841432.000000	353097664.000000	451984864.000000	
HEX 6 : 8477CF0	3DD9DE0	2E80298	
DEC 6 : 138902768.000000	64855520.000000	48759448.000000	
HEX 7 : 2C745E0	6945258	BC4BDE0	
DEC 7 : 46613984.000000	110383704.000000	197443040.000000	
HEX 8 : 1FC45D20	1A7F2100	EDCA480	
DEC 8 : 532962592.000000	444539136.000000	249341056.000000	
HEX 9 : 1FBA6F00	82D9350	6A903C	
DEC 9 : 532311808.000000	137204560.000000	6983740.000000	
HEX 10 : 17B2CF0	BBB8380	158E2520	
DEC 10 : 24849648.000000	196838272.000000	361637152.000000	
HEX 11 : 65674B	175C14C0	1B0910C0	
DEC 11 : 6645579.000000	391910592.000000	453578944.000000	
HEX 12 : 16823A20	1CF42800	19ABB7C0	
DEC 12 : 377633312.000000	485763072.000000	430684096.000000	
HEX 13 : 1A7BDEE0	5CC2A58	94BBB10	
DEC 13 : 444325600.000000	97266264.000000	155958032.000000	
HEX 14 : 1D45BA60	1A4572E0	1B9B6840	
DEC 14 : 491108960.000000	440759008.000000	463169600.000000	
HEX 15 : 131FFDA0	19FB16A	1BE399E0	
DEC 15 : 320863648.000000	27242858.000000	467900896.000000	
HEX 16 : 1714F480	16D260C0	1FC79800	
DEC 16 : 387249280.000000	382886080.000000	533174272.000000	
HEX 17 : 192A52E0	BEC94F0	D782530	
DEC 17 : 422204128.000000	200054000.000000	225977648.000000	
HEX 18 : 5A66C00	16584FC0	4691530	
DEC 18 : 94792704.000000	374886336.000000	73995568.000000	
HEX 19 : 104039E0	1FEE6F80	16BA2100	
DEC 19 : 272644576.000000	535719808.000000	381296896.000000	
HEX 20 : 2C43D2C	1833B920	11C37960	
DEC 20 : 46415148.000000	406042912.000000	298023264.000000	
HEX 21 : 2E568F0	1D5EACC0	17405DA0	
DEC 21 : 48589040.000000	492743872.000000	390094240.000000	
HEX 22 : 8FC4F50	339BF88	F70C750	
DEC 22 : 150753104.000000	54116232.000000	259049296.000000	
HEX 23 : 1B8834C0	5CBEC00	11A21260	
DEC 23 : 461911232.000000	97250304.000000	295834208.000000	
HEX 24 : 660C5A8	54F0A58	17708040	
DEC 24 : 107005352.000000	89066072.000000	393248832.000000	
HEX 25 : 13A3B340	52CBBC0	C5F0840	
DEC 25 : 329495360.000000	86817728.000000	207554624.000000	
HEX 26 : 1A1C4E20	6B09C40	199AF8C0	
DEC 26 : 438062624.000000	112237632.000000	429586624.000000	
HEX 27 : 1271F6A0	92888F0	1A1B0960	
DEC 27 : 309458592.000000	153651440.000000	437979488.000000	
HEX 28 : 8C1E000	1848C1A0	AFD2CB0	
DEC 28 : 146923520.000000	407421344.000000	184364208.000000	
HEX 29 : A5BCA20	889E9E0	A2E65E0	
DEC 29 : 173787680.000000	143256032.000000	170812896.000000	
HEX 30 : 11113400	BF1D970	9E1D4B0	
DEC 30 : 286340096.000000	200399216.000000	165794992.000000	
HEX 31 : 102F0B80	179BE660	C07A1A0	
DEC 31 : 271518592.000000	396093024.000000	201826720.000000	
HEX 32 : 1CA44340	1FDD5440	4CDF9A8	
DEC 32 : 480527168.000000	534598720.000000	80607656.000000	
HEX 33 : 15ADB560	7AEE620	3D081A4	
DEC 33 : 363705696.000000	128902688.000000	63996324.000000	
HEX 34 : 1C0A8E60	CFE1ED0	5D3B698	
DEC 34 : 470453856.000000	217980624.000000	97760920.000000	
HEX 35 : EB6CD30	138E16A0	1CC133C0	
DEC 35 : 246861104.000000	328079008.000000	482423744.000000	
HEX 36 : 14DBF900	1146E100	190C5780	
DEC 36 : 349960448.000000	289857792.000000	420239232.000000	
HEX 37 : 23FBA98	1BC8BCC0	98C5F10	
DEC 37 : 37730968.000000	466140352.000000	160194320.000000	
HEX 38 : 1D1AD2E	1E9371E0	1F5DB520	
DEC 38 : 30518574.000000	512979424.000000	526234912.000000	
HEX 39 : 5859440	1DC08700	30F643C	
DEC 39 : 92640320.000000	499156736.000000	51340348.000000	
HEX 40 : 18DAA2A0	1522CAA0	355D478	
DEC 40 : 416981664.000000	354601632.000000	55956600.000000	
