Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 75EDF10	149400	1B8992E	
DEC 1 : 123658000.000000	1348608.000000	28875054.000000	
HEX 2 : ECB9880	17DA07C0	F1461E	
DEC 2 : 248223872.000000	400164800.000000	15812126.000000	
HEX 3 : 1C225A6	5B0B440	75B3620	
DEC 3 : 29500838.000000	95466560.000000	123418144.000000	
HEX 4 : 417C1E0	1E1321E0	17DF25E0	
DEC 4 : 68665824.000000	504570336.000000	400500192.000000	
HEX 5 : 1C9BA960	BAC2C00	1C5CAF80	
DEC 5 : 479963488.000000	195832832.000000	475836288.000000	
HEX 6 : A1779E0	F519750	10AB6380	
DEC 6 : 169310688.000000	257005392.000000	279667584.000000	
HEX 7 : F3D7780	A467380	12FEB520	
DEC 7 : 255686528.000000	172389248.000000	318682400.000000	
HEX 8 : E6A3CB0	B36BA20	7779530	
DEC 8 : 241843376.000000	188135968.000000	125277488.000000	
HEX 9 : 1464E1E	90E20B0	1625C4C0	
DEC 9 : 21384734.000000	151920816.000000	371573952.000000	
HEX 10 : 14062A60	56FEAD0	51F8B10	
DEC 10 : 335948384.000000	91220688.000000	85953296.000000	
HEX 11 : FFF6CB0	1968D740	12A0BDE0	
DEC 11 : 268397744.000000	426301248.000000	312524256.000000	
HEX 12 : 2A13C3C	1624FC80	144C6300	
DEC 12 : 44121148.000000	371522688.000000	340550400.000000	
HEX 13 : DB223C0	AE583C	1F666000	
DEC 13 : 229778368.000000	11425852.000000	526802944.000000	
HEX 14 : 9C292D0	370D8F0	12C8D6E0	
DEC 14 : 163746512.000000	57727216.000000	315152096.000000	
HEX 15 : 1E03078	8D30AD0	E339FC0	
DEC 15 : 31469688.000000	148048592.000000	238264256.000000	
HEX 16 : 5251348	F6E1B80	8EF2FC0	
DEC 16 : 86315848.000000	258874240.000000	149893056.000000	
HEX 17 : A1CD5A0	9CEF9A0	1EE362E0	
DEC 17 : 169661856.000000	164559264.000000	518218464.000000	
HEX 18 : 181C1880	1BF6A620	7AEEE58	
DEC 18 : 404494464.000000	469149216.000000	128904792.000000	
HEX 19 : B32B080	110BBF00	17EA0560	
DEC 19 : 187871360.000000	285982464.000000	401212768.000000	
HEX 20 : 157CF3C0	44C43C	DC20B80	
DEC 20 : 360510400.000000	4506684.000000	230820736.000000	
HEX 21 : 85715A0	19989EA0	10CF52E0	
DEC 21 : 139924896.000000	429432480.000000	282022624.000000	
HEX 22 : 1A3B0EA0	EBC6C40	C1EE930	
DEC 22 : 440077984.000000	247229504.000000	203352368.000000	
HEX 23 : 12FE3780	11A9D340	13852BC0	
DEC 23 : 318650240.000000	296342336.000000	327494592.000000	
HEX 24 : 140931E0	D326570	2DDDBC4	
DEC 24 : 336146912.000000	221406576.000000	48094148.000000	
HEX 25 : 1F3C5A6	1AEB8CC0	741AE20	
DEC 25 : 32753062.000000	451644608.000000	121744928.000000	
HEX 26 : F0C02D0	1932B700	1FF19880	
DEC 26 : 252445392.000000	422754048.000000	535926912.000000	
HEX 27 : AFD7F10	120DED60	1F5F7100	
DEC 27 : 184385296.000000	302902624.000000	526348544.000000	
HEX 28 : 14B2A440	1D574DA0	E409F10	
DEC 28 : 347251776.000000	492260768.000000	239116048.000000	
HEX 29 : 4AC9AD0	152B06A0	218034C	
DEC 29 : 78420688.000000	355141280.000000	35128140.000000	
HEX 30 : 16671F80	15878560	42A2800	
DEC 30 : 375857024.000000	361203040.000000	69871616.000000	
HEX 31 : 1A954E20	90E8480	5E09B10	
DEC 31 : 445992480.000000	151946368.000000	98605840.000000	
HEX 32 : 126FDC40	1B31D480	19862260	
DEC 32 : 309320768.000000	456250496.000000	428221024.000000	
HEX 33 : CD42D3	19B58B4	172454C0	
