Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 84
HEX 1 : 31B7788	FC5CF10	6EF3F48	
DEC 1 : 52131720.000000	264621840.000000	116342600.000000	
HEX 2 : 9966000	5622B10	17B50120	
DEC 2 : 160849920.000000	90319632.000000	397738272.000000	
HEX 3 : 14995160	11C269E0	1711CCC0	
DEC 3 : 345592160.000000	297953760.000000	387042496.000000	
HEX 4 : 7CE3710	B0AFDA0	1D831340	
DEC 4 : 130955024.000000	185269664.000000	495129408.000000	
HEX 5 : E789880	171FFB40	1F99AB40	
DEC 5 : 242784384.000000	387971904.000000	530164544.000000	
HEX 6 : F24969	9B7F4F0	ADAE620	
DEC 6 : 15878505.000000	163050736.000000	182117920.000000	
HEX 7 : 19148880	13E93520	1CBA92E0	
DEC 7 : 420776064.000000	334050592.000000	481989344.000000	
HEX 8 : 1B9CB2E0	6B37D68	F932170	
DEC 8 : 463254240.000000	112426344.000000	261300592.000000	
HEX 9 : C7122D0	1D59DBC0	CA29400	
DEC 9 : 208741072.000000	492428224.000000	211981312.000000	
HEX 10 : 5FBC168	122F1120	144FC900	
DEC 10 : 100385128.000000	305074464.000000	340773120.000000	
HEX 11 : E8094B0	7F59000	1F0A5080	
DEC 11 : 243307696.000000	133533696.000000	520769664.000000	
HEX 12 : 84D6350	18A030C0	1776CF40	
DEC 12 : 139289424.000000	413151424.000000	393662272.000000	
HEX 13 : DC68B50	CCAE710	21D303C	
DEC 13 : 231115600.000000	214624016.000000	35467324.000000	
HEX 14 : 14C6F800	A804310	49915A8	
DEC 14 : 348583936.000000	176177936.000000	77141416.000000	
HEX 15 : 14C8CDA0	2774168	32526D4	
DEC 15 : 348704160.000000	41369960.000000	52766420.000000	
HEX 16 : 8621BC0	962A8B0	7B12B10	
DEC 16 : 140647360.000000	157460656.000000	129051408.000000	
HEX 17 : 27313C4	D99A1E	14634C40	
DEC 17 : 41096132.000000	14260766.000000	342051904.000000	
HEX 18 : C8E2350	565AB48	2D40A5C	
DEC 18 : 210641744.000000	90549064.000000	47450716.000000	
HEX 19 : 8DC0970	12273380	1B452F00	
DEC 19 : 148638064.000000	304558976.000000	457518848.000000	
HEX 20 : 13038520	1BB312E0	4983258	
DEC 20 : 318997792.000000	464720608.000000	77083224.000000	
HEX 21 : 49BEE98	17034960	2DE2C00	
DEC 21 : 77328024.000000	386091360.000000	48114688.000000	
HEX 22 : 73D7B48	E7DB620	D947880	
DEC 22 : 121469768.000000	243119648.000000	227833984.000000	
HEX 23 : B082AD0	C979350	1614F5A0	
DEC 23 : 185084624.000000	211260240.000000	370472352.000000	
HEX 24 : 1E408000	19E59F00	17C53380	
DEC 24 : 507543552.000000	434478848.000000	398799744.000000	
HEX 25 : 1E2B16A	87E1930	21150F0	
DEC 25 : 31633770.000000	142481712.000000	34689264.000000	
HEX 26 : FB208F0	155D2B40	A3489E0	
DEC 26 : 263325936.000000	358427456.000000	171215328.000000	
HEX 27 : 1DE693C0	159B3D60	D2F4660	
DEC 27 : 501650368.000000	362495328.000000	221202016.000000	
HEX 28 : 1D99B3C0	D841880	1F9B91E0	
DEC 28 : 496612288.000000	226760832.000000	530289120.000000	
HEX 29 : 12882080	44C6E20	1155C4C0	
DEC 29 : 310911104.000000	72117792.000000	290833600.000000	
HEX 30 : 1D96F4C0	15712800	F8BB88	
DEC 30 : 496432320.000000	359737344.000000	16300936.000000	
HEX 31 : E14DAD0	3BD78B4	A400840	
