Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 81
HEX 1 : DC92F10	70B7310	1B94BDE0	
DEC 1 : 231288592.000000	118190864.000000	462732768.000000	
HEX 2 : 92BF000	129DF500	17D253C0	
DEC 2 : 153874432.000000	312341760.000000	399659968.000000	
HEX 3 : 84A6780	F749480	B8A2C40	
DEC 3 : 139093888.000000	259298432.000000	193604672.000000	
HEX 4 : 1FB74960	1A52EF00	326DA20	
DEC 4 : 532105568.000000	441642752.000000	52877856.000000	
HEX 5 : 1D9BA000	12625500	2A81A5C	
DEC 5 : 496738304.000000	308434176.000000	44571228.000000	
HEX 6 : D5965A0	96B4ED0	2384310	
DEC 6 : 223962528.000000	158027472.000000	37241616.000000	
HEX 7 : 1E9026A0	16FE1160	11B60440	
DEC 7 : 512763552.000000	385749344.000000	297141312.000000	
HEX 8 : 10D4B6A0	7EDD800	11D13380	
DEC 8 : 282375840.000000	133027840.000000	298922880.000000	
HEX 9 : 1CC92780	141D8800	A75CC00	
DEC 9 : 482944896.000000	337479680.000000	175492096.000000	
HEX 10 : 1958E3C0	1B5F60C0	9E53620	
DEC 10 : 425255872.000000	459235520.000000	166016544.000000	
HEX 11 : 24533C4	13B8DE2	1F25E800	
DEC 11 : 38089668.000000	20680162.000000	522577920.000000	
HEX 12 : 4F98B48	16BC96E0	1A98A96	
DEC 12 : 83462984.000000	381458144.000000	27888278.000000	
HEX 13 : 8BC6690	83572D0	F3AC380	
DEC 13 : 146564752.000000	137720528.000000	255509376.000000	
HEX 14 : F34E3C0	54111A8	A4A1BC0	
DEC 14 : 255124416.000000	88150440.000000	172628928.000000	
HEX 15 : 1B62F3C0	1220A9A0	1750DE20	
DEC 15 : 459469760.000000	304130464.000000	391175712.000000	
HEX 16 : 1BCB0D20	5104748	13CFC080	
DEC 16 : 466292000.000000	84952904.000000	332382336.000000	
HEX 17 : 72691E0	1DDB8D20	15F42440	
DEC 17 : 119968224.000000	500927776.000000	368321600.000000	
HEX 18 : 2E885A4	4F8A000	14079D20	
DEC 18 : 48792996.000000	83402752.000000	336043296.000000	
HEX 19 : BBBDA60	1B0AA900	1008CF40	
DEC 19 : 196860512.000000	453683456.000000	269012800.000000	
HEX 20 : 131783C0	C341E20	1A2E9620	
DEC 20 : 320308160.000000	204742176.000000	439260704.000000	
HEX 21 : 1B3F16A0	3FDB400	6E320F0	
DEC 21 : 457119392.000000	66958336.000000	115548400.000000	
HEX 22 : 11813B40	1538CF80	B43CDA0	
DEC 22 : 293681984.000000	356044672.000000	188992928.000000	
HEX 23 : 1689BE20	10C6E080	1F826780	
DEC 23 : 378125856.000000	281469056.000000	528639872.000000	
HEX 24 : 16C5F3C0	17DBE900	19CF91A0	
DEC 24 : 382071744.000000	400288000.000000	433033632.000000	
HEX 25 : 11D154C0	FDDA310	135B9040	
DEC 25 : 298931392.000000	266183440.000000	324767808.000000	
HEX 26 : 1E8DEE20	F5709A0	1E2A0100	
DEC 26 : 512618016.000000	257362336.000000	506069248.000000	
HEX 27 : 1C912960	13482D2	1A8BC660	
DEC 27 : 479275360.000000	20218578.000000	445367904.000000	
HEX 28 : 97A70F0	15FB54C0	1E8CE620	
DEC 28 : 159019248.000000	368792768.000000	512550432.000000	
HEX 29 : 17FE96A	89CC400	A976260	
DEC 29 : 25160042.000000	144491520.000000	177693280.000000	
HEX 30 : E2FC4B0	11095B80	54155A8	
DEC 30 : 238011568.000000	285825920.000000	88167848.000000	
