Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 65
HEX 1 : A7D0C40	DF63BC0	4E1B1E0	
DEC 1 : 175967296.000000	234240960.000000	81900000.000000	
HEX 2 : FA070F0	12EFC00	90DD620	
DEC 2 : 262172912.000000	19856384.000000	151901728.000000	
HEX 3 : 11DAA780	208CDE0	1839CF00	
DEC 3 : 299542400.000000	34131424.000000	406441728.000000	
HEX 4 : 16BB4B4	1ABFEF80	AED43C0	
DEC 4 : 23835828.000000	448786304.000000	183321536.000000	
HEX 5 : 1516C2E0	97D6C80	3421298	
DEC 5 : 353813216.000000	159214720.000000	54661784.000000	
HEX 6 : 3868D2C	121F91E0	15F5BC00	
DEC 6 : 59149612.000000	304058848.000000	368425984.000000	
HEX 7 : 63CDC40	1B85BEA0	1B4DE9A0	
DEC 7 : 104651840.000000	461749920.000000	458090912.000000	
HEX 8 : 52E8968	14FA8260	697FA58	
DEC 8 : 86935912.000000	351961696.000000	110623320.000000	
HEX 9 : 695BF10	65A3D30	69D4CF0	
DEC 9 : 110477072.000000	106577200.000000	110972144.000000	
HEX 10 : 114C32E0	12B07780	1D160080	
DEC 10 : 290206432.000000	313554816.000000	487981184.000000	
HEX 11 : E597970	12A5B6A0	B437A90	
DEC 11 : 240744816.000000	312850080.000000	188971664.000000	
HEX 12 : 187E7000	1792F440	1779A840	
DEC 12 : 410939392.000000	395506752.000000	393848896.000000	
HEX 13 : 4514788	39FE43C	EB73690	
DEC 13 : 72435592.000000	60810300.000000	246888080.000000	
HEX 14 : 34AC2D4	D69D4B0	9436480	
DEC 14 : 55231188.000000	225039536.000000	155411584.000000	
HEX 15 : 11955000	1974D9E0	19CC1340	
DEC 15 : 294998016.000000	427088352.000000	432804672.000000	
HEX 16 : 1664CE20	2A1C43C	6165E98	
DEC 16 : 375705120.000000	44155964.000000	102129304.000000	
HEX 17 : DC48F10	1CA191E0	116326A0	
DEC 17 : 230985488.000000	480350688.000000	291710624.000000	
HEX 18 : C6AAC40	102382A0	126EEBC0	
DEC 18 : 208317504.000000	270762656.000000	309259200.000000	
HEX 19 : 680D4B8	1E8A9B40	56E6478	
DEC 19 : 109106360.000000	512400192.000000	91120760.000000	
HEX 20 : BC503C0	C2C0F1	13EF4C40	
DEC 20 : 197460928.000000	12763377.000000	334449728.000000	
HEX 21 : DDC2690	74FAE98	3D5E220	
DEC 21 : 232531600.000000	122662552.000000	64348704.000000	
HEX 22 : 5CB2D3	1CB8D700	16C057C0	
DEC 22 : 6075091.000000	481875712.000000	381704128.000000	
HEX 23 : BC7B000	7F9D788	1EA18F80	
DEC 23 : 197636096.000000	133814152.000000	513904512.000000	
HEX 24 : 10D89000	1EA1BDA0	A92D840	
DEC 24 : 282628096.000000	513916320.000000	177395776.000000	
HEX 25 : 13319960	188C05A0	58A8F1	
DEC 25 : 322017632.000000	411829664.000000	5810417.000000	
HEX 26 : 1873E000	1081B0C0	A3F1260	
DEC 26 : 410247168.000000	276934848.000000	171905632.000000	
HEX 27 : 13285E20	10C17880	3ABB078	
DEC 27 : 321412640.000000	281114752.000000	61583480.000000	
HEX 28 : 187E7780	15E67C00	4FE3C40	
DEC 28 : 410941312.000000	367426560.000000	83770432.000000	
HEX 29 : 114935A0	B1E8BC0	98C8350	
DEC 29 : 290010528.000000	186551232.000000	160203600.000000	
HEX 30 : 1165F3C0	2B1A96	1FC975A0	
DEC 30 : 291894208.000000	2824854.000000	533296544.000000	
HEX 31 : B9DE690	54B18F0	DECA9E0	
DEC 31 : 194897552.000000	88807664.000000	233613792.000000	
HEX 32 : 1223F000	A3A4660	188BAD00	
DEC 32 : 304345088.000000	171591264.000000	411806976.000000	
HEX 33 : 187E6F00	14A15300	108B9500	
DEC 33 : 410939136.000000	346116864.000000	277583104.000000	
HEX 34 : 1433E2E0	17605740	B0051A0	
DEC 34 : 338944736.000000	392189760.000000	184570272.000000	
HEX 35 : BB434B0	EDA4000	19D15560	
DEC 35 : 196359344.000000	249184256.000000	433149280.000000	
HEX 36 : B5AB4B0	7EA3800	163EB9E0	
DEC 36 : 190493872.000000	132790272.000000	373209568.000000	
HEX 37 : BB4E1E	A3CB130	218D3C4	
DEC 37 : 12275230.000000	171749680.000000	35181508.000000	
HEX 38 : 187DB4C0	1D2C2C40	30AA478	
DEC 38 : 410891456.000000	489434176.000000	51029112.000000	
HEX 39 : AB27D30	1938F840	AEB2480	
DEC 39 : 179469616.000000	423163968.000000	183182464.000000	
HEX 40 : 3B13968	38F9698	16A62260	
DEC 40 : 61946216.000000	59741848.000000	379986528.000000	
HEX 41 : 187E6D20	8FB04F0	9F44310	
DEC 41 : 410938656.000000	150668528.000000	167002896.000000	
HEX 42 : 5039968	BEF55E0	1BAB1CC0	
DEC 42 : 84121960.000000	200234464.000000	464198848.000000	
HEX 43 : A2365A0	C7C3800	C41A8F0	
DEC 43 : 170091936.000000	209467392.000000	205629680.000000	
HEX 44 : 11D203C0	7A91568	11797EE0	
DEC 44 : 298976192.000000	128521576.000000	293175008.000000	
HEX 45 : 187E6D20	B2CAE90	137CD440	
DEC 45 : 410938656.000000	187477648.000000	326947904.000000	
HEX 46 : D2345A0	1F5D5520	185FED20	
DEC 46 : 220415392.000000	526210336.000000	408939808.000000	
HEX 47 : 187E7100	CA759A0	1BC6CB00	
DEC 47 : 410939648.000000	212294048.000000	466012928.000000	
HEX 48 : 55665A8	13DBAD20	1D857B40	
DEC 48 : 89548200.000000	333163808.000000	495287104.000000	
HEX 49 : 1F43878	560B0B8	1DBFDF80	
DEC 49 : 32782456.000000	90222776.000000	499113856.000000	
HEX 50 : 534E878	B6AF000	11D853C0	
DEC 50 : 87353464.000000	191557632.000000	299389888.000000	
HEX 51 : 181E9000	1E7BFAE0	1A7110C0	
