Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 90
HEX 1 : 574B4C0	148E9800	14AF4B00	
DEC 1 : 91534528.000000	344889344.000000	347032320.000000	
HEX 2 : 12ACF900	BBE1BC0	A89C380	
DEC 2 : 313325824.000000	197008320.000000	176800640.000000	
HEX 3 : 1F89C840	1B768800	1AC210C0	
DEC 3 : 529123392.000000	460752896.000000	448925888.000000	
HEX 4 : FFB6C60	7EDE878	10720380	
DEC 4 : 268135520.000000	133032056.000000	275907456.000000	
HEX 5 : C590230	19694000	1F07ACC0	
DEC 5 : 207159856.000000	426328064.000000	520596672.000000	
HEX 6 : 19B48900	1F687DA0	1817C560	
DEC 6 : 431261952.000000	526941600.000000	404211040.000000	
HEX 7 : 145C9F20	5DA7F10	19E688C0	
DEC 7 : 341614368.000000	98205456.000000	434538688.000000	
HEX 8 : 1632A700	3BFCD2C	FAE7ED0	
DEC 8 : 372418304.000000	62901548.000000	263093968.000000	
HEX 9 : 121547	1FE78340	1A7A4EE0	
DEC 9 : 1185095.000000	535266112.000000	444223200.000000	
HEX 10 : 5F67A	18399CC0	1EC22780	
DEC 10 : 390778.000000	406428864.000000	516040576.000000	
HEX 11 : 9A2CD90	1A23C440	93308B0	
DEC 11 : 161664400.000000	438551616.000000	154339504.000000	
HEX 12 : 5F10D	26F9168	1B539D20	
DEC 12 : 389389.000000	40866152.000000	458464544.000000	
HEX 13 : F562E40	C34E170	169BB2A0	
DEC 13 : 257306176.000000	204792176.000000	379302560.000000	
HEX 14 : 10D60AA0	12C86000	1D4A0960	
DEC 14 : 282462880.000000	315121664.000000	491391328.000000	
HEX 15 : B40A930	16E45AE0	FCC10B0	
DEC 15 : 188786992.000000	384064224.000000	265031856.000000	
HEX 16 : 1D90A020	157C9E2	36708B4	
DEC 16 : 496017440.000000	22530530.000000	57084084.000000	
HEX 17 : 3B36234	1C5A5A	59E74B8	
DEC 17 : 62087732.000000	1858138.000000	94270648.000000	
HEX 18 : 1591A8A0	FAE3780	4CE8B48	
DEC 18 : 361867424.000000	263075712.000000	80644936.000000	
HEX 19 : 5F04F	FCB7D30	12904220	
DEC 19 : 389199.000000	264994096.000000	311444000.000000	
HEX 20 : 19EE3E60	9BC1AD0	A610BC0	
DEC 20 : 435043936.000000	163322576.000000	174132160.000000	
HEX 21 : 2D2B240	1D583900	9449E90	
DEC 21 : 47362624.000000	492321024.000000	155491984.000000	
HEX 22 : 5F345	10BEBF00	688AB48	
DEC 22 : 389957.000000	280936192.000000	109620040.000000	
HEX 23 : AA58F80	117F1800	1932FC40	
DEC 23 : 178622336.000000	293541888.000000	422771776.000000	
HEX 24 : 1C330B20	9C61E	AF612D0	
DEC 24 : 473107232.000000	640542.000000	183898832.000000	
HEX 25 : 6CE60B0	2C5D000	18135260	
DEC 25 : 114188464.000000	46518272.000000	403919456.000000	
HEX 26 : 1D74EFC0	5BF8878	FB47350	
DEC 26 : 494202816.000000	96438392.000000	263484240.000000	
HEX 27 : 19D74500	1D111EA0	1F697B40	
DEC 27 : 433538304.000000	487661216.000000	527006528.000000	
HEX 28 : DC6E030	1168F960	B4B9000	
DEC 28 : 231137328.000000	292092256.000000	189501440.000000	
HEX 29 : 5FA6D	1925D100	1727D1E0	
DEC 29 : 391789.000000	421908736.000000	388485600.000000	
HEX 30 : 67802	D4634B	13DCE080	
DEC 30 : 423938.000000	13919051.000000	333242496.000000	
HEX 31 : 1FA1B120	D623F10	DAD28B0	
DEC 31 : 530690336.000000	224542480.000000	229451952.000000	
HEX 32 : D01D780	5650348	1B724B00	
DEC 32 : 218224512.000000	90506056.000000	460475136.000000	
HEX 33 : 8CED570	7C088F0	55EA9E0	
DEC 33 : 147772784.000000	130058480.000000	90089952.000000	
HEX 34 : 13044960	1FF2A1E0	1E0FDBC0	
DEC 34 : 319048032.000000	535994848.000000	504355776.000000	
HEX 35 : 1C027500	133A2900	1223A040	
DEC 35 : 469923072.000000	322578688.000000	304324672.000000	
HEX 36 : 5ED99	16A27880	B398CF0	
DEC 36 : 388505.000000	379746432.000000	188321008.000000	
HEX 37 : 1D8FF7E0	E46CB50	598ABC0	
DEC 37 : 495974368.000000	239520592.000000	93891520.000000	
HEX 38 : 1B3C5900	4561E98	1C928900	
DEC 38 : 456939776.000000	72752792.000000	479365376.000000	
