Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 75AFBC0	1C2E6A60	1CFD0A60	
DEC 1 : 123403200.000000	472803936.000000	486345312.000000	
HEX 2 : 3DADD2C	6E5CF10	1380F4C0	
DEC 2 : 64675116.000000	115724048.000000	327218368.000000	
HEX 3 : C189DA0	11B82880	EA37C00	
DEC 3 : 202939808.000000	297281664.000000	245595136.000000	
HEX 4 : 2524078	1F803F00	A3C3040	
DEC 4 : 38944888.000000	528498432.000000	171716672.000000	
HEX 5 : 1C5D2AE0	1ACD6E20	122794C0	
DEC 5 : 475867872.000000	449670688.000000	304583872.000000	
HEX 6 : 18BB5340	15C1EF00	17183480	
DEC 6 : 414929728.000000	365031168.000000	387462272.000000	
HEX 7 : C35F690	AC418F0	BC06DA0	
DEC 7 : 204863120.000000	180623600.000000	197160352.000000	
HEX 8 : 1DEE49E0	2AAC168	1A434560	
DEC 8 : 502155744.000000	44745064.000000	440616288.000000	
HEX 9 : 1E4A2BC0	17B773C0	1EA10AE0	
DEC 9 : 508177344.000000	397898688.000000	513870560.000000	
HEX 10 : E67F040	D71F1E0	1D6F1260	
DEC 10 : 241692736.000000	225571296.000000	493818464.000000	
HEX 11 : 13A5A520	BEBE530	ECB3530	
DEC 11 : 329622816.000000	200009008.000000	248198448.000000	
HEX 12 : 8EB80B0	200A3C4	1D885700	
DEC 12 : 149651632.000000	33596356.000000	495474432.000000	
HEX 13 : 11649500	56503C0	AC241A0	
DEC 13 : 291804416.000000	90506176.000000	180502944.000000	
HEX 14 : EBADC80	63E7B48	1A89EAA0	
DEC 14 : 247127168.000000	104758088.000000	445246112.000000	
HEX 15 : 1E7F3880	1CAF86A0	A708260	
DEC 15 : 511654016.000000	481265312.000000	175145568.000000	
HEX 16 : 270B8B4	432F968	1A639D60	
DEC 16 : 40941748.000000	70449512.000000	442735968.000000	
HEX 17 : 1E2715A0	F7798F0	1FB05340	
DEC 17 : 505877920.000000	259496176.000000	531649344.000000	
HEX 18 : 6B6D2	8275AD0	1B77C3	
DEC 18 : 440018.000000	136796880.000000	1800131.000000	
HEX 19 : 90E7DA0	181B4340	639F930	
DEC 19 : 151944608.000000	404439872.000000	104462640.000000	
HEX 20 : 12749660	C89E9E0	16D5D6E0	
DEC 20 : 309630560.000000	210364896.000000	383112928.000000	
HEX 21 : 16BB7D60	1715DF80	1F037880	
DEC 21 : 381386080.000000	387309440.000000	520321152.000000	
HEX 22 : 39F192C	13C4CF80	DBCB3C0	
DEC 22 : 60758316.000000	331665280.000000	230470592.000000	
HEX 23 : AF58E20	A153C4	825D260	
DEC 23 : 183864864.000000	10572740.000000	136696416.000000	
HEX 24 : 1F7596A0	11EF42E0	18A305E0	
DEC 24 : 527799968.000000	300892896.000000	413337056.000000	
HEX 25 : 26B2C3C	15725340	1E401F80	
DEC 25 : 40578108.000000	359813952.000000	507518848.000000	
HEX 26 : B3D1570	104B0B40	162E4CC0	
DEC 26 : 188552560.000000	273353536.000000	372133056.000000	
HEX 27 : 3B7492C	12941F80	64B8DA8	
