Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 182F13C0	2B03968	2B33AD4	
DEC 1 : 405738432.000000	45103464.000000	45300436.000000	
HEX 2 : 1F4CAB40	387BF88	1666AB80	
DEC 2 : 525118272.000000	59228040.000000	375827328.000000	
HEX 3 : 161DC260	1157BB40	A985A6	
DEC 3 : 371049056.000000	290962240.000000	11109798.000000	
HEX 4 : E8C03C0	10AABCC0	DFA569	
DEC 4 : 244057024.000000	279624896.000000	14656873.000000	
HEX 5 : 119C6A60	C443780	145B3160	
DEC 5 : 295463520.000000	205797248.000000	341520736.000000	
HEX 6 : 4EAB800	66B1710	6956788	
DEC 6 : 82491392.000000	107681552.000000	110454664.000000	
HEX 7 : 12E824C0	D6C7800	63B9E20	
DEC 7 : 317203648.000000	225212416.000000	104570400.000000	
HEX 8 : 160CE780	FDEFD30	19411520	
DEC 8 : 369944448.000000	266272048.000000	423695648.000000	
HEX 9 : 15EC8CC0	1587C1E0	10CEEDA0	
DEC 9 : 367824064.000000	361218528.000000	281996704.000000	
HEX 10 : 1991C100	1E67BC40	FCC61E0	
DEC 10 : 428982528.000000	510114880.000000	265052640.000000	
HEX 11 : 4F72F88	1570D800	147A94C0	
DEC 11 : 83308424.000000	359716864.000000	343577792.000000	
HEX 12 : 17C88AE0	962F0F0	1CAA7440	
DEC 12 : 399018720.000000	157479152.000000	480932928.000000	
HEX 13 : 18680DA0	67CE348	15BEA700	
DEC 13 : 409472416.000000	108847944.000000	364816128.000000	
HEX 14 : 15B64160	1C47FE20	1C259480	
DEC 14 : 364265824.000000	474480160.000000	472224896.000000	
HEX 15 : 17706960	10B0788	1ADADDE0	
DEC 15 : 393242976.000000	17500040.000000	450551264.000000	
HEX 16 : 1A185160	13C096A0	1E71FF80	
DEC 16 : 437801312.000000	331388576.000000	510787456.000000	
HEX 17 : E4D1C40	93AAA60	1A661380	
DEC 17 : 239934528.000000	154839648.000000	442897280.000000	
HEX 18 : 2B165A4	E091080	126ADC00	
DEC 18 : 45180324.000000	235475072.000000	308993024.000000	
HEX 19 : 1C4E19E0	1D44FA60	18A5B660	
