Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 83
HEX 1 : 5A3F078	B4FE880	17E2C6E0	
DEC 1 : 94630008.000000	189786240.000000	400738016.000000	
HEX 2 : 662CA58	4CB20F0	143132A0	
DEC 2 : 107137624.000000	80421104.000000	338768544.000000	
HEX 3 : 19C9B4C0	311643C	11FAA6E0	
DEC 3 : 432649408.000000	51471420.000000	301639392.000000	
HEX 4 : 1BA83F00	132D6EA0	E1261E	
DEC 4 : 464011008.000000	321744544.000000	14755358.000000	
HEX 5 : 18D5B4C	18C77F80	1BA5A480	
DEC 5 : 26041164.000000	415727488.000000	463840384.000000	
HEX 6 : 19CF3C40	D4054B0	594EE20	
DEC 6 : 433011776.000000	222319792.000000	93646368.000000	
HEX 7 : 1A1EC3C0	1C810260	17AF3F40	
DEC 7 : 438223808.000000	478216800.000000	397360960.000000	
HEX 8 : A263170	F5198F0	136117C0	
DEC 8 : 170275184.000000	257005808.000000	325130176.000000	
HEX 9 : 1BEAF960	1B5B8440	C7C5840	
DEC 9 : 468384096.000000	458982464.000000	209475648.000000	
HEX 10 : 1C0D43C0	172A53C0	12BD1C00	
DEC 10 : 470631360.000000	388649920.000000	314383360.000000	
HEX 11 : 16598BC0	14A66A60	6035F88	
DEC 11 : 374967232.000000	346450528.000000	100884360.000000	
HEX 12 : 17F4DF00	11E87620	D015440	
DEC 12 : 401923840.000000	300447264.000000	218190912.000000	
HEX 13 : 6D78710	1A282B40	16780C00	
DEC 13 : 114788112.000000	438840128.000000	376966144.000000	
HEX 14 : 9C7A710	48008F0	1AE82CC0	
DEC 14 : 164079376.000000	75499760.000000	451423424.000000	
HEX 15 : 115A3520	D080880	1584F3C0	
DEC 15 : 291124512.000000	218630272.000000	361034688.000000	
HEX 16 : E591DA0	1237C3C	172CFC4	
DEC 16 : 240721312.000000	19102780.000000	24301508.000000	
HEX 17 : 1C393B40	2351788	AE81CB0	
DEC 17 : 473512768.000000	37033864.000000	182983856.000000	
HEX 18 : 82EF5A0	15A65E20	F095F50	
DEC 18 : 137295264.000000	363224608.000000	252272464.000000	
HEX 19 : 55FC0F0	880E4B0	8198C00	
DEC 19 : 90161392.000000	142664880.000000	135891968.000000	
HEX 20 : C8AA4B0	1F3FACC0	15F1E520	
DEC 20 : 210412720.000000	524266688.000000	368174368.000000	
HEX 21 : D298F80	6874E20	7D82B48	
DEC 21 : 220827520.000000	109530656.000000	131607368.000000	
HEX 22 : 7679C40	1D9B0000	FCCA660	
DEC 22 : 124230720.000000	496697344.000000	265070176.000000	
HEX 23 : EEF8AD0	10CC2520	1FD55E20	
DEC 23 : 250579664.000000	281814304.000000	534076960.000000	
HEX 24 : 818CB5	1ECA16A0	CE54130	
DEC 24 : 8490165.000000	516560544.000000	216351024.000000	
HEX 25 : 1EE45A6	4C5F168	1D5869E0	
DEC 25 : 32392614.000000	80081256.000000	492333536.000000	
