Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : 17FCE880	5738800	1C9E1E20	
DEC 1 : 402450560.000000	91457536.000000	480124448.000000	
HEX 2 : 180D6E20	83BEE90	1EDB0F	
DEC 2 : 403533344.000000	138145424.000000	2022159.000000	
HEX 3 : 5DCF2D0	131D72E0	54EDC78	
DEC 3 : 98366160.000000	320697056.000000	89054328.000000	
HEX 4 : 8F95B50	14798A60	C074ED0	
DEC 4 : 150559568.000000	343509600.000000	201805520.000000	
HEX 5 : 166466A0	23EC620	5943E58	
DEC 5 : 375678624.000000	37668384.000000	93601368.000000	
HEX 6 : B9C30F0	98E2F80	123D9560	
DEC 6 : 194785520.000000	160313216.000000	306025824.000000	
HEX 7 : 375C968	564B4	E2E3970	
DEC 7 : 58050920.000000	353460.000000	237910384.000000	
HEX 8 : 7320000	571C530	1D34C520	
DEC 8 : 120717312.000000	91342128.000000	489997600.000000	
HEX 9 : D6F1690	15A53B40	2EFD0B4	
DEC 9 : 225384080.000000	363150144.000000	49270964.000000	
HEX 10 : 182ECF00	1E2EA960	6C3C800	
DEC 10 : 405720832.000000	506374496.000000	113494016.000000	
HEX 11 : F8FE690	186C2DA0	1A7CD080	
DEC 11 : 261088912.000000	409742752.000000	444387456.000000	
HEX 12 : C0464B0	174D34C0	13F0AA20	
DEC 12 : 201614512.000000	390935744.000000	334539296.000000	
HEX 13 : 14EC81E0	10D93E20	CC5ACB0	
DEC 13 : 351044064.000000	282672672.000000	214281392.000000	
HEX 14 : 14A52100	15A1CD20	51DC258	
DEC 14 : 346366208.000000	362925344.000000	85836376.000000	
HEX 15 : 3E1B1E0	153E6700	11856520	
DEC 15 : 65122784.000000	356411136.000000	293954848.000000	
HEX 16 : 1CD4B5A0	18D243C	93E788	
DEC 16 : 483702176.000000	26027068.000000	9693064.000000	
HEX 17 : AA23D30	27CD43C	FD5D8F0	
DEC 17 : 178404656.000000	41735228.000000	265672944.000000	
HEX 18 : 1FF2D000	85E41E0	DD54F10	
DEC 18 : 536006656.000000	140394976.000000	232083216.000000	
HEX 19 : 110C9000	A739690	BE6F4F0	
DEC 19 : 286035968.000000	175347344.000000	199685360.000000	
HEX 20 : 54D1E2	9D6E620	8894220	
DEC 20 : 5558754.000000	165078560.000000	143213088.000000	
HEX 21 : 188D5E20	AA14E20	100CF560	
DEC 21 : 411917856.000000	178343456.000000	269284704.000000	
HEX 22 : 126D0880	CA859E0	149DE400	
DEC 22 : 309135488.000000	212359648.000000	345891840.000000	
HEX 23 : 136DAC40	57882D0	16A03120	
DEC 23 : 325954624.000000	91783888.000000	379597088.000000	
HEX 24 : 12611F00	1BEE82E0	1384A740	
DEC 24 : 308354816.000000	468615904.000000	327460672.000000	
HEX 25 : 40E7F10	13C93900	1EF42BC0	
DEC 25 : 68058896.000000	331954432.000000	519318464.000000	
HEX 26 : 62DC5A8	D7C8AD0	BD28220	
DEC 26 : 103663016.000000	226265808.000000	198345248.000000	
HEX 27 : C0AAC40	1E3E89E0	16DC87C0	
DEC 27 : 202026048.000000	507415008.000000	383551424.000000	
HEX 28 : 105CC3C	12FBBDA0	181C1000	
DEC 28 : 17157180.000000	318487968.000000	404492288.000000	
HEX 29 : 124AB4C0	A3AD8F0	1DCE4BC0	
DEC 29 : 306885824.000000	171628784.000000	500059072.000000	
HEX 30 : 1124DC40	1C9DAD2	1D87C620	
DEC 30 : 287628352.000000	30005970.000000	495437344.000000	
HEX 31 : 1E9334C0	9112AD0	1C23C0C0	
DEC 31 : 512963776.000000	152120016.000000	472105152.000000	
HEX 32 : 6D095A8	B15C530	4679000	
DEC 32 : 114333096.000000	185976112.000000	73895936.000000	
HEX 33 : 1159AA60	1EFBD000	BA41A20	
DEC 33 : 291088992.000000	519819264.000000	195303968.000000	
HEX 34 : A1FA1E0	1DA7BF00	F252400	
DEC 34 : 169845216.000000	497532672.000000	254092288.000000	
HEX 35 : 12DA5C40	14252080	13F26D60	
DEC 35 : 316300352.000000	337977472.000000	334654816.000000	
HEX 36 : A0B25A0	424F620	32B3800	
DEC 36 : 168502688.000000	69531168.000000	53164032.000000	
HEX 37 : 4A563C0	C968970	1B432620	
DEC 37 : 77947840.000000	211192176.000000	457385504.000000	
HEX 38 : 1B9A000	1C7405A0	11C6C6E0	
DEC 38 : 28942336.000000	477365664.000000	298239712.000000	
HEX 39 : 55A9968	65558F0	1593C120	
DEC 39 : 89823592.000000	106256624.000000	362004768.000000	
HEX 40 : 51AE2D0	1AB73A60	A5D0260	
DEC 40 : 85648080.000000	448215648.000000	173867616.000000	
HEX 41 : CC264B0	1E93A160	1E8A9260	
DEC 41 : 214066352.000000	512991584.000000	512397920.000000	
HEX 42 : 122D2F00	F8C5880	16E2BC4	
DEC 42 : 304951040.000000	260855936.000000	23997380.000000	
HEX 43 : F47EF10	17F7A9E0	9DB60F0	
DEC 43 : 256372496.000000	402106848.000000	165372144.000000	
HEX 44 : 1FEA0000	2382F88	80CEA20	
DEC 44 : 535429120.000000	37236616.000000	135064096.000000	
HEX 45 : 11E26A60	111B6F80	1AC497C0	
DEC 45 : 300051040.000000	287010688.000000	449091520.000000	
HEX 46 : 134FDE20	1B737CC0	8721E2	
DEC 46 : 324001312.000000	460553408.000000	8856034.000000	
HEX 47 : 1223696	20C4B4	1C995F80	
DEC 47 : 19019414.000000	2147508.000000	479813504.000000	
HEX 48 : 10C985A0	8A53000	418D388	
DEC 48 : 281642400.000000	145043456.000000	68735880.000000	
HEX 49 : 1E25F3C0	15479CC0	1BB44300	
DEC 49 : 505803712.000000	357014720.000000	464798464.000000	
