Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 67
HEX 1 : 117A4000	1CBEF000	1F137EA0	
DEC 1 : 293224448.000000	482275328.000000	521371296.000000	
HEX 2 : D2B7880	16A30800	1E2C55A0	
DEC 2 : 220952704.000000	379783168.000000	506221984.000000	
HEX 3 : EC3F3C0	4187E20	103042E0	
DEC 3 : 247722944.000000	68714016.000000	271598304.000000	
HEX 4 : F291F10	1982FF80	BCCB970	
DEC 4 : 254353168.000000	428015488.000000	197966192.000000	
HEX 5 : BCC697	1B593BC0	732D400	
DEC 5 : 12371607.000000	458832832.000000	120771584.000000	
HEX 6 : 44BFF10	72928F0	17A1CCC0	
DEC 6 : 72089360.000000	120137968.000000	396479680.000000	
HEX 7 : 11ED43C0	1A7F61E	1DB6BDA0	
DEC 7 : 300762048.000000	27784734.000000	498515360.000000	
HEX 8 : EA07000	C498000	57172D0	
DEC 8 : 245395456.000000	206143488.000000	91321040.000000	
HEX 9 : 8F292D0	404B710	1CF613C0	
DEC 9 : 150115024.000000	67417872.000000	485888960.000000	
HEX 10 : 1FE21E2	F364710	19726900	
DEC 10 : 33432034.000000	255215376.000000	426928384.000000	
HEX 11 : D204B5	A269E2	FFB8570	
DEC 11 : 13763765.000000	10643938.000000	268141936.000000	
HEX 12 : 154DA000	ADA9710	F5E3C40	
DEC 12 : 357408768.000000	182097680.000000	257834048.000000	
HEX 13 : A80E690	D2CF260	1CD802E0	
DEC 13 : 176219792.000000	221049440.000000	483918560.000000	
HEX 14 : 187E7000	4AAA1E0	72B6A58	
DEC 14 : 410939392.000000	78291424.000000	120285784.000000	
HEX 15 : 10F2F960	917B970	1D0E3340	
DEC 15 : 284359008.000000	152549744.000000	487469888.000000	
HEX 16 : 187E7000	116D8A60	D8DA3C0	
DEC 16 : 410939392.000000	292391520.000000	227386304.000000	
HEX 17 : 12F878	F0C7E20	122AF9A0	
DEC 17 : 1243256.000000	252476960.000000	304806304.000000	
HEX 18 : 15658880	B962710	177FBEE0	
DEC 18 : 358975616.000000	194389776.000000	394247904.000000	
HEX 19 : 7B96F10	1BDE7E20	14387C80	
DEC 19 : 129593104.000000	467566112.000000	339246208.000000	
HEX 20 : 6E42788	D865F10	3E585A4	
DEC 20 : 115615624.000000	226909968.000000	65373604.000000	
HEX 21 : 8271A60	D4A2000	159146A0	
DEC 21 : 136780384.000000	222961664.000000	361842336.000000	
HEX 22 : 187E7000	40C6B48	EEC1E60	
DEC 22 : 410939392.000000	67922760.000000	250355296.000000	
HEX 23 : 137B7E20	13754E20	12CB00C0	
DEC 23 : 326860320.000000	326454816.000000	315293888.000000	
HEX 24 : B1ECF10	12E0C4C0	71524F0	
DEC 24 : 186568464.000000	316720320.000000	118826224.000000	
HEX 25 : CCB0970	72E7710	17132DE0	
DEC 25 : 214632816.000000	120485648.000000	387132896.000000	
HEX 26 : DD1C4B0	1FC80260	FBF5CF0	
DEC 26 : 231851184.000000	533201504.000000	264199408.000000	
HEX 27 : 121604C0	118679E0	999D310	
DEC 27 : 303432896.000000	294025696.000000	161075984.000000	
HEX 28 : 119463C0	10970440	1D593B40	
DEC 28 : 294937536.000000	278332480.000000	492387136.000000	
HEX 29 : 78214B8	1914BB40	4CF3DA8	
DEC 29 : 125965496.000000	420789056.000000	80690600.000000	
HEX 30 : F56F970	D318440	135325A0	
DEC 30 : 257358192.000000	221348928.000000	324216224.000000	
HEX 31 : 6620F10	1362AEA0	1DED53C0	
DEC 31 : 107089680.000000	325234336.000000	502092736.000000	
HEX 32 : 187E7000	DAA0E90	1E0A2F80	
DEC 32 : 410939392.000000	229248656.000000	503984000.000000	
HEX 33 : CCCAE20	134B2260	F540A20	
DEC 33 : 214740512.000000	323691104.000000	257165856.000000	
HEX 34 : 10D80A60	1F1F66A0	1980A5A	
DEC 34 : 282593888.000000	522151584.000000	26741338.000000	
HEX 35 : 14C2CA60	1A6FAF00	188352A0	
DEC 35 : 348310112.000000	443526912.000000	411259552.000000	
HEX 36 : 187C8A60	C1FB710	8358710	
DEC 36 : 410815072.000000	203405072.000000	137725712.000000	
HEX 37 : 128D06A0	1C4FAD2	3912388	
DEC 37 : 311232160.000000	29686482.000000	59843464.000000	
HEX 38 : 187E71E0	18141620	144A0F0	
DEC 38 : 410939872.000000	403969568.000000	21274864.000000	
HEX 39 : 7B7D000	1A47A880	CA454B0	
DEC 39 : 129486848.000000	440903808.000000	212096176.000000	
HEX 40 : BF1E3C0	1F0819E0	7C0DF10	
DEC 40 : 200401856.000000	520624608.000000	130080528.000000	
HEX 41 : 6C2AD30	B85DA6	149BCA60	
DEC 41 : 113421616.000000	12082598.000000	345754208.000000	
HEX 42 : 6BB64B8	146D92E0	13A3CF40	
DEC 42 : 112944312.000000	342725344.000000	329502528.000000	
HEX 43 : 11EED2E0	1793C340	5126400	
DEC 43 : 300864224.000000	395559744.000000	85091328.000000	
HEX 44 : 187E7000	5F14F88	1B674B00	
DEC 44 : 410939392.000000	99700616.000000	459754240.000000	
HEX 45 : 187E7000	1739B260	8BFBED0	
DEC 45 : 410939392.000000	389657184.000000	146783952.000000	
HEX 46 : 74BD3C0	1A9A4620	1BA16700	
DEC 46 : 122409920.000000	446318112.000000	463562496.000000	
HEX 47 : CD761E0	12C63E20	17B7E260	
DEC 47 : 215441888.000000	314981920.000000	397927008.000000	
HEX 48 : 54952D0	DBBC530	C57F260	
DEC 48 : 88691408.000000	230409520.000000	207090272.000000	
HEX 49 : 240EF10	14901BC0	D445F50	
DEC 49 : 37809936.000000	344988608.000000	222584656.000000	
HEX 50 : 17BBC3C	1379EB40	587EE98	
DEC 50 : 24886332.000000	326757184.000000	92794520.000000	
HEX 51 : 10E8788	1E5D2900	19366C00	
DEC 51 : 17729416.000000	509421824.000000	422996992.000000	
HEX 52 : 17470100	13621440	194BAF80	
DEC 52 : 390529280.000000	325194816.000000	424390528.000000	
HEX 53 : 1471DC40	379ACB4	153E8EA0	
DEC 53 : 343006272.000000	58305716.000000	356421280.000000	
HEX 54 : 154281E0	10064700	2A2ABC4	
DEC 54 : 356680160.000000	268846848.000000	44215236.000000	
HEX 55 : C732880	B6DC530	C9987C0	
DEC 55 : 208873600.000000	191743280.000000	211388352.000000	
HEX 56 : 770B968	7963BC0	10B3F340	
DEC 56 : 124828008.000000	127286208.000000	280228672.000000	
HEX 57 : 17C7F5A0	1E5AAD20	5CF3040	
DEC 57 : 398980512.000000	509259040.000000	97464384.000000	
HEX 58 : 17082F00	1AB3A1E0	F4412D0	
DEC 58 : 386412288.000000	447980000.000000	256119504.000000	
HEX 59 : 5373C4	181D42E0	1513CB40	
DEC 59 : 5469124.000000	404570848.000000	353618752.000000	
HEX 60 : 41CCB48	5322788	14D556A	
DEC 60 : 68995912.000000	87173000.000000	21845354.000000	
HEX 61 : A2FC3C	1DFC9E2	1CFA93C0	
DEC 61 : 10681404.000000	31443426.000000	486183872.000000	
HEX 62 : 87462D0	971D2D	D093040	
DEC 62 : 141845200.000000	9903405.000000	218705984.000000	
HEX 63 : 11DE16A0	6ED6440	9F08000	
DEC 63 : 299767456.000000	116220992.000000	166756352.000000	
HEX 64 : BDB1F10	4999968	587F348	
DEC 64 : 198909712.000000	77175144.000000	92795720.000000	
HEX 65 : 12543A60	87B2710	1AD21E	
DEC 65 : 307509856.000000	142288656.000000	1757726.000000	
HEX 66 : EBE14B0	19246CC0	142D6F80	
DEC 66 : 247338160.000000	421817536.000000	338521984.000000	
HEX 67 : 5B1B698	6E862D0	93106D0	
DEC 67 : 95532696.000000	115892944.000000	154207952.000000	
68 : 0.000000	0.000000	0.000000	
69 : 0.000000	0.000000	0.000000	
70 : 0.000000	0.000000	0.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
74 : 0.000000	0.000000	0.000000	
75 : 0.000000	0.000000	0.000000	
76 : 0.000000	0.000000	0.000000	
77 : 0.000000	0.000000	0.000000	
78 : 0.000000	0.000000	0.000000	
79 : 0.000000	0.000000	0.000000	
80 : 0.000000	0.000000	0.000000	
81 : 0.000000	0.000000	0.000000	
82 : 0.000000	0.000000	0.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
