Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 2C294CC	107DEEA0	1B3319E0	
DEC 1 : 46306508.000000	276688544.000000	456333792.000000	
HEX 2 : 13BE7AC0	1B42A780	EB98A90	
DEC 2 : 331250368.000000	457353088.000000	247040656.000000	
HEX 3 : 16C477A0	B992C40	1B823000	
DEC 3 : 381974432.000000	194587712.000000	461516800.000000	
HEX 4 : 18E6CC80	C06F0F	10BA5F80	
DEC 4 : 417778816.000000	12611343.000000	280649600.000000	
HEX 5 : 649B570	1BE46A60	F581A90	
DEC 5 : 105493872.000000	467954272.000000	257432208.000000	
HEX 6 : 1F22C5A0	5D21168	CCE39A0	
DEC 6 : 522372512.000000	97653096.000000	214841760.000000	
HEX 7 : 5F7B6	E5E9AD0	14839480	
DEC 7 : 391094.000000	241081040.000000	344167552.000000	
HEX 8 : 6CCA9C0	557E348	2D5E6D4	
DEC 8 : 114076096.000000	89645896.000000	47572692.000000	
HEX 9 : 1A19F100	46AF0F0	F00969	
DEC 9 : 437907712.000000	74117360.000000	15731049.000000	
HEX 10 : 1EE779E0	92BD780	1FF40AE0	
DEC 10 : 518486496.000000	153868160.000000	536087264.000000	
HEX 11 : 103E2680	A18E530	ADAE8B0	
DEC 11 : 272508544.000000	169403696.000000	182118576.000000	
HEX 12 : E786C60	15F67AE0	12663480	
DEC 12 : 242773088.000000	368474848.000000	308688000.000000	
HEX 13 : 6B8B718	1D770E20	1E04E4C0	
DEC 13 : 112768792.000000	494341664.000000	503637184.000000	
HEX 14 : 938ADD0	78E8800	FFAF930	
DEC 14 : 154709456.000000	126781440.000000	268106032.000000	
HEX 15 : 1F309B80	9F5CAD0	187886E0	
DEC 15 : 523279232.000000	167103184.000000	410552032.000000	
HEX 16 : 88A05D0	16192EA0	1F5A94C0	
DEC 16 : 143263184.000000	370749088.000000	526030016.000000	
HEX 17 : 5F7B6	189FC960	3B01220	
DEC 17 : 391094.000000	413124960.000000	61870624.000000	
HEX 18 : 10259DA0	1D6274C0	6C30B4	
DEC 18 : 270900640.000000	492991680.000000	7090356.000000	
HEX 19 : F732E40	15BA3CC0	1504CF0	
DEC 19 : 259206720.000000	364526784.000000	22039792.000000	
HEX 20 : 183E9D00	9ED2970	D9C1FC0	
DEC 20 : 406756608.000000	166537584.000000	228335552.000000	
HEX 21 : 5F5FC	2E7C710	50898B8	
DEC 21 : 390652.000000	48744208.000000	84449464.000000	
HEX 22 : 7B0CA48	CD7EE90	18A021E	
DEC 22 : 129026632.000000	215477904.000000	25821726.000000	
HEX 23 : EBED510	149E16A	13762120	
DEC 23 : 247387408.000000	21619050.000000	326508832.000000	
HEX 24 : 1451E0C	B6BEDA0	7225FC0	
DEC 24 : 21306892.000000	191622560.000000	119693248.000000	
HEX 25 : DDC4200	7CBA348	1EDC65A	
DEC 25 : 232538624.000000	130786120.000000	32360026.000000	
HEX 26 : 120E64A0	5543CB8	18E25340	
DEC 26 : 302933152.000000	89406648.000000	417485632.000000	
HEX 27 : 7624180	13E5F780	10E948C0	
DEC 27 : 123879808.000000	333838208.000000	283723968.000000	
HEX 28 : 5F738	7297440	10C18660	
DEC 28 : 390968.000000	120157248.000000	281118304.000000	
HEX 29 : C719DC0	E5A5BC0	10549000	
DEC 29 : 208772544.000000	240802752.000000	273977344.000000	
HEX 30 : 9B53EE0	11204960	17E4F000	
DEC 30 : 162873056.000000	287328608.000000	400879616.000000	
HEX 31 : 11B7CFA0	19B71960	768EC00	
DEC 31 : 297258912.000000	431429984.000000	124316672.000000	
HEX 32 : 19002020	47F1968	1D9E8900	
DEC 32 : 419438624.000000	75438440.000000	496929024.000000	
HEX 33 : C510E40	A0BE8F0	17A964C0	
DEC 33 : 206638656.000000	168552688.000000	396977344.000000	
HEX 34 : 508D108	8F8AE90	16138620	
DEC 34 : 84463880.000000	150515344.000000	370378272.000000	
HEX 35 : 1190BF60	F522260	1682DB00	
DEC 35 : 294698848.000000	257040992.000000	377674496.000000	
HEX 36 : 127A93C0	331A1E0	CDD2A90	
DEC 36 : 310023104.000000	53584352.000000	215820944.000000	
HEX 37 : 6E908D0	1A50AA60	7FF06D0	
DEC 37 : 115935440.000000	441494112.000000	134153936.000000	
HEX 38 : 3353268	16D0A9E0	1722F160	
DEC 38 : 53817960.000000	382773728.000000	388165984.000000	
HEX 39 : CC009B0	1EABCA60	B39ECF0	
DEC 39 : 213911984.000000	514574944.000000	188345584.000000	
HEX 40 : 1872F900	1BDB7100	1B6A1880	
DEC 40 : 410188032.000000	467366144.000000	459937920.000000	
HEX 41 : 901D580	B1D59E0	909A9A0	
DEC 41 : 151115136.000000	186472928.000000	151628192.000000	
HEX 42 : 165D2620	14AB4880	126B0080	
DEC 42 : 375203360.000000	346769536.000000	309002368.000000	
HEX 43 : 1237AD20	198A2D20	17DEAB40	
DEC 43 : 305638688.000000	428485920.000000	400468800.000000	
HEX 44 : ABA8630	190A92E0	18C73FC0	
DEC 44 : 179996208.000000	420123360.000000	415711168.000000	
HEX 45 : 1DE92EA0	16A24780	FB7CAD0	
DEC 45 : 501821088.000000	379733888.000000	263703248.000000	
HEX 46 : EF5E360	1C789960	1DFFE780	
DEC 46 : 250995552.000000	477665632.000000	503310208.000000	
HEX 47 : D41D440	D6E7D30	1E5AB9E0	
DEC 47 : 222417984.000000	225344816.000000	509262304.000000	
HEX 48 : 19BFE760	E083970	1496C2E0	
DEC 48 : 432007008.000000	235420016.000000	345424608.000000	
HEX 49 : 199A0E00	193781E0	9413DE0	
DEC 49 : 429526528.000000	423068128.000000	155270624.000000	
HEX 50 : 1DB47AC0	174B4880	1E493340	
DEC 50 : 498367168.000000	390809728.000000	508113728.000000	
HEX 51 : 13F8E1A0	B66CA60	47211E0	
DEC 51 : 335077792.000000	191285856.000000	74584544.000000	
HEX 52 : DD45F10	FA41620	5707530	
DEC 52 : 232021776.000000	262411808.000000	91256112.000000	
HEX 53 : F93D3C	1175BCC0	1934878	
DEC 53 : 16334140.000000	292928704.000000	26429560.000000	
HEX 54 : 1EC02260	B7F5690	7DFD0F0	
DEC 54 : 515908192.000000	192894608.000000	132108528.000000	
HEX 55 : 12B15200	111D5900	C0EDF50	
DEC 55 : 313610752.000000	287136000.000000	202301264.000000	
HEX 56 : 922E690	2969E2	E910970	
DEC 56 : 153282192.000000	2714082.000000	244386160.000000	
HEX 57 : DDBCD50	1D9F9B40	13491960	
DEC 57 : 232508752.000000	496999232.000000	323557728.000000	
HEX 58 : 17371240	13A5E620	1A5764C0	
DEC 58 : 389485120.000000	329639456.000000	441935040.000000	
HEX 59 : 1ADBC480	BE57780	170F1E2	
DEC 59 : 450610304.000000	199587712.000000	24179170.000000	
HEX 60 : 1762D7C0	1EA00E20	3F7C4B4	
DEC 60 : 392353728.000000	513805856.000000	66569396.000000	
HEX 61 : 11A2E2E0	88C49E0	12172660	
DEC 61 : 295887584.000000	143411680.000000	303507040.000000	
HEX 62 : 199B9F20	1BB11D20	13F9E780	
DEC 62 : 429629216.000000	464592160.000000	335144832.000000	
HEX 63 : 18D1F340	6AB50F0	15DC1FC0	
DEC 63 : 416412480.000000	111890672.000000	366747584.000000	
HEX 64 : 3DB50F0	D196C40	E28AC00	
DEC 64 : 64704752.000000	219769920.000000	237546496.000000	
HEX 65 : 15BB6AA0	1338BEA0	4AB5168	
DEC 65 : 364604064.000000	322485920.000000	78336360.000000	
HEX 66 : 8255D40	144D9100	275D710	
DEC 66 : 136666432.000000	340627712.000000	41277200.000000	
HEX 67 : 4365740	12DEFDA0	8FC37C0	
DEC 67 : 70670144.000000	316603808.000000	150747072.000000	
HEX 68 : 7079240	94D5530	1D6DD5A0	
DEC 68 : 117936704.000000	156063024.000000	493737376.000000	
HEX 69 : BDA4D30	150475A0	AA374F0	
DEC 69 : 198855984.000000	352613792.000000	178484464.000000	
HEX 70 : 13917AC0	3AE14B4	49B7E20	
DEC 70 : 328301248.000000	61740212.000000	77299232.000000	
HEX 71 : B86F400	3FBBAD4	8892130	
DEC 71 : 193393664.000000	66829012.000000	143204656.000000	
HEX 72 : 1F54E160	369F968	13EFF660	
DEC 72 : 525656416.000000	57276776.000000	334493280.000000	
HEX 73 : 1A8ABA20	11322900	AAA44B0	
DEC 73 : 445299232.000000	288499968.000000	178930864.000000	
HEX 74 : 5F777	1D5914C0	191AB5E0	
DEC 74 : 391031.000000	492377280.000000	421180896.000000	
HEX 75 : 1D81E7E0	153FD620	39E992C	
DEC 75 : 495052768.000000	356505120.000000	60725548.000000	
HEX 76 : 5F738	75E70F0	1B766C40	
DEC 76 : 390968.000000	123629808.000000	460745792.000000	
HEX 77 : E30F22	18943A60	1EDDD620	
DEC 77 : 14880546.000000	412367456.000000	517854752.000000	
HEX 78 : 6CC1870	1EEEE960	163982A0	
DEC 78 : 114038896.000000	518973792.000000	372867744.000000	
HEX 79 : 193E4E40	291B710	96DE5E0	
DEC 79 : 423513664.000000	43104016.000000	158197216.000000	
HEX 80 : FBA8F80	14AA7F80	1D8E0800	
DEC 80 : 263884672.000000	346718080.000000	495847424.000000	
HEX 81 : 8D69AF0	1B9DBD20	CED65A	
DEC 81 : 148282096.000000	463322400.000000	13555290.000000	
HEX 82 : 4390E88	4A4CBC0	B094F10	
DEC 82 : 70848136.000000	77908928.000000	185159440.000000	
HEX 83 : 617F510	1EA7788	1E8D2700	
DEC 83 : 102233360.000000	32143240.000000	512567040.000000	
HEX 84 : 9B6F9	1A1B73C0	B11D5E0	
DEC 84 : 636665.000000	438006720.000000	185718240.000000	
HEX 85 : 684D6	13CF2EA0	F4EE1E0	
DEC 85 : 427222.000000	332344992.000000	256827872.000000	
HEX 86 : 632BF80	189D710	165F1B00	
DEC 86 : 103989120.000000	25810704.000000	375331584.000000	
HEX 87 : C6098E0	B04000	1A96CF00	
DEC 87 : 207657184.000000	11550720.000000	446091008.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
