Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 139AFB40	136D1900	CB34780	
DEC 1 : 328923968.000000	325916928.000000	213075840.000000	
HEX 2 : C3884F0	10332900	33A2ED4	
DEC 2 : 205030640.000000	271788288.000000	54144724.000000	
HEX 3 : 1C7E3AE0	1A0D76A0	130F74C0	
DEC 3 : 478034656.000000	437089952.000000	319780032.000000	
HEX 4 : 17A8EA20	14479BC0	12FCB4C0	
DEC 4 : 396945952.000000	340237248.000000	318551232.000000	
HEX 5 : 1680B480	1C140100	3FE434C	
DEC 5 : 377533568.000000	471073024.000000	66995020.000000	
HEX 6 : 6803840	55751E0	1FE323C0	
DEC 6 : 109066304.000000	89608672.000000	534979520.000000	
HEX 7 : 14BC72E0	F0AEE20	1789EE20	
DEC 7 : 347894496.000000	252374560.000000	394915360.000000	
HEX 8 : 1AB36900	3BCB25C	1BB8E800	
DEC 8 : 447965440.000000	62698076.000000	465102848.000000	
HEX 9 : 16AD6920	1D231000	B7436D0	
DEC 9 : 380463392.000000	488837120.000000	192165584.000000	
HEX 10 : 7468710	1CE2CE20	17BACD60	
DEC 10 : 122062608.000000	484625952.000000	398118240.000000	
HEX 11 : 18874880	115052E0	298165C	
DEC 11 : 411519104.000000	290476768.000000	43521628.000000	
HEX 12 : 1B79D1A0	A858C40	1EE4EA60	
DEC 12 : 460968352.000000	176524352.000000	518318688.000000	
HEX 13 : 20ED388	114BBF80	1CF54160	
DEC 13 : 34526088.000000	290176896.000000	485835104.000000	
HEX 14 : C8B7130	7E70F	16AA92A0	
DEC 14 : 210465072.000000	517903.000000	380277408.000000	
HEX 15 : 14BB3780	1C18EF00	1D8579E0	
DEC 15 : 347813760.000000	471396096.000000	495286752.000000	
HEX 16 : 5498B4	1F4BB1E0	12D05FC0	
DEC 16 : 5544116.000000	525054432.000000	315645888.000000	
HEX 17 : AA6A3C0	38FD0F0	98BDA20	
DEC 17 : 178693056.000000	59756784.000000	160160288.000000	
HEX 18 : 53985E0	1697EC40	88B478	
DEC 18 : 87655904.000000	379055168.000000	8959096.000000	
HEX 19 : 1E18CF00	481E710	809E1A0	
DEC 19 : 504942336.000000	75622160.000000	134865312.000000	
HEX 20 : 30E7A5C	9AB50F0	12044500	
DEC 20 : 51280476.000000	162222320.000000	302269696.000000	
HEX 21 : 10822560	6A73DA8	41751E0	
DEC 21 : 276964704.000000	111623592.000000	68637152.000000	
HEX 22 : 7587E20	9DFE5A0	397B878	
DEC 22 : 123239968.000000	165668256.000000	60274808.000000	
HEX 23 : 81E0DA0	EB65780	1465AAE0	
DEC 23 : 136187296.000000	246830976.000000	342207200.000000	
HEX 24 : DC2E440	11869000	1979B120	
DEC 24 : 230876224.000000	294031360.000000	427405600.000000	
HEX 25 : D221BC0	5E0D620	1B5F8300	
DEC 25 : 220339136.000000	98620960.000000	459244288.000000	
HEX 26 : 1BB06EE0	68000F0	C4A2D3	
DEC 26 : 464547552.000000	109052144.000000	12886739.000000	
HEX 27 : FC4BC40	198F0780	A9C9C40	
DEC 27 : 264551488.000000	428803968.000000	178035776.000000	
HEX 28 : E9C1DE0	1FFC2100	E5C5040	
DEC 28 : 245112288.000000	536617216.000000	240930880.000000	
HEX 29 : 1D9A4F00	19A50000	364CE98	
DEC 29 : 496652032.000000	430243840.000000	56938136.000000	
HEX 30 : 198AC900	96345A0	158BA7C0	
DEC 30 : 428525824.000000	157500832.000000	361473984.000000	
HEX 31 : C9D1170	AF8F8F0	8DF7A20	
DEC 31 : 211620208.000000	184088816.000000	148863520.000000	
HEX 32 : 1DF98100	C4DC800	559B298	
DEC 32 : 502890752.000000	206424064.000000	89764504.000000	
HEX 33 : 915BC80	12B8C440	1F5562E0	
DEC 33 : 152419456.000000	314098752.000000	525689568.000000	
HEX 34 : 12272DE0	1772C160	17F323C0	
DEC 34 : 304557536.000000	393396576.000000	401810368.000000	
HEX 35 : 1843C3C	FC08F80	D6FBD70	
DEC 35 : 25443388.000000	264277888.000000	225426800.000000	
HEX 36 : 7978F10	C6425A0	1B8A61A0	
