Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : 1E621800	122D1C40	AFB11A0	
DEC 1 : 509745152.000000	304946240.000000	184226208.000000	
HEX 2 : 1DC34DA0	1CE82A60	41DB168	
DEC 2 : 499338656.000000	484977248.000000	69054824.000000	
HEX 3 : 1FA03440	F652C40	3C8FA5C	
DEC 3 : 530592832.000000	258288704.000000	63502940.000000	
HEX 4 : BAD5BC0	15C191E0	88FB88	
DEC 4 : 195910592.000000	365007328.000000	8977288.000000	
HEX 5 : 132575A0	56758F0	1B479A6	
DEC 5 : 321222048.000000	90659056.000000	28604838.000000	
HEX 6 : EB53C4	B97A080	18A47BC0	
DEC 6 : 15422404.000000	194486400.000000	413432768.000000	
HEX 7 : 1AEC6000	84128F0	108C5EA0	
DEC 7 : 451698688.000000	138488048.000000	277634720.000000	
HEX 8 : E4DA3C0	1E87F880	1050ADA0	
DEC 8 : 239969216.000000	512227456.000000	273722784.000000	
HEX 9 : FB761E	1B5B3E20	18F67D00	
DEC 9 : 16479774.000000	458964512.000000	418807040.000000	
HEX 10 : 706E8F0	700C4B8	124C91E0	
DEC 10 : 117893360.000000	117490872.000000	307007968.000000	
HEX 11 : 1B098880	1CF8F5A0	1964FD00	
DEC 11 : 453609600.000000	486077856.000000	426048768.000000	
HEX 12 : 132625A0	8B16530	9087C00	
DEC 12 : 321267104.000000	145843504.000000	151550976.000000	
HEX 13 : 1665AA60	1825F10	16B1E440	
DEC 13 : 375761504.000000	25321232.000000	380757056.000000	
HEX 14 : 1AF00A60	16CC0620	9EA569	
DEC 14 : 451938912.000000	382469664.000000	10397033.000000	
HEX 15 : 1AF7F100	18DECD20	A82B8F0	
DEC 15 : 452456704.000000	417254688.000000	176339184.000000	
HEX 16 : DA43C4	137A3DA0	6866B48	
DEC 16 : 14304196.000000	326778272.000000	109472584.000000	
HEX 17 : 85041E0	C307B50	C1800B0	
DEC 17 : 139477472.000000	204503888.000000	202899632.000000	
HEX 18 : 7DF9DA8	B0765A0	1BB8CD00	
DEC 18 : 132095400.000000	185034144.000000	465095936.000000	
HEX 19 : 563CAD0	B1C4780	4D19220	
DEC 19 : 90426064.000000	186402688.000000	80843296.000000	
HEX 20 : 19F479E0	201534C	204EC78	
DEC 20 : 435452384.000000	33641292.000000	33877112.000000	
HEX 21 : 1C303DA0	52D4258	9CB4C80	
DEC 21 : 472923552.000000	86852184.000000	164318336.000000	
HEX 22 : 11B76080	1703A900	12928B40	
DEC 22 : 297230464.000000	386115840.000000	311593792.000000	
HEX 23 : CADFC40	1DFF12E0	1ED1F4C0	
DEC 23 : 212728896.000000	503255776.000000	517076160.000000	
HEX 24 : 13387520	146FC340	13D0296	
DEC 24 : 322467104.000000	342868800.000000	20775574.000000	
HEX 25 : D2D4AD0	B5FCDA0	15E94DE0	
DEC 25 : 221072080.000000	190827936.000000	367611360.000000	
HEX 26 : 9E04E20	1EB042E0	9E9E97	
DEC 26 : 165695008.000000	514867936.000000	10395287.000000	
HEX 27 : E837B50	1A116100	18AA0B40	
DEC 27 : 243497808.000000	437346560.000000	413797184.000000	
HEX 28 : 80A6880	2FD6A5C	1D240260	
DEC 28 : 134899840.000000	50162268.000000	488899168.000000	
HEX 29 : 17B5A620	169D8F00	171CD8C0	
DEC 29 : 397780512.000000	379424512.000000	387766464.000000	
HEX 30 : 18542260	130373C0	6957168	
DEC 30 : 408167008.000000	318993344.000000	110457192.000000	
HEX 31 : 14C77080	ACF64B0	1FF5B2E0	
DEC 31 : 348614784.000000	181363888.000000	536195808.000000	
HEX 32 : 23FFDA4	14008F80	17F61880	
DEC 32 : 37748132.000000	335581056.000000	402004096.000000	
HEX 33 : 1673DDA0	1D3DF1E0	65D69E0	
DEC 33 : 376692128.000000	490598880.000000	106785248.000000	
HEX 34 : 955AE20	175B7E20	13EB28C0	
DEC 34 : 156610080.000000	391872032.000000	334178496.000000	
HEX 35 : C8E5B50	178CFF80	D1D9D30	
DEC 35 : 210656080.000000	395116416.000000	220044592.000000	
HEX 36 : 342DE98	FE6C170	1F2373C0	
DEC 36 : 54714008.000000	266781040.000000	522417088.000000	
HEX 37 : 65334B8	13555DA0	D65A440	
DEC 37 : 106116280.000000	324361632.000000	224764992.000000	
HEX 38 : 1CE8E960	2638F88	1E229960	
DEC 38 : 485026144.000000	40079240.000000	505583968.000000	
HEX 39 : 188F99E0	D4FF350	B7EDFC0	
DEC 39 : 412064224.000000	223343440.000000	192864192.000000	
HEX 40 : 1A414340	EB77170	15439DE0	
DEC 40 : 440484672.000000	246903152.000000	356752864.000000	
HEX 41 : A203E20	11A01620	18DFF780	
DEC 41 : 169885216.000000	295704096.000000	417331072.000000	
HEX 42 : DFE3260	7D70E20	E741260	
DEC 42 : 234762848.000000	131534368.000000	242487904.000000	
HEX 43 : 24C7B4C	75C9B48	1F49A440	
DEC 43 : 38566732.000000	123509576.000000	524919872.000000	
HEX 44 : 6169800	19045A60	4629258	
DEC 44 : 102144000.000000	419715680.000000	73568856.000000	
HEX 45 : 12FE7700	CEE5970	1CAF56A	
DEC 45 : 318666496.000000	216947056.000000	30078314.000000	
HEX 46 : 4F3F5A8	12604B40	4E8E5A	
DEC 46 : 83097000.000000	308300608.000000	5148250.000000	
HEX 47 : 110F31E0	10339000	AA78750	
DEC 47 : 286208480.000000	271814656.000000	178751312.000000	
HEX 48 : 148F9F80	4505698	FB8AE60	
DEC 48 : 344956800.000000	72373912.000000	263761504.000000	
HEX 49 : 15264CC0	399D4B4	1DD1CDA0	
DEC 49 : 354831552.000000	60413108.000000	500288928.000000	
HEX 50 : B165170	B5EF0F	EB5C3C0	
DEC 50 : 186012016.000000	11923215.000000	246793152.000000	
HEX 51 : CAABBC0	3D2F878	7545840	
DEC 51 : 212515776.000000	64157816.000000	122968128.000000	
HEX 52 : 1256C5A0	173D3960	84DCDA0	
DEC 52 : 307676576.000000	389888352.000000	139316640.000000	
HEX 53 : 11855C40	11514340	177E1120	
DEC 53 : 293952576.000000	290538304.000000	394137888.000000	
HEX 54 : CD9AC40	B47F2D0	5D21F48	
DEC 54 : 215592000.000000	189264592.000000	97656648.000000	
HEX 55 : 1ED30880	15178520	152D0EA0	
DEC 55 : 517146752.000000	353862944.000000	355274400.000000	
HEX 56 : 1B5515A0	16FFCB40	1E24C9E0	
DEC 56 : 458560928.000000	385862464.000000	505727456.000000	
HEX 57 : 13BF8D20	D1DEDA0	11486100	
DEC 57 : 331320608.000000	220065184.000000	289956096.000000	
HEX 58 : 1932DE20	944E880	3FAE788	
DEC 58 : 422764064.000000	155510912.000000	66774920.000000	
HEX 59 : 57DF3C0	ED1A080	137264C0	
DEC 59 : 92140480.000000	248619136.000000	326264000.000000	
HEX 60 : CD7E880	10F01A60	10D96000	
DEC 60 : 215476352.000000	284170848.000000	282681344.000000	
HEX 61 : 17900D20	10DB8000	1BF64160	
DEC 61 : 395316512.000000	282820608.000000	469123424.000000	
HEX 62 : 307C3C4	4934D30	D1D61E	
DEC 62 : 50840516.000000	76762416.000000	13751838.000000	
HEX 63 : DBE8E90	1DF5C880	8D40A60	
DEC 63 : 230592144.000000	502646912.000000	148114016.000000	
HEX 64 : 1CD8D1E0	5A10D30	1756C480	
DEC 64 : 483971552.000000	94440752.000000	391562368.000000	
HEX 65 : AE3F780	6B8BD30	288B87	
DEC 65 : 182712192.000000	112770352.000000	2657159.000000	
HEX 66 : E7C0F10	F15D620	1E77FDA0	
DEC 66 : 243011344.000000	253089312.000000	511180192.000000	
HEX 67 : 14F25F80	915CE90	18019400	
DEC 67 : 351428480.000000	152424080.000000	402756608.000000	
HEX 68 : 1494B000	1E9DC6A0	1D0ACDA0	
DEC 68 : 345288704.000000	513656480.000000	487247264.000000	
HEX 69 : 7A1C800	1857D800	1B2FA5A0	
DEC 69 : 128043008.000000	408410112.000000	456107424.000000	
HEX 70 : 148A41E0	1D64D4C0	159CE100	
DEC 70 : 344605152.000000	493147328.000000	362602752.000000	
HEX 71 : 14D65780	1BD80E20	DB638F0	
DEC 71 : 349591424.000000	467144224.000000	230045936.000000	
HEX 72 : E946970	708D3C0	1C802340	
DEC 72 : 244607344.000000	118019008.000000	478159680.000000	
HEX 73 : 10691F00	1B5791E0	24AAFC4	
DEC 73 : 275324672.000000	458723808.000000	38449092.000000	
HEX 74 : 1A898F0	3FF8168	17C4A6E0	
DEC 74 : 27826416.000000	67076456.000000	398763744.000000	
HEX 75 : 1C7C7D20	B2DCE20	1C6A1DA0	
DEC 75 : 477920544.000000	187551264.000000	476716448.000000	
HEX 76 : A0E8E20	122E0260	6F5AA98	
DEC 76 : 168726048.000000	305005152.000000	116763288.000000	
HEX 77 : 17F40900	13E2CBC0	FBE37C0	
