Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : B9595A0	DE64A60	35854B4	
DEC 1 : 194352544.000000	233196128.000000	56120500.000000	
HEX 2 : 1F060960	14B214C0	12BD4F80	
DEC 2 : 520489312.000000	347215040.000000	314396544.000000	
HEX 3 : 158192E0	8F6C3C	AB4BCB0	
DEC 3 : 360813280.000000	9399356.000000	179616944.000000	
HEX 4 : D1E1440	68FCD30	2A3EE20	
DEC 4 : 220075072.000000	110087472.000000	44297760.000000	
HEX 5 : CC6878	B216620	9E0E710	
DEC 5 : 13396088.000000	186738208.000000	165734160.000000	
HEX 6 : 1F313E20	111952E	1F10D700	
DEC 6 : 523320864.000000	17929518.000000	521197312.000000	
HEX 7 : ABB18F0	B2A68F0	14D20380	
DEC 7 : 180033776.000000	187328752.000000	349307776.000000	
HEX 8 : 1DEB9000	1EF69780	B56D970	
DEC 8 : 501977088.000000	519477120.000000	190241136.000000	
HEX 9 : 19FCB960	167EAEA0	3EF412C	
DEC 9 : 435992928.000000	377400992.000000	66011436.000000	
HEX 10 : 3484710	1B0DE880	164D4520	
DEC 10 : 55068432.000000	453896320.000000	374162720.000000	
HEX 11 : 1B138000	F1664B0	9AFA620	
DEC 11 : 454262784.000000	253125808.000000	162506272.000000	
HEX 12 : 132A26A0	566BE20	195FDAE0	
DEC 12 : 321529504.000000	90619424.000000	425712352.000000	
HEX 13 : 124A3C40	1622FF80	1DCB56A0	
DEC 13 : 306854976.000000	371392384.000000	499865248.000000	
HEX 14 : 7D4BF10	13492D2	268C078	
DEC 14 : 131383056.000000	20222674.000000	40419448.000000	
HEX 15 : 1559C880	15F64160	9D7E0B0	
DEC 15 : 358205568.000000	368460128.000000	165142704.000000	
HEX 16 : 1EA094C0	1D232100	129C0E60	
DEC 16 : 513840320.000000	488841472.000000	312217184.000000	
HEX 17 : 9F73000	19D20960	13027440	
DEC 17 : 167194624.000000	433195360.000000	318927936.000000	
HEX 18 : 8FDDE20	90B0440	87B4930	
DEC 18 : 150855200.000000	151716928.000000	142297392.000000	
HEX 19 : 179BCCC0	1428A520	118C0E20	
DEC 19 : 396086464.000000	338208032.000000	294391328.000000	
HEX 20 : 19FCF88	D453970	15CDFD00	
DEC 20 : 27250568.000000	222640496.000000	365821184.000000	
HEX 21 : 6BABB48	96670F	1C8DE080	
DEC 21 : 112900936.000000	9856783.000000	479060096.000000	
HEX 22 : 11980A60	67FE078	EB690B0	
DEC 22 : 295176800.000000	109043832.000000	246845616.000000	
HEX 23 : 18C1F880	10984C40	184AB500	
DEC 23 : 415365248.000000	278416448.000000	407549184.000000	
HEX 24 : 19AD6D20	164B0880	1F3DB160	
DEC 24 : 430796064.000000	374016128.000000	524136800.000000	
HEX 25 : 6BA2A58	CE294B0	1B53DD00	
DEC 25 : 112863832.000000	216175792.000000	458480896.000000	
HEX 26 : 44F61E0	632C800	18278F80	
DEC 26 : 72311264.000000	103991296.000000	405245824.000000	
HEX 27 : 2D3C2D4	79F79E0	1FDC4160	
DEC 27 : 47432404.000000	127891936.000000	534528352.000000	
HEX 28 : 16F5FE20	1C355A60	100C45E0	
DEC 28 : 385220128.000000	473258592.000000	269239776.000000	
HEX 29 : 17B5C100	13BC43C	1E38A520	
DEC 29 : 397787392.000000	20694076.000000	507028768.000000	
HEX 30 : 1C1AB000	8F063C0	46BECF0	
DEC 30 : 471511040.000000	149971904.000000	74181872.000000	
HEX 31 : 197FE780	18881F00	1760A100	
DEC 31 : 427812736.000000	411574016.000000	392208640.000000	
HEX 32 : BA038F0	5A05710	19D74960	
DEC 32 : 195049712.000000	94394128.000000	433539424.000000	
HEX 33 : FE16800	1BB4AA60	D7A09E0	
DEC 33 : 266430464.000000	464824928.000000	226101728.000000	
HEX 34 : 689D698	20B343C	9C77970	
DEC 34 : 109696664.000000	34288700.000000	164067696.000000	
HEX 35 : AC869E0	1EE715A0	7490C00	
DEC 35 : 180906464.000000	518460832.000000	122227712.000000	
HEX 36 : 12060EA0	18FCD880	15558B00	
DEC 36 : 302386848.000000	419223680.000000	357927680.000000	
HEX 37 : 1750DA60	1D1B6100	1D00F700	
DEC 37 : 391174752.000000	488333568.000000	486602496.000000	
HEX 38 : 10527160	C07A350	1BF066A0	
DEC 38 : 273838432.000000	201827152.000000	468739744.000000	
HEX 39 : 69A12D0	1440D100	191C8B80	
DEC 39 : 110760656.000000	339792128.000000	421301120.000000	
HEX 40 : BBF0710	124D3100	1E751000	
DEC 40 : 197068560.000000	307048704.000000	510988288.000000	
HEX 41 : 150F8440	10CD9DA0	4545D68	
DEC 41 : 353338432.000000	281910688.000000	72637800.000000	
HEX 42 : 3737078	841B080	371C83C	
DEC 42 : 57897080.000000	138522752.000000	57788476.000000	
HEX 43 : 17B6BDA0	1CF38960	793B698	
DEC 43 : 397852064.000000	485722464.000000	127121048.000000	
HEX 44 : 5A16440	C95AE20	F776B10	
DEC 44 : 94463040.000000	211136032.000000	259484432.000000	
HEX 45 : 14B96D20	73C3C4	12D54380	
DEC 45 : 347696416.000000	7586756.000000	315966336.000000	
HEX 46 : 50D10F0	1497E780	34A5A5C	
DEC 46 : 84742384.000000	345499520.000000	55204444.000000	
HEX 47 : 132934C0	BD15440	147565E0	
DEC 47 : 321467584.000000	198267968.000000	343238112.000000	
HEX 48 : 9A2E9E0	4D74000	10E287C0	
DEC 48 : 161671648.000000	81215488.000000	283281344.000000	
HEX 49 : 19708A60	6BF3AD0	156FC700	
DEC 49 : 426805856.000000	113195728.000000	359646976.000000	
HEX 50 : C720690	1543D1E0	20A334C	
DEC 50 : 208799376.000000	356766176.000000	34222924.000000	
HEX 51 : 30F1078	192A35A0	1D963EA0	
DEC 51 : 51318904.000000	422196640.000000	496385696.000000	
HEX 52 : 4469B48	1CBB55A0	F078130	
DEC 52 : 71736136.000000	482039200.000000	252150064.000000	
HEX 53 : C3801E0	19BAA100	1ACDA620	
DEC 53 : 204997088.000000	431661312.000000	449685024.000000	
HEX 54 : 1C30E6A0	17B86000	C73F5A0	
DEC 54 : 472966816.000000	397959168.000000	208926112.000000	
HEX 55 : 1F5B46A0	1CA50F0	16885C00	
DEC 55 : 526075552.000000	30036208.000000	378035200.000000	
HEX 56 : 1715800	7BAF87	142DC340	
DEC 56 : 24205312.000000	8105863.000000	338543424.000000	
HEX 57 : 1F074F00	1CD251E0	3844ED4	
DEC 57 : 520572672.000000	483545568.000000	59002580.000000	
HEX 58 : 1A3E35A0	8383440	1D0236A0	
DEC 58 : 440284576.000000	137901120.000000	486684320.000000	
HEX 59 : 3A9AE98	15362F80	F688480	
DEC 59 : 61451928.000000	355872640.000000	258507904.000000	
HEX 60 : 540078	11A78780	1C5D2AE0	
DEC 60 : 5505144.000000	296191872.000000	475867872.000000	
HEX 61 : 7A85968	10686880	94D0BC0	
DEC 61 : 128473448.000000	275277952.000000	156044224.000000	
HEX 62 : F7F5780	1B2ED2E	1EF79BC0	
DEC 62 : 260003712.000000	28503342.000000	519543744.000000	
HEX 63 : 253C2D4	18C9C2E0	8EB2CB0	
DEC 63 : 39043796.000000	415875808.000000	149630128.000000	
HEX 64 : 105C0160	147ACDA0	F899FC0	
DEC 64 : 274465120.000000	343592352.000000	260677568.000000	
HEX 65 : CE55000	D06AE20	D8A2F10	
DEC 65 : 216354816.000000	218541600.000000	227159824.000000	
HEX 66 : 26DB968	5C83E98	EEBDFC0	
DEC 66 : 40745320.000000	97009304.000000	250339264.000000	
HEX 67 : 1E2EA1E0	E9191E0	1E3B5620	
DEC 67 : 506372576.000000	244421088.000000	507205152.000000	
HEX 68 : 1B9C7880	201CCB4	10012380	
DEC 68 : 463239296.000000	33672372.000000	268510080.000000	
HEX 69 : A0492D0	17940F00	A906040	
DEC 69 : 168071888.000000	395579136.000000	177233984.000000	
HEX 70 : 16651160	EAC14B0	1FCFC520	
DEC 70 : 375722336.000000	246158512.000000	533710112.000000	
HEX 71 : 1CC6C2E0	226952C	79C0130	
DEC 71 : 482788064.000000	36082988.000000	127664432.000000	
HEX 72 : 108ABF00	1A3F5960	5EC74B8	
DEC 72 : 277528320.000000	440359264.000000	99382456.000000	
HEX 73 : E390F10	25C3D2C	8CA4220	
DEC 73 : 238620432.000000	39599404.000000	147472928.000000	
HEX 74 : 1613EBC0	3F4BBC4	3C0CDA4	
DEC 74 : 370404288.000000	66370500.000000	62967204.000000	
HEX 75 : 1A279880	D12F440	116B05A0	
DEC 75 : 438802560.000000	219345984.000000	292226464.000000	
HEX 76 : 12347CC0	A13DAD0	6EF73C0	
DEC 76 : 305429696.000000	169073360.000000	116356032.000000	
HEX 77 : 18F093C0	7D3C2D0	B9C89A0	
DEC 77 : 418419648.000000	131318480.000000	194808224.000000	
HEX 78 : EEEC2D0	12446880	87BC4F0	
DEC 78 : 250528464.000000	306473088.000000	142329072.000000	
HEX 79 : 9D52B50	124D81E0	12989F00	
DEC 79 : 164965200.000000	307069408.000000	311992064.000000	
HEX 80 : F7D0C40	12583080	17EC7E60	
DEC 80 : 259853376.000000	307769472.000000	401374816.000000	
HEX 81 : 144AB2E0	E40C0F0	CD7DED0	
DEC 81 : 340439776.000000	239124720.000000	215473872.000000	
HEX 82 : 1E993D20	1C9C1000	1B288120	
DEC 82 : 513359136.000000	479989760.000000	455639328.000000	
83 : 0.000000	0.000000	0.000000	
84 : 0.000000	0.000000	0.000000	
85 : 0.000000	0.000000	0.000000	
86 : 0.000000	0.000000	0.000000	
87 : 0.000000	0.000000	0.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
