Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 82
HEX 1 : 1ECA9D20	113B95A0	1B8F6F00	
DEC 1 : 516594976.000000	289117600.000000	462384896.000000	
HEX 2 : 16112C40	4B4D4B8	13A51D20	
DEC 2 : 370224192.000000	78959800.000000	329588000.000000	
HEX 3 : B825970	E8205A0	E7AD690	
DEC 3 : 193091952.000000	243402144.000000	242931344.000000	
HEX 4 : 181BE4C0	1E9A92E0	17961EE0	
DEC 4 : 404481216.000000	513446624.000000	395714272.000000	
HEX 5 : 51513C0	18660520	EBFEC40	
DEC 5 : 85267392.000000	409339168.000000	247458880.000000	
HEX 6 : 17E45A60	10B00AE0	1733EDA0	
DEC 6 : 400841312.000000	279972576.000000	389279136.000000	
HEX 7 : 619A000	122A3900	AA5CF50	
DEC 7 : 102342656.000000	304756992.000000	178638672.000000	
HEX 8 : 9D381E0	48E5698	1BA93C4	
DEC 8 : 164856288.000000	76437144.000000	29004740.000000	
HEX 9 : 1D7D01E0	4341000	14D020C0	
DEC 9 : 494731744.000000	70520832.000000	349184192.000000	
HEX 10 : 1769A4C0	1A84C960	55B4040	
DEC 10 : 392799424.000000	444909920.000000	89866304.000000	
HEX 11 : 663E4B8	121AB800	12AB6780	
DEC 11 : 107209912.000000	303740928.000000	313223040.000000	
HEX 12 : 12D3B4C0	92770F	1A27CE60	
DEC 12 : 315864256.000000	9598735.000000	438816352.000000	
HEX 13 : BF12F10	1AEABD20	10939480	
DEC 13 : 200355600.000000	451591456.000000	278107264.000000	
HEX 14 : 7D7E000	5D0EF88	1F463BC0	
DEC 14 : 131588096.000000	97578888.000000	524696512.000000	
HEX 15 : 793FF10	B7EDF10	17C00920	
DEC 15 : 127139600.000000	192864016.000000	398461216.000000	
HEX 16 : 3BA9D2C	AE8800	51AF258	
DEC 16 : 62561580.000000	11438080.000000	85652056.000000	
HEX 17 : 1C3662E0	1876E5A0	1D464D20	
DEC 17 : 473326304.000000	410445216.000000	491146528.000000	
HEX 18 : 52932D0	189932E0	1646B560	
DEC 18 : 86586064.000000	412693216.000000	373732704.000000	
HEX 19 : 31FA698	E6BA260	1D735E2	
DEC 19 : 52405912.000000	241934944.000000	30881250.000000	
HEX 20 : 54E71E0	1AB9B880	71B4B48	
DEC 20 : 89027040.000000	448379008.000000	119229256.000000	
HEX 21 : 116B788	149F5160	59812D0	
DEC 21 : 18265992.000000	345985376.000000	93852368.000000	
HEX 22 : 5E1EE20	1A9D5880	1D7EA340	
DEC 22 : 98692640.000000	446519424.000000	494838592.000000	
HEX 23 : 193C3D20	46DC968	1B05A900	
DEC 23 : 423378208.000000	74303848.000000	453355776.000000	
HEX 24 : 15F1F100	5147C40	B9DF350	
DEC 24 : 368177408.000000	85228608.000000	194900816.000000	
HEX 25 : 10734F00	141B8F00	F703970	
DEC 25 : 275992320.000000	337350400.000000	259012976.000000	
HEX 26 : 9760E20	1EF6DE20	18249A6	
DEC 26 : 158731808.000000	519495200.000000	25315750.000000	
HEX 27 : 11904B4	E628690	ED109A0	
DEC 27 : 18416820.000000	241338000.000000	248580512.000000	
HEX 28 : 1F7055A0	102071E0	C247310	
DEC 28 : 527455648.000000	270561760.000000	203715344.000000	
HEX 29 : 2B7C968	6F19E20	10C70B4	
DEC 29 : 45599080.000000	116497952.000000	17592500.000000	
HEX 30 : 11463100	1F805100	3602220	
DEC 30 : 289812736.000000	528503040.000000	56631840.000000	
HEX 31 : 72B0878	33ECC3C	14021A60	
DEC 31 : 120260728.000000	54447164.000000	335682144.000000	
HEX 32 : 1DC9B1E0	28F7968	AB6C9A0	
DEC 32 : 499757536.000000	42957160.000000	179751328.000000	
HEX 33 : 1B1FB4C	7C5BD30	1A9E15E0	
DEC 33 : 28441420.000000	130399536.000000	446567904.000000	
HEX 34 : 38DC000	1C5D000	CBF17C0	
DEC 34 : 59621376.000000	29741056.000000	213850048.000000	
HEX 35 : 5EAF968	D164A60	1EEE0800	
DEC 35 : 99285352.000000	219564640.000000	518916096.000000	
HEX 36 : 17F22880	1324A080	F8B9F80	
