Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 73
HEX 1 : F475A60	5A608F0	153EA5E0	
DEC 1 : 256334432.000000	94767344.000000	356427232.000000	
HEX 2 : 2A38788	54F969	10EAD340	
DEC 2 : 44271496.000000	5568873.000000	283824960.000000	
HEX 3 : 107745A0	17D82DA0	196E6EA0	
DEC 3 : 276252064.000000	400043424.000000	426667680.000000	
HEX 4 : 187E7000	E439E2	198E2DA0	
DEC 4 : 410939392.000000	14957026.000000	428748192.000000	
HEX 5 : 128C45A0	1CA04880	8E0AD3	
DEC 5 : 311182752.000000	480266368.000000	9308883.000000	
HEX 6 : 8B71A60	2A4AD2	59565A	
DEC 6 : 146217568.000000	2771666.000000	5854810.000000	
HEX 7 : 3BA11E0	16906A60	A03ECF0	
DEC 7 : 62525920.000000	378563168.000000	168029424.000000	
HEX 8 : 187E7000	C9E4BC0	292E8F0	
DEC 8 : 410939392.000000	211700672.000000	43182320.000000	
HEX 9 : 28F3968	1959F4C0	11800F00	
DEC 9 : 42940776.000000	425325760.000000	293605120.000000	
HEX 10 : A3C5970	194EF100	14927AE0	
DEC 10 : 171727216.000000	424603904.000000	345144032.000000	
HEX 11 : 156A5A	1DC37D20	17FC2EA0	
DEC 11 : 1403482.000000	499350816.000000	402402976.000000	
HEX 12 : 80DDD30	1E9EB6A0	197145E0	
DEC 12 : 135126320.000000	513717920.000000	426853856.000000	
HEX 13 : 1678B960	9492780	13073700	
DEC 13 : 377010528.000000	155789184.000000	319239936.000000	
HEX 14 : 11E3EE20	36779E0	9A51C00	
DEC 14 : 300150304.000000	57113056.000000	161815552.000000	
HEX 15 : 50811E0	321D9E0	1D793DA0	
DEC 15 : 84414944.000000	52550112.000000	494484896.000000	
HEX 16 : 4268C40	172174C0	188447C0	
DEC 16 : 69635136.000000	388068544.000000	411322304.000000	
HEX 17 : 1055EB40	A348080	5C04440	
DEC 17 : 274066240.000000	171212928.000000	96486464.000000	
HEX 18 : 10504D20	19D60960	72F7478	
DEC 18 : 273698080.000000	433457504.000000	120550520.000000	
HEX 19 : 10699C40	E6C6AD0	EFD05E0	
DEC 19 : 275356736.000000	241986256.000000	251463136.000000	
HEX 20 : 36D7C3C	104CE960	4EDB710	
DEC 20 : 57506876.000000	273475936.000000	82687760.000000	
HEX 21 : C3EED30	874C080	1CA84F80	
DEC 21 : 205450544.000000	141869184.000000	480792448.000000	
HEX 22 : AC01970	E61E97	18EFA900	
DEC 22 : 180361584.000000	15081111.000000	418359552.000000	
HEX 23 : 110401E0	1E4266A0	151E7F00	
DEC 23 : 285475296.000000	507668128.000000	354320128.000000	
HEX 24 : 16094780	1E86CE20	E034480	
DEC 24 : 369706880.000000	512151072.000000	235095168.000000	
HEX 25 : 1219A880	3BB6A5C	1C569100	
DEC 25 : 303671424.000000	62614108.000000	475435264.000000	
HEX 26 : 10DB1E2	17B21DA0	23F312C	
DEC 26 : 17674722.000000	397548960.000000	37695788.000000	
HEX 27 : A60AD30	14B55B40	59780B8	
DEC 27 : 174107952.000000	347429696.000000	93814968.000000	
HEX 28 : 18E5C3C	23BC0F0	3B2C0B4	
DEC 28 : 26106940.000000	37470448.000000	62046388.000000	
HEX 29 : BE551E0	C592C40	14A4D440	
DEC 29 : 199578080.000000	207170624.000000	346346560.000000	
HEX 30 : 23ADF10	921BDA0	8DED290	
DEC 30 : 37412624.000000	153206176.000000	148820624.000000	
HEX 31 : 12BECF00	AB78DA0	199A19E0	
DEC 31 : 314494720.000000	179801504.000000	429529568.000000	
HEX 32 : 723FB48	570EBC0	14232380	
DEC 32 : 119798600.000000	91286464.000000	337847168.000000	
