Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 87
HEX 1 : BE59220	1538E6A0	11D692A0	
DEC 1 : 199594528.000000	356050592.000000	299274912.000000	
HEX 2 : CD03F90	6300D30	ACAF930	
DEC 2 : 214974352.000000	103812400.000000	181074224.000000	
HEX 3 : 1BB62C00	1A313B40	D45697	
DEC 3 : 464923648.000000	439434048.000000	13915799.000000	
HEX 4 : A18C210	E2B94B0	FD55620	
DEC 4 : 169394704.000000	237737136.000000	265639456.000000	
HEX 5 : 159BBB00	9FB1F10	1F124EA0	
DEC 5 : 362527488.000000	167452432.000000	521293472.000000	
HEX 6 : FE1CAB0	9730B50	10D88340	
DEC 6 : 266455728.000000	158534480.000000	282624832.000000	
HEX 7 : A0703E0	1EE04E20	13FFE3C0	
DEC 7 : 168231904.000000	518016544.000000	335537088.000000	
HEX 8 : C4F9B70	1ACF81E0	CCF2530	
DEC 8 : 206543728.000000	449806816.000000	214902064.000000	
HEX 9 : 6613218	1D93A2E0	1F38788	
DEC 9 : 107033112.000000	496214752.000000	32737160.000000	
HEX 10 : 5CFE6C0	1987BB40	10C89040	
DEC 10 : 97511104.000000	428325696.000000	281579584.000000	
HEX 11 : 1C77A9C0	6F6EA58	10EE6840	
DEC 11 : 477604288.000000	116845144.000000	284059712.000000	
HEX 12 : 5F8B3	16754780	147DA220	
DEC 12 : 391347.000000	376784768.000000	343777824.000000	
HEX 13 : 7538E78	C452780	1E1EB880	
DEC 13 : 122916472.000000	205858688.000000	505329792.000000	
HEX 14 : 46BC560	1FC6E100	18F1BCC0	
DEC 14 : 74171744.000000	533127424.000000	418495680.000000	
HEX 15 : 1DDE0440	97CC780	41AAB88	
DEC 15 : 501089344.000000	159172480.000000	68856712.000000	
HEX 16 : 80A2B	1DA5B4C	2AC5ED4	
DEC 16 : 526891.000000	31087436.000000	44850900.000000	
HEX 17 : 5F835	9440D30	11D96AE0	
DEC 17 : 391221.000000	155454768.000000	299461344.000000	
HEX 18 : 177B5D60	348D2D4	1C2F0E60	
DEC 18 : 393960800.000000	55104212.000000	472845920.000000	
HEX 19 : 5F67A	EE185A0	16EA6800	
DEC 19 : 390778.000000	249660832.000000	384460800.000000	
HEX 20 : 10C6B680	6C033C0	1931C5A0	
DEC 20 : 281458304.000000	113259456.000000	422692256.000000	
HEX 21 : 5F738	7C7EF10	8CCBDA0	
DEC 21 : 390968.000000	130543376.000000	147635616.000000	
HEX 22 : 17C85800	8D631E0	171B6500	
DEC 22 : 399005696.000000	148255200.000000	387671296.000000	
HEX 23 : C774580	1E8CD000	6469F88	
DEC 23 : 209143168.000000	512544768.000000	105291656.000000	
HEX 24 : 191086E0	1E3A0100	1E4DCBC0	
DEC 24 : 420513504.000000	507117824.000000	508414912.000000	
HEX 25 : C3FED70	FF1FB50	7BB7478	
DEC 25 : 205516144.000000	267516752.000000	129725560.000000	
HEX 26 : 12DE8BC0	A5E30F0	932A2D0	
DEC 26 : 316574656.000000	173945072.000000	154313424.000000	
HEX 27 : 15DFE0C0	8E49780	273883C	
DEC 27 : 366993600.000000	149198720.000000	41125948.000000	
HEX 28 : 5E4B7	1B0D5F00	5198078	
DEC 28 : 386231.000000	453861120.000000	85557368.000000	
HEX 29 : 11FBFB20	1FD921E0	1C5225A0	
DEC 29 : 301726496.000000	534323680.000000	475145632.000000	
HEX 30 : 1F0AF000	C7D2880	BBA5440	
DEC 30 : 520810496.000000	209528960.000000	196760640.000000	
HEX 31 : 4BBF8C0	DA52970	921C930	
DEC 31 : 79427776.000000	228927856.000000	153209136.000000	
HEX 32 : 1D027CE0	1A788D20	1219A780	
DEC 32 : 486702304.000000	444108064.000000	303671168.000000	
HEX 33 : 8728040	18602780	17BDD480	
DEC 33 : 141721664.000000	408954752.000000	398316672.000000	
HEX 34 : 10432020	1A5A4880	17536900	
DEC 34 : 272834592.000000	442124416.000000	391342336.000000	
HEX 35 : 1D9D0DE0	423A4B8	17E5F480	
DEC 35 : 496831968.000000	69444792.000000	400946304.000000	
HEX 36 : A7F8450	44FFB48	12799740	
DEC 36 : 176129104.000000	72350536.000000	309958464.000000	
HEX 37 : E600D40	11F44C40	18270120	
DEC 37 : 241175872.000000	301222976.000000	405209376.000000	
HEX 38 : 10FD19A0	103244C0	D93EC00	
DEC 38 : 285022624.000000	271729856.000000	227798016.000000	
HEX 39 : 1A22FEE0	2423C3	DA3B0B0	
DEC 39 : 438501088.000000	2368451.000000	228831408.000000	
HEX 40 : AC60610	A8B6C40	16B0ECC0	
DEC 40 : 180749840.000000	176909376.000000	380693696.000000	
HEX 41 : 598B5A0	1C9C36A0	9EA9440	
DEC 41 : 93894048.000000	479999648.000000	166368320.000000	
HEX 42 : 1A67B700	120E0A60	166AC080	
DEC 42 : 443004672.000000	302910048.000000	376094848.000000	
HEX 43 : 13FD85E0	EB71000	14527F00	
DEC 43 : 335381984.000000	246878208.000000	340950784.000000	
HEX 44 : 13C8C760	15EEBA60	1C4CF960	
DEC 44 : 331925344.000000	367966816.000000	474806624.000000	
HEX 45 : 147A45A0	1485B4C	159386E0	
DEC 45 : 343557536.000000	21519180.000000	361989856.000000	
HEX 46 : ED0EC10	CF4E780	1DC44700	
DEC 46 : 248572944.000000	217376640.000000	499402496.000000	
HEX 47 : 12D22C40	1B3D8960	39EDED4	
DEC 47 : 315763776.000000	457017696.000000	60743380.000000	
HEX 48 : 17FE8B00	15C38C40	5A70E58	
DEC 48 : 402557696.000000	365136960.000000	94834264.000000	
HEX 49 : D716210	97C31E0	40DA0B8	
DEC 49 : 225534480.000000	159134176.000000	68001976.000000	
HEX 50 : 11A25AE0	168F05A0	99A7840	
DEC 50 : 295852768.000000	378471840.000000	161118272.000000	
HEX 51 : 5F777	A48D000	1CE116A0	
DEC 51 : 391031.000000	172544000.000000	484513440.000000	
HEX 52 : AD24F90	1D8DA100	1CAA6520	
DEC 52 : 181555088.000000	495821056.000000	480929056.000000	
HEX 53 : 23BA638	D5401E0	2E8478	
DEC 53 : 37463608.000000	223609312.000000	3048568.000000	
HEX 54 : 6102A10	80385A0	44F5DA8	
DEC 54 : 101722640.000000	134448544.000000	72310184.000000	
HEX 55 : CA5E610	1417A2E0	1F2984C0	
DEC 55 : 212198928.000000	337093344.000000	522814656.000000	
HEX 56 : 18C4C6A0	E5AF000	6C00440	
DEC 56 : 415549088.000000	240840704.000000	113247296.000000	
HEX 57 : 12D774E0	1BD82000	10693D00	
DEC 57 : 316110048.000000	467148800.000000	275332352.000000	
HEX 58 : 161B59	117E1E2	10D17D00	
DEC 58 : 1448793.000000	18342370.000000	282164480.000000	
HEX 59 : 1B75C360	131BAF00	BEEBDA0	
DEC 59 : 460702560.000000	320581376.000000	200195488.000000	
HEX 60 : A643B50	1DDA696	4B5BB88	
DEC 60 : 174340944.000000	31303318.000000	79018888.000000	
HEX 61 : 61D0D00	16A1CA60	4DAF878	
DEC 61 : 102567168.000000	379701856.000000	81459320.000000	
HEX 62 : 27953D0	131BBF00	1CA4E340	
DEC 62 : 41505744.000000	320585472.000000	480568128.000000	
HEX 63 : 3787CA8	60625A8	17B4ADA0	
DEC 63 : 58227880.000000	101066152.000000	397716896.000000	
HEX 64 : 1DFF7860	1D5B4B4	67FC698	
DEC 64 : 503281760.000000	30782644.000000	109037208.000000	
HEX 65 : 385AFCC	1225788	95190F0	
DEC 65 : 59092940.000000	19027848.000000	156340464.000000	
HEX 66 : 1ACA43A0	1A84AE20	AC72ED0	
DEC 66 : 449463200.000000	444902944.000000	180825808.000000	
HEX 67 : 11E22EA0	385E878	5E7CED0	
DEC 67 : 300035744.000000	59107448.000000	99077840.000000	
HEX 68 : 2C91F10	1005E780	10014C80	
DEC 68 : 46735120.000000	268822400.000000	268520576.000000	
HEX 69 : 5F7B6	1E57DC40	10EDE160	
DEC 69 : 391094.000000	509074496.000000	284025184.000000	
HEX 70 : F2EDAF	2E94E20	1E17BD20	
DEC 70 : 15920559.000000	48844320.000000	504872224.000000	
HEX 71 : 9971A60	4296D30	1BB16B40	
DEC 71 : 160897632.000000	69823792.000000	464612160.000000	
HEX 72 : 12E62760	2FEC0F0	E661D30	
DEC 72 : 317073248.000000	50249968.000000	241573168.000000	
HEX 73 : D7678C0	15F4F3C0	35D3478	
DEC 73 : 225867968.000000	368374720.000000	56439928.000000	
HEX 74 : 1B2487C0	18F302E0	195A1700	
DEC 74 : 455378880.000000	418579168.000000	425334528.000000	
HEX 75 : 5EBAC58	797C1E0	D7A2B10	
DEC 75 : 99331160.000000	127386080.000000	226110224.000000	
HEX 76 : 18D25500	1F6B9F00	569ABC0	
DEC 76 : 416437504.000000	527146752.000000	90811328.000000	
HEX 77 : 160BC400	150AA1E0	10CB7D20	
DEC 77 : 369869824.000000	353018336.000000	281771296.000000	
HEX 78 : 1E9036A0	BFDB1E0	180A50C0	
DEC 78 : 512767648.000000	201175520.000000	403329216.000000	
HEX 79 : 1966CD00	6B940F0	A0EFCB0	
DEC 79 : 426167552.000000	112804080.000000	168754352.000000	
HEX 80 : 78001	123B5780	5748DE0	
DEC 80 : 491521.000000	305878912.000000	91524576.000000	
HEX 81 : 1F8A0F40	15539C40	6016AD0	
DEC 81 : 529141568.000000	357801024.000000	100756176.000000	
HEX 82 : 193520C0	1071F2E0	1DAC9F00	
DEC 82 : 422912192.000000	275903200.000000	497852160.000000	
HEX 83 : 72AA9F8	11218000	1623C340	
DEC 83 : 120236536.000000	287408128.000000	371442496.000000	
HEX 84 : 5F209	1A0EF2E0	1B19CEA0	
DEC 84 : 389641.000000	437187296.000000	454676128.000000	
HEX 85 : 17EF3660	CD934B0	E2FA7C0	
DEC 85 : 401552992.000000	215561392.000000	238004160.000000	
HEX 86 : 5F7B6	167D4960	C72CBC0	
DEC 86 : 391094.000000	377309536.000000	208849856.000000	
HEX 87 : 7820970	142133C0	BD18B10	
DEC 87 : 125962608.000000	337720256.000000	198282000.000000	
88 : 0.000000	0.000000	0.000000	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
