Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 1F65A520	A2FEA60	18DF1100	
DEC 1 : 526755104.000000	170912352.000000	417272064.000000	
HEX 2 : BB66C80	11304960	65F19A8	
DEC 2 : 196504704.000000	288377184.000000	106895784.000000	
HEX 3 : 1F1011E0	1E953000	1B393A60	
DEC 3 : 521146848.000000	513093632.000000	456735328.000000	
HEX 4 : 185DB380	5DE8A58	CF8EE20	
DEC 4 : 408793984.000000	98470488.000000	217640480.000000	
HEX 5 : 869F080	B535F10	9FA6D3	
DEC 5 : 141160576.000000	190013200.000000	10462931.000000	
HEX 6 : 1A50C6A0	10A6B1E0	1AF2C780	
DEC 6 : 441501344.000000	279359968.000000	452118400.000000	
HEX 7 : 1AB3E500	1FCCF960	15347A20	
DEC 7 : 447997184.000000	533526880.000000	355760672.000000	
HEX 8 : 2571788	5045878	CA3C880	
DEC 8 : 39262088.000000	84170872.000000	212060288.000000	
HEX 9 : 85B4290	1F284000	6730298	
DEC 9 : 140198544.000000	522731520.000000	108200600.000000	
HEX 10 : 1196000	1E808100	BC97E20	
DEC 10 : 18440192.000000	511738112.000000	197754400.000000	
HEX 11 : F848BC0	1A49A1E0	1E0E96A0	
DEC 11 : 260344768.000000	441033184.000000	504272544.000000	
HEX 12 : EB71BC0	6F83968	1E278440	
DEC 12 : 246881216.000000	116930920.000000	505906240.000000	
HEX 13 : 98DC5E0	1DA476A0	DF41290	
DEC 13 : 160286176.000000	497317536.000000	234099344.000000	
HEX 14 : 72C84F0	1ACD9F00	1E700E20	
DEC 14 : 120358128.000000	449683200.000000	510660128.000000	
HEX 15 : 1D796D20	1E4FA960	6AB47C0	
DEC 15 : 494497056.000000	508537184.000000	111888320.000000	
HEX 16 : 1CC571E0	18F29100	10B0C380	
DEC 16 : 482701792.000000	418550016.000000	280019840.000000	
HEX 17 : B1280F0	87BC780	105D6160	
DEC 17 : 185762032.000000	142329728.000000	274555232.000000	
HEX 18 : B09DD30	8EE6E20	17E17A20	
DEC 18 : 185195824.000000	149843488.000000	400652832.000000	
HEX 19 : B2A7660	36C6B4C	2DACF88	
DEC 19 : 187332192.000000	57437004.000000	47894408.000000	
HEX 20 : EC095E0	15C5E1E0	EC68B80	
DEC 20 : 247502304.000000	365289952.000000	247892864.000000	
HEX 21 : 10F36CC0	6BD2D30	BFED800	
DEC 21 : 284388544.000000	113061168.000000	201250816.000000	
HEX 22 : 1983F300	82781E0	1D1CAEA0	
DEC 22 : 428077824.000000	136806880.000000	488418976.000000	
HEX 23 : 1C792F00	1161B2E0	131A0900	
DEC 23 : 477703936.000000	291615456.000000	320473344.000000	
HEX 24 : E602BC0	1AAC21E0	77DF5A8	
DEC 24 : 241183680.000000	447488480.000000	125695400.000000	
HEX 25 : 627DAD0	F215F10	18CD8B00	
DEC 25 : 103275216.000000	253845264.000000	416123648.000000	
HEX 26 : 16938340	C2B33C0	10B01DA0	
DEC 26 : 378766144.000000	204157888.000000	279977376.000000	
HEX 27 : 130E63C0	1450A000	6547BC0	
DEC 27 : 319710144.000000	340828160.000000	106200000.000000	
HEX 28 : 15B93340	CD5BB50	8A9C220	
DEC 28 : 364458816.000000	215333712.000000	145343008.000000	
HEX 29 : 14F2E6A0	E92D0F0	2D2DA5	
DEC 29 : 351463072.000000	244502768.000000	2960805.000000	
HEX 30 : 13F70F0	1DF3EC40	4477968	
DEC 30 : 20934896.000000	502524992.000000	71793000.000000	
HEX 31 : 144E3D00	37CAC3C	1A529440	
DEC 31 : 340671744.000000	58502204.000000	441619520.000000	
HEX 32 : D2D6170	E41FF10	1CF59CC0	
DEC 32 : 221077872.000000	239206160.000000	485858496.000000	
HEX 33 : FB539E0	E521C40	E48F880	
DEC 33 : 263535072.000000	240262208.000000	239663232.000000	
HEX 34 : 85CB6D0	136ECA60	1F902BC0	
DEC 34 : 140293840.000000	326027872.000000	529542080.000000	
HEX 35 : 7590788	B6A6B50	A83C8B0	
DEC 35 : 123275144.000000	191523664.000000	176408752.000000	
HEX 36 : 167E3160	1AC8B6A0	812A1E0	
DEC 36 : 377368928.000000	449361568.000000	135438816.000000	
HEX 37 : 14266DA0	D33C970	1F98F700	
DEC 37 : 338062752.000000	221497712.000000	530118400.000000	
HEX 38 : 1AB3EAA0	61443C0	14A799A0	
DEC 38 : 447998624.000000	101991360.000000	346528160.000000	
HEX 39 : 16B423C0	1770A1E0	1FBD0880	
DEC 39 : 380904384.000000	393257440.000000	532482176.000000	
HEX 40 : 1EC86900	AACF0F0	10475E60	
DEC 40 : 516450560.000000	179106032.000000	273112672.000000	
HEX 41 : 1351CD00	1DEF3D20	151583C	
DEC 41 : 324128000.000000	502218016.000000	22108220.000000	
HEX 42 : E273220	F630F10	15931AA0	
DEC 42 : 237449760.000000	258150160.000000	361962144.000000	
HEX 43 : 1291C6A0	1372B2E0	1ACC2B40	
DEC 43 : 311543456.000000	326284000.000000	449588032.000000	
HEX 44 : 21B2E98	77D5E20	1CED3440	
DEC 44 : 35335832.000000	125656608.000000	485307456.000000	
HEX 45 : 1440D1A0	BC18690	18358400	
DEC 45 : 339792288.000000	197232272.000000	406160384.000000	
HEX 46 : 8C1C710	1DF951E0	17CB66E0	
DEC 46 : 146917136.000000	502878688.000000	399206112.000000	
HEX 47 : 138952E0	724F4B8	141D0B4	
DEC 47 : 327766752.000000	119862456.000000	21090484.000000	
HEX 48 : 9F38A90	4403B48	A3D44F0	
DEC 48 : 166955664.000000	71318344.000000	171787504.000000	
HEX 49 : 1EE8F100	1775D1E0	1FBDA160	
DEC 49 : 518582528.000000	393597408.000000	532521312.000000	
HEX 50 : 18C4C000	1EABAA60	1F5AF440	
DEC 50 : 415547392.000000	514566752.000000	526054464.000000	
HEX 51 : 1DE33900	EA46C40	9F11A90	
DEC 51 : 501430528.000000	245656640.000000	166795920.000000	
HEX 52 : 1D29EBC0	D48969	FD9A080	
