Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 79
HEX 1 : 182BC2E0	A07D3C0	188E1E	
DEC 1 : 405521120.000000	168285120.000000	1609246.000000	
HEX 2 : 179FC2E0	1B86AF00	80C91E0	
DEC 2 : 396346080.000000	461811456.000000	135041504.000000	
HEX 3 : 18C2D9E0	978E780	10251D60	
DEC 3 : 415422944.000000	158918528.000000	270867808.000000	
HEX 4 : FEC43C	187E1960	173D7F80	
DEC 4 : 16696380.000000	410917216.000000	389906304.000000	
HEX 5 : 1B34CF80	3F1E878	353E800	
DEC 5 : 456445824.000000	66185336.000000	55830528.000000	
HEX 6 : 11EF2800	7EFC2D0	5A726D0	
DEC 6 : 300886016.000000	133153488.000000	94840528.000000	
HEX 7 : D492D3	16B878	1370ED2	
DEC 7 : 13931219.000000	1489016.000000	20385490.000000	
HEX 8 : 2565CB4	195015A0	17EF310	
DEC 8 : 39214260.000000	424678816.000000	25096976.000000	
HEX 9 : 10452340	2A9F968	8ABCB5	
DEC 9 : 272966464.000000	44693864.000000	9092277.000000	
HEX 10 : E474B50	12B502E0	1D8F2D20	
DEC 10 : 239553360.000000	313852640.000000	495922464.000000	
HEX 11 : D7D1780	10363B40	1608B4	
DEC 11 : 226301824.000000	271989568.000000	1444020.000000	
HEX 12 : 2BC4968	4B55F10	131B5B40	
DEC 12 : 45893992.000000	78995216.000000	320559936.000000	
HEX 13 : D6E2800	1C990B40	1B56ADE0	
DEC 13 : 225323008.000000	479791936.000000	458665440.000000	
HEX 14 : 1E302960	556CE20	139C7400	
DEC 14 : 506472800.000000	89574944.000000	329020416.000000	
HEX 15 : D373DA0	195DB3C0	371000	
DEC 15 : 221724064.000000	425571264.000000	3608576.000000	
HEX 16 : 4646348	FA82B50	10EC2260	
DEC 16 : 73687880.000000	262679376.000000	283910752.000000	
HEX 17 : 12F243C0	14D25880	B5AA000	
DEC 17 : 317866944.000000	349329536.000000	190488576.000000	
HEX 18 : 7B02F10	329CC3C	DA675A0	
DEC 18 : 128986896.000000	53070908.000000	229012896.000000	
HEX 19 : 139CE960	2A8F0F0	AC14DE0	
DEC 19 : 329050464.000000	44626160.000000	180440544.000000	
HEX 20 : 13ED8440	167BB6A0	3474968	
DEC 20 : 334332992.000000	377206432.000000	55003496.000000	
HEX 21 : 1A0EB9E0	17E654C0	E810690	
DEC 21 : 437172704.000000	400970944.000000	243336848.000000	
HEX 22 : 5A76800	1DB745A0	1ED8BB40	
DEC 22 : 94857216.000000	498550176.000000	517520192.000000	
HEX 23 : 709AB48	19E3FF00	84D1E90	
DEC 23 : 118074184.000000	434372352.000000	139271824.000000	
HEX 24 : 94D7B50	62F9000	2BB8B4	
DEC 24 : 156072784.000000	103780352.000000	2865332.000000	
HEX 25 : 4D8BC4	2C99000	19F7F700	
DEC 25 : 5082052.000000	46764032.000000	435681024.000000	
HEX 26 : 14E545A0	B5D3E20	1A94F900	
DEC 26 : 350569888.000000	190660128.000000	445970688.000000	
HEX 27 : 1470FB40	181C8C40	1D1F2900	
DEC 27 : 342948672.000000	404524096.000000	488581376.000000	
HEX 28 : 289434C	1F758A60	1499DD60	
DEC 28 : 42550092.000000	527796832.000000	345628000.000000	
HEX 29 : D7739E0	BB46000	196912A0	
DEC 29 : 225917408.000000	196370432.000000	426316448.000000	
HEX 30 : 101B59E0	424D3C0	1958F840	
DEC 30 : 270227936.000000	69522368.000000	425261120.000000	
HEX 31 : A546F10	DE1E0F0	CA3ACF0	
DEC 31 : 173305616.000000	232906992.000000	212053232.000000	
HEX 32 : 18B0DA60	1B766E20	3E5000	
DEC 32 : 414243424.000000	460746272.000000	4083712.000000	
HEX 33 : 2B03E98	1F1F0E20	CD5B4B0	
DEC 33 : 45104792.000000	522128928.000000	215332016.000000	
HEX 34 : 17966880	10E81780	FE7C1A0	
DEC 34 : 395733120.000000	283645824.000000	266846624.000000	
HEX 35 : 180C34C0	2018000	10CDFE60	
DEC 35 : 403453120.000000	33652736.000000	281935456.000000	
HEX 36 : 13E619E0	EF983C0	3D651A4	
DEC 36 : 333847008.000000	251233216.000000	64377252.000000	
HEX 37 : 411BA58	1775AB40	F9655E0	
DEC 37 : 68270680.000000	393587520.000000	261510624.000000	
HEX 38 : 95CCDA0	1FE1BA60	338FB4C	
DEC 38 : 157076896.000000	534887008.000000	54065996.000000	
HEX 39 : 1F42E440	C1B11E0	18CA4F0	
DEC 39 : 524477504.000000	203100640.000000	25994480.000000	
HEX 40 : 1330A340	1BFF7A60	F33F000	
DEC 40 : 321954624.000000	469727840.000000	255062016.000000	
HEX 41 : 19979340	3EA4698	1EE9D1E0	
DEC 41 : 429364032.000000	65685144.000000	518640096.000000	
HEX 42 : 79D4698	5743788	1B539300	
DEC 42 : 127747736.000000	91502472.000000	458461952.000000	
HEX 43 : C4F3D30	13D1A780	6D40E58	
DEC 43 : 206519600.000000	332507008.000000	114560600.000000	
HEX 44 : 267F0F0	7B63A58	386F698	
DEC 44 : 40366320.000000	129383000.000000	59176600.000000	
HEX 45 : 5C71A58	C8123C0	1D39F000	
DEC 45 : 96934488.000000	209789888.000000	490336256.000000	
HEX 46 : E8100F0	5F8EE20	F2F2400	
DEC 46 : 243335408.000000	100199968.000000	254747648.000000	
HEX 47 : 2309078	112BFE20	18884CC0	
DEC 47 : 36737144.000000	288095776.000000	411585728.000000	
HEX 48 : 12330700	AD9AF10	13921560	
DEC 48 : 305334016.000000	182038288.000000	328340832.000000	
HEX 49 : 9D82CB0	11EFDE20	15ECDC00	
DEC 49 : 165162160.000000	300932640.000000	367844352.000000	
HEX 50 : 82A7710	D3B5D30	47FEC00	
DEC 50 : 137000720.000000	221994288.000000	75492352.000000	
HEX 51 : 1B9DFC40	D2563C0	161075A0	
DEC 51 : 463338560.000000	220554176.000000	370177440.000000	
