Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 85
HEX 1 : 19A402E0	16F4DD20	1030F8C0	
DEC 1 : 430179040.000000	385146144.000000	271644864.000000	
HEX 2 : 3247000	CE52000	16116800	
DEC 2 : 52719616.000000	216342528.000000	370239488.000000	
HEX 3 : 10979520	50B696	145C2DA0	
DEC 3 : 278369568.000000	5289622.000000	341585312.000000	
HEX 4 : D318F10	AAF93C0	1DD9B340	
DEC 4 : 221351696.000000	179278784.000000	500806464.000000	
HEX 5 : 1DADA2E0	F5BA690	8707DE0	
DEC 5 : 497918688.000000	257664656.000000	141589984.000000	
HEX 6 : 9EEBC4	EBA3C40	879B750	
DEC 6 : 10415044.000000	247086144.000000	142194512.000000	
HEX 7 : 17CA6800	32A1D2C	C8D5DA0	
DEC 7 : 399140864.000000	53091628.000000	210591136.000000	
HEX 8 : 41E4C40	1A7A5B40	5A95220	
DEC 8 : 69094464.000000	444226368.000000	94982688.000000	
HEX 9 : 12A6CEA0	2BB4D2C	1B2FF620	
DEC 9 : 312921760.000000	45829420.000000	456128032.000000	
HEX 10 : 6C2DB48	E6861E0	DB76E90	
DEC 10 : 113433416.000000	241721824.000000	230125200.000000	
HEX 11 : A42EE90	E828F10	17E995A0	
DEC 11 : 172158608.000000	243437328.000000	401184160.000000	
HEX 12 : 1081CB40	F84E690	B1654F0	
DEC 12 : 276941632.000000	260368016.000000	186012912.000000	
HEX 13 : 17024BC0	1CD8B100	1AD73660	
DEC 13 : 386026432.000000	483963136.000000	450311776.000000	
HEX 14 : 13B93E20	10AC0D20	3A5452C	
DEC 14 : 330907168.000000	279711008.000000	61162796.000000	
HEX 15 : DDACF10	6D0A878	17103440	
DEC 15 : 232443664.000000	114337912.000000	386937920.000000	
HEX 16 : 10A0A9E0	165E8000	7F6C478	
DEC 16 : 278964704.000000	375291904.000000	133612664.000000	
HEX 17 : 162ABC4	7606D30	70281E0	
DEC 17 : 23243716.000000	123759920.000000	117604832.000000	
HEX 18 : E707D30	1F4E41E0	EBE5530	
DEC 18 : 242253104.000000	525222368.000000	247354672.000000	
HEX 19 : FDBDE20	1179BC40	1BFB8C80	
DEC 19 : 266067488.000000	293190720.000000	469470336.000000	
HEX 20 : B60A1E0	1C18C100	47CEED0	
DEC 20 : 190882272.000000	471384320.000000	75296464.000000	
HEX 21 : 7FC8800	84D1D30	12960900	
DEC 21 : 133990400.000000	139271472.000000	311822592.000000	
HEX 22 : 983D710	6C3F878	A99EDE0	
DEC 22 : 159635216.000000	113506424.000000	177860064.000000	
HEX 23 : 3A84710	1578B880	B4430B0	
DEC 23 : 61359888.000000	360233088.000000	189018288.000000	
HEX 24 : 8EB0DA0	11870B40	1F29F440	
DEC 24 : 149622176.000000	294062912.000000	522843200.000000	
HEX 25 : DFDF3C0	CBCEE20	119DD1A0	
DEC 25 : 234746816.000000	213708320.000000	295555488.000000	
HEX 26 : 9951260	14E2CC40	5C2A1A8	
DEC 26 : 160764512.000000	350407744.000000	96641448.000000	
HEX 27 : AA9EAD0	171DF100	19B82960	
DEC 27 : 178907856.000000	387838208.000000	431499616.000000	
HEX 28 : 103F8620	5A6F0F0	EB62F80	
DEC 28 : 272598560.000000	94826736.000000	246820736.000000	
HEX 29 : AAA2690	AFC2D3	FA3BED0	
DEC 29 : 178923152.000000	11518675.000000	262389456.000000	
HEX 30 : 1A8E06A0	D989F10	17317D20	
DEC 30 : 445515424.000000	228106000.000000	389119264.000000	
HEX 31 : 228969	AEE13C0	EF57840	
DEC 31 : 2263401.000000	183374784.000000	250968128.000000	
HEX 32 : 1D7BC100	1CCAE2E0	D62FA60	
DEC 32 : 494649600.000000	483058400.000000	224590432.000000	
HEX 33 : 8953530	1B721F00	134492A0	
DEC 33 : 143996208.000000	460463872.000000	323261088.000000	
HEX 34 : BEB95A0	1D0EB4C	1E6F2F00	
DEC 34 : 199988640.000000	30468940.000000	510603008.000000	
HEX 35 : B3CACB0	16576C40	D7B3DE0	
DEC 35 : 188525744.000000	374828096.000000	226180576.000000	
HEX 36 : 1A44CA60	C0FDE20	2941C00	
DEC 36 : 440715872.000000	202366496.000000	43260928.000000	
HEX 37 : 249AE20	131F1880	1ADE82E0	
DEC 37 : 38383136.000000	320804992.000000	450790112.000000	
HEX 38 : 16DDB340	B6BEC40	A692440	
DEC 38 : 383628096.000000	191622208.000000	174662720.000000	
HEX 39 : 1F13DE20	1CAED1E0	1536DEA0	
DEC 39 : 521395744.000000	481219040.000000	355917472.000000	
HEX 40 : 174914C0	4C20C40	46450F0	
DEC 40 : 390665408.000000	79825984.000000	73683184.000000	
HEX 41 : 16442D20	1F6F4100	11F6A660	
DEC 41 : 373566752.000000	527384832.000000	301377120.000000	
HEX 42 : FD96710	9132970	73FCC78	
DEC 42 : 265905936.000000	152250736.000000	121621624.000000	
HEX 43 : 8C8E2D0	1B13C1E0	1FD75F00	
DEC 43 : 147382992.000000	454279648.000000	534208256.000000	
HEX 44 : 7A1D078	1CC38880	BEA80F0	
DEC 44 : 128045176.000000	482576512.000000	199917808.000000	
HEX 45 : 170F0520	7D212D0	12CC0A20	
DEC 45 : 386860320.000000	131207888.000000	315361824.000000	
HEX 46 : 979E1E	1FC2DB40	15F977C0	
DEC 46 : 9936414.000000	532863808.000000	368670656.000000	
HEX 47 : 12D5F260	97540F0	1B3C3C	
DEC 47 : 316011104.000000	158679280.000000	1784892.000000	
HEX 48 : 85F09E0	CE2EA60	64CE310	
DEC 48 : 140446176.000000	216197728.000000	105702160.000000	
HEX 49 : F0AD970	13DB8D20	143CA100	
DEC 49 : 252369264.000000	333155616.000000	339517696.000000	
HEX 50 : 188B0960	8CE3C4	161BD000	
DEC 50 : 411765088.000000	9233348.000000	370921472.000000	
HEX 51 : FADAF10	16B4C960	1152D	
DEC 51 : 263040784.000000	380946784.000000	70957.000000	
HEX 52 : 1DD804C0	1B134A60	165C3C	
DEC 52 : 500696256.000000	454249056.000000	1465404.000000	
HEX 53 : E6343C	194A0A60	12239620	
DEC 53 : 15086652.000000	424282720.000000	304322080.000000	
HEX 54 : 109C52E	1851878	1970CE60	
DEC 54 : 17417518.000000	25499768.000000	426823264.000000	
HEX 55 : 1E0A3E20	48B0A58	1126788	
DEC 55 : 503987744.000000	76221016.000000	17983368.000000	
HEX 56 : 1FD87C40	1E8DDB40	6753310	
DEC 56 : 534281280.000000	512613184.000000	108344080.000000	
HEX 57 : 36340F0	2C74B4	7E88710	
DEC 57 : 56836336.000000	2913460.000000	132679440.000000	
HEX 58 : 362A968	42BEA58	E49E4F0	
DEC 58 : 56797544.000000	69986904.000000	239723760.000000	
HEX 59 : 68DE530	7C78C40	1ADF4300	
DEC 59 : 109962544.000000	130518080.000000	450839296.000000	
HEX 60 : 10D24A60	1AFFD1E0	161C3DE0	
DEC 60 : 282217056.000000	452973024.000000	370949600.000000	
