Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 78
HEX 1 : D6804B0	288BB4C	10124F00	
DEC 1 : 224920752.000000	42515276.000000	269635328.000000	
HEX 2 : 180DA880	AC38E20	1393F220	
DEC 2 : 403548288.000000	180588064.000000	328462880.000000	
HEX 3 : 880AD30	1E565C40	17AFC960	
DEC 3 : 142650672.000000	508976192.000000	397396320.000000	
HEX 4 : 188865A0	11D0DF00	18143220	
DEC 4 : 411592096.000000	298901248.000000	403976736.000000	
HEX 5 : 144B65A0	AA2C880	BBEABC0	
DEC 5 : 340485536.000000	178440320.000000	197045184.000000	
HEX 6 : A9854B0	48AD0F0	1786D1A0	
DEC 6 : 177755312.000000	76206320.000000	394711456.000000	
HEX 7 : 1A11F960	DEC3C40	1EB21AE0	
DEC 7 : 437385568.000000	233585728.000000	514988768.000000	
HEX 8 : D85BC40	1E2DFF00	A443400	
DEC 8 : 226868288.000000	506330880.000000	172241920.000000	
HEX 9 : 11123A60	1CEAD4C0	158781A0	
DEC 9 : 286407264.000000	485151936.000000	361202080.000000	
HEX 10 : 9321F10	1BB93000	10A8E120	
DEC 10 : 154279696.000000	465121280.000000	279503136.000000	
HEX 11 : 1B2C86A0	17F671E0	1B888B00	
DEC 11 : 455902880.000000	402026976.000000	461933312.000000	
HEX 12 : 10E623C0	8D913C0	12391080	
DEC 12 : 283517888.000000	148444096.000000	305729664.000000	
HEX 13 : CDC82D0	1DA32D20	2C924B4	
DEC 13 : 215778000.000000	497233184.000000	46736564.000000	
HEX 14 : 17404880	17113C40	12D5D040	
DEC 14 : 390088832.000000	387005504.000000	316002368.000000	
HEX 15 : 1822AF00	6A65788	1EEBF900	
DEC 15 : 404926208.000000	111564680.000000	518781184.000000	
HEX 16 : 6D5C000	124041E0	1261D960	
DEC 16 : 114671616.000000	306201056.000000	308402528.000000	
HEX 17 : 18597F00	92741E0	4312DE0	
DEC 17 : 408518400.000000	153567712.000000	70331872.000000	
HEX 18 : 146A32E0	1B73A1E0	B964CB0	
DEC 18 : 342504160.000000	460562912.000000	194399408.000000	
HEX 19 : 1B816960	1FC6E6A0	17F86340	
DEC 19 : 461465952.000000	533128864.000000	402154304.000000	
HEX 20 : 126891E0	6B55698	44021E	
DEC 20 : 308842976.000000	112547480.000000	4456990.000000	
HEX 21 : 1D69C4C0	DCEF880	F4115A0	
DEC 21 : 493470912.000000	231667840.000000	255923616.000000	
HEX 22 : 79060F0	143D5B40	A30DED0	
DEC 22 : 126902512.000000	339565376.000000	170974928.000000	
HEX 23 : 1012ED20	13B1EF00	67E8710	
DEC 23 : 269675808.000000	330428160.000000	108955408.000000	
HEX 24 : BDE62D0	638B878	4AACFC0	
DEC 24 : 199123664.000000	104380536.000000	78303168.000000	
HEX 25 : 1007DC40	BF1E2D0	1AADC900	
DEC 25 : 268950592.000000	200401616.000000	447596800.000000	
HEX 26 : 113BC960	10F6F4C0	15062740	
DEC 26 : 289130848.000000	284619968.000000	352724800.000000	
HEX 27 : 40C4E20	DABB1E0	CCBD0F0	
DEC 27 : 67915296.000000	229356000.000000	214683888.000000	
HEX 28 : 1E5A2D20	1AC875A0	11DA8920	
DEC 28 : 509226272.000000	449344928.000000	299534624.000000	
HEX 29 : 18C235A0	C6B1E2	9526530	
DEC 29 : 415380896.000000	13021666.000000	156394800.000000	
HEX 30 : D9A13C0	5D035A8	1E4FC520	
DEC 30 : 228201408.000000	97531304.000000	508544288.000000	
HEX 31 : 154105A0	1DE212E0	1BB70F00	
DEC 31 : 356582816.000000	501355232.000000	464981760.000000	
HEX 32 : 125696	16B1E6A0	8764040	
DEC 32 : 1201814.000000	380757664.000000	141967424.000000	
HEX 33 : 146894C0	64354B8	18639B40	
DEC 33 : 342398144.000000	105075896.000000	409180992.000000	
HEX 34 : 1B00B4C0	746FD30	C62E1E0	
DEC 34 : 453031104.000000	122092848.000000	207806944.000000	
HEX 35 : A14D000	164E06A0	2A1992C	
DEC 35 : 169136128.000000	374212256.000000	44144940.000000	
HEX 36 : 194753C0	161D44C0	9745C40	
DEC 36 : 424104896.000000	371016896.000000	158620736.000000	
HEX 37 : 168EF780	1AF5E5A0	45FDF10	
DEC 37 : 378468224.000000	452322720.000000	73391888.000000	
HEX 38 : 99D4A60	E70E690	5277698	
DEC 38 : 161303136.000000	242280080.000000	86472344.000000	
