Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 66
HEX 1 : 7A696	1425B1E0	C2544B0	
DEC 1 : 501398.000000	338014688.000000	203769008.000000	
HEX 2 : CC371E0	1533DE20	178FDA6	
DEC 2 : 214135264.000000	355720736.000000	24706470.000000	
HEX 3 : 13FA3880	3CE7A5C	194291E0	
DEC 3 : 335165568.000000	63863388.000000	423793120.000000	
HEX 4 : C7D6880	15E1D100	8F74E90	
DEC 4 : 209545344.000000	367120640.000000	150425232.000000	
HEX 5 : 187E71E0	1D2155A0	4FE25A8	
DEC 5 : 410939872.000000	488723872.000000	83764648.000000	
HEX 6 : 187E5B40	5659698	10DD3340	
DEC 6 : 410934080.000000	90543768.000000	282932032.000000	
HEX 7 : E1702D0	18020C40	1B6885A0	
DEC 7 : 236389072.000000	402787392.000000	459834784.000000	
HEX 8 : AC28970	170EC3C	12647F00	
DEC 8 : 180521328.000000	24177724.000000	308576000.000000	
HEX 9 : 11129A60	96371E0	C35F970	
DEC 9 : 286431840.000000	157512160.000000	204863856.000000	
HEX 10 : EDA1780	E0D05A0	4B22D3	
DEC 10 : 249173888.000000	235734432.000000	4924115.000000	
HEX 11 : 11EF22E0	1FC296A0	F195ED0	
DEC 11 : 300884704.000000	532846240.000000	253320912.000000	
HEX 12 : 136EEF00	1AD7A3C0	16ECA4C0	
DEC 12 : 326037248.000000	450339776.000000	384607424.000000	
HEX 13 : BA94880	1C691100	C9FEE60	
DEC 13 : 195643520.000000	476647680.000000	211807840.000000	
HEX 14 : 13535000	136C8960	18354920	
DEC 14 : 324227072.000000	325880160.000000	406145312.000000	
HEX 15 : 7266698	3CBA0F0	6750040	
DEC 15 : 119957144.000000	63676656.000000	108331072.000000	
HEX 16 : 187DC880	9129F10	1C95B620	
DEC 16 : 410896512.000000	152215312.000000	479573536.000000	
HEX 17 : BE850F0	6032878	195AC620	
DEC 17 : 199774448.000000	100870264.000000	425379360.000000	
HEX 18 : 13B49D20	15F2D960	44A7D68	
