Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 5F7F5	8599780	DA0CCB0	
DEC 1 : 391157.000000	140089216.000000	228641968.000000	
HEX 2 : 5F7B6	1879E3C0	40468B8	
DEC 2 : 391094.000000	410641344.000000	67397816.000000	
HEX 3 : 18956B80	74EC3C	ED8E690	
DEC 3 : 412445568.000000	7662652.000000	249095824.000000	
HEX 4 : 146731A0	8A73970	3399DA4	
DEC 4 : 342307232.000000	145176944.000000	54107556.000000	
HEX 5 : 5FE20	1AACF10	A28C6D0	
DEC 5 : 392736.000000	27971344.000000	170444496.000000	
HEX 6 : 1AE86140	1879E1E0	1B305000	
DEC 6 : 451436864.000000	410640864.000000	456151040.000000	
HEX 7 : 1BB1B7A0	18796100	1284ED20	
DEC 7 : 464631712.000000	410607872.000000	310701344.000000	
HEX 8 : 1B76FE00	1195E100	1610B9A0	
DEC 8 : 460783104.000000	295035136.000000	370194848.000000	
HEX 9 : 8B071F0	1879E3C0	BA4D4B0	
DEC 9 : 145781232.000000	410641344.000000	195351728.000000	
HEX 10 : 5F53F	4B213C0	15511F40	
DEC 10 : 390463.000000	78779328.000000	357637952.000000	
HEX 11 : 147E45C0	6C70A58	EF3A000	
DEC 11 : 343819712.000000	113707608.000000	250847232.000000	
HEX 12 : 4C950E0	10DF6B40	4E41ED0	
DEC 12 : 80302304.000000	283077440.000000	82058960.000000	
HEX 13 : 1AC5E960	CF6FD30	5B6B1E0	
DEC 13 : 449177952.000000	217513264.000000	95859168.000000	
HEX 14 : C240B80	150A6B40	1162EA20	
DEC 14 : 203688832.000000	353004352.000000	291695136.000000	
HEX 15 : 19306DA0	C58D880	D0C7170	
DEC 15 : 422604192.000000	207149184.000000	218919280.000000	
HEX 16 : 102C1A60	10062E20	154B7340	
DEC 16 : 271325792.000000	268840480.000000	357266240.000000	
HEX 17 : 5F08F	143436A0	188ACD00	
DEC 17 : 389263.000000	338966176.000000	411749632.000000	
HEX 18 : 19A596A0	145BB000	4D73B88	
DEC 18 : 430282400.000000	341553152.000000	81214344.000000	
HEX 19 : 97FAA80	5402A58	17F8C6A0	
DEC 19 : 159361664.000000	88091224.000000	402179744.000000	
HEX 20 : 249A89C	1879E1E0	F9B97C0	
DEC 20 : 38381724.000000	410640864.000000	261855168.000000	
HEX 21 : 56964C0	396B5A4	102CF9E0	
DEC 21 : 90793152.000000	60208548.000000	271383008.000000	
HEX 22 : 1EB9CA20	1879E3C0	8930080	
DEC 22 : 515492384.000000	410641344.000000	143851648.000000	
HEX 23 : 5B772A8	1392DA60	1E3F7A60	
DEC 23 : 95908520.000000	328391264.000000	507476576.000000	
HEX 24 : 135DD880	1879E3C0	44CDC78	
DEC 24 : 324917376.000000	410641344.000000	72146040.000000	
HEX 25 : 72C2D90	9F344B0	3218800	
DEC 25 : 120335760.000000	166937776.000000	52529152.000000	
HEX 26 : 789E478	180F6E20	436EAD0	
DEC 26 : 126477432.000000	403664416.000000	70707920.000000	
HEX 27 : 6841010	3612968	6C01E98	
DEC 27 : 109318160.000000	56699240.000000	113254040.000000	
HEX 28 : 1B90E7A0	C99F1E0	1BB54100	
DEC 28 : 462481312.000000	211415520.000000	464863488.000000	
HEX 29 : 379EDC4	11948A60	12632C80	
DEC 29 : 58322372.000000	294947424.000000	308489344.000000	
HEX 30 : 91D9CD0	11A01D20	17604780	
DEC 30 : 152935632.000000	295705888.000000	392185728.000000	
HEX 31 : 10B9CDA0	3145968	15A33920	
DEC 31 : 280612256.000000	51665256.000000	363018528.000000	
HEX 32 : D8F8520	5C9DE20	4840F10	
DEC 32 : 227509536.000000	97115680.000000	75763472.000000	
