Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 72
HEX 1 : 24ECE98	11F70880	BC13930	
DEC 1 : 38719128.000000	301402240.000000	197212464.000000	
HEX 2 : 15A834C0	DEECD30	1E5C7000	
DEC 2 : 363345088.000000	233753904.000000	509374464.000000	
HEX 3 : 1BEB8D20	1879E4C0	135FD2E	
DEC 3 : 468421920.000000	410641600.000000	20315438.000000	
HEX 4 : D1BA710	897C3C	12E99500	
DEC 4 : 219916048.000000	9010236.000000	317297920.000000	
HEX 5 : 15244520	543EA58	1DEA7DA0	
DEC 5 : 354698528.000000	88336984.000000	501906848.000000	
HEX 6 : 18A8D5A0	6E42B48	54BD0F0	
DEC 6 : 413717920.000000	115616584.000000	88854768.000000	
HEX 7 : 12183900	D6055A0	12D306A0	
DEC 7 : 303577344.000000	224417184.000000	315819680.000000	
HEX 8 : 14977520	18792960	1593E000	
DEC 8 : 345470240.000000	410593632.000000	362012672.000000	
HEX 9 : EE09080	11237C40	63D4F1	
DEC 9 : 249598080.000000	287538240.000000	6542577.000000	
HEX 10 : AE8DF10	1879E880	14FBC6A0	
DEC 10 : 183033616.000000	410642560.000000	352044704.000000	
HEX 11 : CD54780	11EC03C0	1F938440	
DEC 11 : 215304064.000000	300680128.000000	529761344.000000	
HEX 12 : ED78780	77D8C40	D4261A0	
DEC 12 : 249005952.000000	125668416.000000	222454176.000000	
HEX 13 : 1C6EB880	AACE5A0	1DF1BB40	
DEC 13 : 477018240.000000	179103136.000000	502381376.000000	
HEX 14 : 559D968	88F2B50	16811880	
DEC 14 : 89774440.000000	143600464.000000	377559168.000000	
HEX 15 : 12DD0960	C64B780	5B8F2D0	
DEC 15 : 316475744.000000	207927168.000000	96006864.000000	
HEX 16 : 17A162E0	1217A960	6F157C0	
DEC 16 : 396452576.000000	303540576.000000	116479936.000000	
HEX 17 : 1F9B73C0	134714C0	5385310	
DEC 17 : 530281408.000000	323425472.000000	87577360.000000	
HEX 18 : F571710	3A03D2C	1967F620	
DEC 18 : 257365776.000000	60833068.000000	426243616.000000	
HEX 19 : 166CA620	A14FA60	CBF7710	
DEC 19 : 376219168.000000	169146976.000000	213874448.000000	
HEX 20 : 1A7D7B40	1DD4D2E	19DA0340	
