Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 70
HEX 1 : 1035E800	3CACC3C	7A2D2D0	
DEC 1 : 271968256.000000	63622204.000000	128111312.000000	
HEX 2 : 10EF4900	8DBA000	21C4400	
DEC 2 : 284117248.000000	148611072.000000	35406848.000000	
HEX 3 : 1CAB5B40	17F046A0	D86C220	
DEC 3 : 480992064.000000	401622688.000000	226935328.000000	
HEX 4 : 73C60F0	8F4D0F0	DB3FD30	
DEC 4 : 121397488.000000	150262000.000000	229899568.000000	
HEX 5 : E4BDA6	C804D30	2335D68	
DEC 5 : 14990758.000000	209734960.000000	36920680.000000	
HEX 6 : 1F6CE6A0	FD01F10	1AC5B260	
DEC 6 : 527230624.000000	265297680.000000	449163872.000000	
HEX 7 : 112E2700	18702780	30830B4	
DEC 7 : 288237312.000000	410003328.000000	50868404.000000	
HEX 8 : EC2B780	65AC968	115ED920	
DEC 8 : 247641984.000000	106613096.000000	291428640.000000	
HEX 9 : 6356B48	161ECC40	7769A58	
DEC 9 : 104164168.000000	371117120.000000	125213272.000000	
HEX 10 : FFBAD3	159A43C0	1A83C2E0	
DEC 10 : 16759507.000000	362431424.000000	444842720.000000	
HEX 11 : 1735EDA0	77EDD30	130E4500	
DEC 11 : 389410208.000000	125754672.000000	319702272.000000	
HEX 12 : 9FFDE90	15A545A0	1468FA20	
DEC 12 : 167763600.000000	363152800.000000	342424096.000000	
HEX 13 : 1C657780	10310960	418EFC0	
DEC 13 : 476411776.000000	271649120.000000	68743104.000000	
HEX 14 : E5000	C5D0D30	F029C80	
DEC 14 : 937984.000000	207424816.000000	251829376.000000	
HEX 15 : 1699CB4	55B9D30	1FD86EA0	
DEC 15 : 23698612.000000	89890096.000000	534277792.000000	
HEX 16 : 6133168	4BBFA58	1498AA60	
DEC 16 : 101921128.000000	79428184.000000	345549408.000000	
HEX 17 : 4C11168	F00A3C0	9715290	
DEC 17 : 79761768.000000	251700160.000000	158421648.000000	
HEX 18 : C782A60	123FB4C	164BB9E0	
DEC 18 : 209201760.000000	19135308.000000	374061536.000000	
HEX 19 : 7EF9078	1879E4C0	1B1331E0	
DEC 19 : 133140600.000000	410641600.000000	454242784.000000	
HEX 20 : 1E2D7B40	166CA2E0	14F66880	
DEC 20 : 506297152.000000	376218336.000000	351692928.000000	
HEX 21 : 9C80CB0	13058100	D599040	
DEC 21 : 164105392.000000	319127808.000000	223973440.000000	
HEX 22 : 1695C000	10B6A5A0	1A03B520	
DEC 22 : 378912768.000000	280405408.000000	436450592.000000	
HEX 23 : 19FB0960	15AD6A60	1E8B5EA0	
DEC 23 : 435882336.000000	363686496.000000	512450208.000000	
HEX 24 : FD28F80	1879E2E0	10910C00	
DEC 24 : 265457536.000000	410641120.000000	277941248.000000	
HEX 25 : 118AEA60	B7ED1E0	1E187CC0	
DEC 25 : 294316640.000000	192860640.000000	504921280.000000	
HEX 26 : 1FFC2000	55D12D0	9AAF4F0	
DEC 26 : 536616960.000000	89985744.000000	162198768.000000	
HEX 27 : C6AFB50	129A4F00	2D131A4	
DEC 27 : 208337744.000000	312102656.000000	47264164.000000	
HEX 28 : 1A0D2000	994EE20	6D628F0	
DEC 28 : 437067776.000000	160755232.000000	114698480.000000	
HEX 29 : 173A9C40	182731E0	781C130	
DEC 29 : 389717056.000000	405221856.000000	125944112.000000	
HEX 30 : 1EA6AE20	1879E3C0	6484A98	
DEC 30 : 514240032.000000	410641344.000000	105400984.000000	
HEX 31 : 2079E98	6870698	74CCE58	
DEC 31 : 34053784.000000	109512344.000000	122474072.000000	
HEX 32 : 1471EC40	E37F880	101D0500	
DEC 32 : 343010368.000000	238549120.000000	270337280.000000	
HEX 33 : 19B454C0	114563C0	BAB9880	
DEC 33 : 431248576.000000	289760192.000000	195795072.000000	
HEX 34 : 1CEC43C0	B02AD30	E578E20	
DEC 34 : 485245888.000000	184724784.000000	240619040.000000	
HEX 35 : 13486CC0	3B15E20	183BA520	
DEC 35 : 323513536.000000	61955616.000000	406562080.000000	
HEX 36 : 16A37780	1557CF00	11364AE0	
DEC 36 : 379811712.000000	358076160.000000	288770784.000000	
HEX 37 : 14C49C40	7F45878	BF2CC40	
DEC 37 : 348429376.000000	133453944.000000	200461376.000000	
HEX 38 : 1EA7E960	65D6D30	1D192F80	
DEC 38 : 514320736.000000	106786096.000000	488189824.000000	
HEX 39 : E1B1B50	26121E0	1D8A3F80	
DEC 39 : 236657488.000000	39920096.000000	495599488.000000	
HEX 40 : 6E89D30	2D7DA5C	17B374C	
DEC 40 : 115907888.000000	47700572.000000	24852300.000000	
HEX 41 : 11B034C0	B36D5A0	1692AAA0	
DEC 41 : 296760512.000000	188143008.000000	378710688.000000	
HEX 42 : B5F9CB0	8CC45A0	1AB4DEE0	
DEC 42 : 190815408.000000	147604896.000000	448061152.000000	
HEX 43 : 163F7160	394CD2C	2E5CDE0	
DEC 43 : 373256544.000000	60083500.000000	48614880.000000	
HEX 44 : 19358F00	2203698	A37D0B0	
DEC 44 : 422940416.000000	35665560.000000	171430064.000000	
HEX 45 : 1ABB5100	2AA40F0	17D83080	
DEC 45 : 448483584.000000	44712176.000000	400044160.000000	
HEX 46 : 90894B0	A06C780	4F9B1E0	
DEC 46 : 151557296.000000	168216448.000000	83472864.000000	
HEX 47 : 2E4AE98	134A7D20	139A9560	
DEC 47 : 48541336.000000	323648800.000000	328897888.000000	
HEX 48 : 12830EA0	138F7E20	B2BF6D0	
DEC 48 : 310578848.000000	328171040.000000	187430608.000000	
HEX 49 : D1A72D0	1879E3C0	95CA7C0	
DEC 49 : 219837136.000000	410641344.000000	157067200.000000	
HEX 50 : 68B25A8	B779970	1FD43260	
DEC 50 : 109782440.000000	192387440.000000	534000224.000000	
HEX 51 : D7F6AD0	D60D5A0	A072780	
DEC 51 : 226454224.000000	224449952.000000	168241024.000000	
HEX 52 : 15114520	515A1E0	1FE08AE0	
DEC 52 : 353453344.000000	85303776.000000	534809312.000000	
HEX 53 : 14E6B900	10A53A60	4A75710	
DEC 53 : 350664960.000000	279263840.000000	78075664.000000	
HEX 54 : 5682CB8	C3A74B0	144E3440	
DEC 54 : 90713272.000000	205157552.000000	340669504.000000	
HEX 55 : 1D2D5F00	3829698	10C60C00	
DEC 55 : 489512704.000000	58889880.000000	281414656.000000	
HEX 56 : 4B5DDA8	1879E780	E74A9E0	
DEC 56 : 79027624.000000	410642304.000000	242526688.000000	
HEX 57 : 9472800	FF161E0	1996A040	
DEC 57 : 155658240.000000	267477472.000000	429301824.000000	
HEX 58 : 830F0	6CD2B48	18959E60	
DEC 58 : 536816.000000	114109256.000000	412458592.000000	
HEX 59 : 10D3D800	128C4E20	15197800	
DEC 59 : 282318848.000000	311184928.000000	353990656.000000	
HEX 60 : 18636700	9682880	1A3E1EE0	
DEC 60 : 409167616.000000	157821056.000000	440278752.000000	
HEX 61 : 1E55B6A0	93A5E20	15908AE0	
DEC 61 : 508933792.000000	154820128.000000	361794272.000000	
HEX 62 : 2A6BCB4	1BB55A6	E99A130	
DEC 62 : 44481716.000000	29054374.000000	244949296.000000	
HEX 63 : F004970	1C03B4C	7D803C	
DEC 63 : 251677040.000000	29375308.000000	8224828.000000	
HEX 64 : 17856800	1879E3C0	18006100	
DEC 64 : 394618880.000000	410641344.000000	402678016.000000	
HEX 65 : 1ACEE2E0	FAA2F10	13DEAEA0	
DEC 65 : 449766112.000000	262811408.000000	333360800.000000	
HEX 66 : C600800	D7C7D30	11BEFA20	
DEC 66 : 207620096.000000	226262320.000000	297728544.000000	
HEX 67 : 8C4FB50	37FAF10	8BF65E0	
DEC 67 : 147127120.000000	58699536.000000	146761184.000000	
HEX 68 : 3711620	1879E5A0	DE7000	
DEC 68 : 57742880.000000	410641824.000000	14577664.000000	
HEX 69 : 6C3E078	1B6D1E2	1C00C100	
DEC 69 : 113500280.000000	28758498.000000	469811456.000000	
HEX 70 : 117F7100	15FAF6A0	1BC47880	
DEC 70 : 293564672.000000	368768672.000000	465860736.000000	
71 : 0.000000	0.000000	0.000000	
72 : 0.000000	0.000000	0.000000	
73 : 0.000000	0.000000	0.000000	
